,K,n,s,exp,det,rot,roc,cen
0,4.280789375937307,-1.5128952639182762,0.3614946961455284,0,0,0,0,0
0,3.8722898107236765,-1.4873180493108442,0.3602590566323168,0,0,1,0,0
0,4.779163128126931,-1.7116853084883514,0.2710505007900599,0,0,2,0,0
0,3.43342795922173,-1.3512454228302682,0.4038744460439681,0,0,3,0,0
0,4.280789375937307,-1.5128952639182762,0.3614946961455284,0,0,0,0,0
0,5.746458127506922,-1.7965125179930765,0.15777500629644817,0,0,0,1,0
0,5.585855102242766,-1.8983919204444022,0.1424136962857991,0,0,0,2,0
0,4.775739798654498,-1.7867117134739428,0.28803450782514844,0,0,0,3,0
0,5.341206037699486,-1.7879577142558396,0.2860258427628866,0,0,0,4,0
0,5.4078547288040895,-1.7710023325996016,0.25013172804744904,0,0,0,5,0
0,4.548779877991864,-1.5900758275956814,0.23115548638686284,0,0,0,6,0
0,3.5852249673014103,-1.4445808087531335,0.21240765135348047,0,0,0,7,0
0,3.8089357483237856,-1.473681024128426,0.36757919899871255,0,0,0,8,0
0,4.446807264105436,-1.6239111586148995,0.2830194556229948,0,0,0,9,0
0,3.986716997610524,-1.5181999910865231,0.2174585972875616,0,0,0,10,0
0,3.358348258342044,-1.3554636904710633,0.43012639722314155,0,0,0,11,0
0,3.806047747475708,-1.457710561534415,0.32689537640469896,0,0,0,0,1
0,1.9574609272557049,-1.119815473210708,0.2586821214504832,0,0,1,0,1
0,4.697982899908346,-1.8057471894718786,0.29178992265394205,0,0,2,0,1
0,4.104511484756271,-1.5256428524697778,0.30940909268444305,0,0,3,0,1
0,3.806047747475708,-1.457710561534415,0.32689537640469896,0,0,0,0,1
0,5.157469604182222,-1.729060805025537,0.2031727005864462,0,0,0,1,1
0,4.727852572913317,-1.7688658790004541,0.27001031869484227,0,0,0,2,1
0,4.776088733063533,-1.7971600241083112,0.29119671910725536,0,0,0,3,1
0,4.9055029024535814,-1.7005875375342598,0.3015969794623915,0,0,0,4,1
0,4.728565974582665,-1.6079774741493629,0.3015596134691052,0,0,0,5,1
0,3.701455074425725,-1.3835753128796902,0.3131223419479207,0,0,0,6,1
0,2.2010998017213153,-1.1308788501658014,0.2885427618914325,0,0,0,7,1
0,1.9733776618567493,-1.1118917211869122,0.2597268675559131,0,0,0,8,1
0,3.0252351678208136,-1.3408768828231221,0.2097165489835752,0,0,0,9,1
0,3.9044444771003786,-1.5111459382283097,0.21807987685836056,0,0,0,10,1
0,4.054542302199333,-1.5254507932526435,0.3345541388836182,0,0,0,11,1
0,1.4377325556564928,-0.7582806858617823,0.978452885404164,0,0,0,0,2
0,1.2634597891518644,-0.8633313713571199,0.7373273334312057,0,0,1,0,2
0,3.155321687773264,-1.3368803783076872,0.6810761136815385,0,0,2,0,2
0,1.4090059340820755,-0.7575704497824653,0.9818542802666211,0,0,3,0,2
0,1.4377325556564928,-0.7582806858617823,0.978452885404164,0,0,0,0,2
0,3.4113219381316346,-1.1604117264148577,0.7081690205488571,0,0,0,1,2
0,3.7409800787331906,-1.365180229692651,0.6110162601954374,0,0,0,2,2
0,4.2063703759815665,-1.474876840939057,0.521895804472891,0,0,0,3,2
0,4.372130307869566,-1.4722103679985261,0.46792258527846403,0,0,0,4,2
0,3.968776554386009,-1.357018299225791,0.47780228346235654,0,0,0,5,2
0,2.972217108456147,-1.1350877376250514,0.481871613858073,0,0,0,6,2
0,1.9142313379187612,-0.9351905971281254,0.49877965220704756,0,0,0,7,2
0,1.826362552991519,-0.9057873237207492,0.570037455315575,0,0,0,8,2
0,2.2414225288907743,-0.984195635910128,0.593092950413436,0,0,0,9,2
0,2.0279024077952497,-0.9135647449124428,0.7668567739568799,0,0,0,10,2
0,1.399148120968296,-0.7380123022520232,0.9846705395746378,0,0,0,11,2
0,3.8129493261447305,-1.4178534666360127,0.37673360234680703,0,0,0,0,3
0,4.297144913586916,-1.585983840648936,0.3529913267702942,0,0,1,0,3
0,4.684275158656714,-1.7002064676589934,0.21495779942089446,0,0,2,0,3
0,3.267193720625105,-1.2662736412774804,0.40695465236839,0,0,3,0,3
0,3.8129493261447305,-1.4178534666360127,0.37673360234680703,0,0,0,0,3
0,5.692438753979601,-1.7898040075725277,0.15647588287344522,0,0,0,1,3
0,5.618536221328808,-1.8983319654506936,0.14308865450573985,0,0,0,2,3
0,5.861142715929211,-1.9002573649650782,0.16484373059060206,0,0,0,3,3
0,5.840499001837873,-1.8853171980615182,0.18035552043473382,0,0,0,4,3
0,5.443397220993163,-1.7753096337968948,0.23057740296433096,0,0,0,5,3
0,4.54914989269906,-1.592961210523019,0.20442544777664703,0,0,0,6,3
0,3.6625524936587013,-1.4712582014035271,0.20641330978590908,0,0,0,7,3
0,4.1919747513162555,-1.5575075636827465,0.344271063851682,0,0,0,8,3
0,4.481140967618375,-1.6387971940541266,0.2848451480435853,0,0,0,9,3
0,4.21042722388821,-1.5984356408090512,0.2940603557857981,0,0,0,10,3
0,3.3659160853818966,-1.4021442420980306,0.39507167759880885,0,0,0,11,3
0,4.231113098575871,-1.4603648402389373,0.4488775301219676,0,0,0,0,4
0,4.99582310415909,-1.7084903404859384,0.3565307019672979,0,0,1,0,4
0,5.002069529351051,-1.7424002830325291,0.29072126702404527,0,0,2,0,4
0,4.252702652361018,-1.445199197221489,0.4474486121375731,0,0,3,0,4
0,4.231113098575871,-1.4603648402389373,0.4488775301219676,0,0,0,0,4
0,5.538492110232172,-1.7710081170448877,0.2676289653922144,0,0,0,1,4
0,5.802957764536309,-1.867409532558012,0.2325301368175721,0,0,0,2,4
0,6.090707162904124,-1.894294109968281,0.21898337420902744,0,0,0,3,4
0,6.141951703499812,-1.9077784336119643,0.2049125454472052,0,0,0,4,4
0,6.091344009806466,-1.9112853708189288,0.1927343381073444,0,0,0,5,4
0,5.022051433029066,-1.6701524441569315,0.22281649499233838,0,0,0,6,4
0,4.178088382274942,-1.538643315082097,0.22889792081928267,0,0,0,7,4
0,4.375809374643374,-1.5756649374357992,0.3170268379619061,0,0,0,8,4
0,4.860082626341943,-1.683416294450217,0.31427615317481034,0,0,0,9,4
0,4.8372509991993535,-1.7210289854935246,0.28878836453130713,0,0,0,10,4
0,4.098563512206696,-1.5738269690302322,0.3591142850901702,0,0,0,11,4
0,4.968612877190553,-1.681175017322304,0.30146217921237994,0,0,0,0,5
0,4.481154281490897,-1.5668929043276154,0.3189979898047458,0,0,1,0,5
0,4.923453331082488,-1.6877271913837693,0.298783429115275,0,0,2,0,5
0,5.251506595300355,-1.7274684410400905,0.32688748508381577,0,0,3,0,5
0,4.968612877190553,-1.681175017322304,0.30146217921237994,0,0,0,0,5
0,5.684420474252726,-1.8578958006782456,0.25994022767203007,0,0,0,1,5
0,6.069403857378218,-1.88961449373183,0.2588531982203755,0,0,0,2,5
0,6.233954445845393,-1.9075117628674574,0.25309070837158754,0,0,0,3,5
0,6.362513198925849,-1.9428471412520831,0.23477240558963436,0,0,0,4,5
0,6.354219765833502,-1.9495950093510312,0.21227289527130974,0,0,0,5,5
0,5.897105704592131,-1.8507976218826807,0.22451217201233348,0,0,0,6,5
0,4.592321788588405,-1.590391353452402,0.25102353564292706,0,0,0,7,5
0,4.3780433315037675,-1.5334695586986724,0.3321118045155089,0,0,0,8,5
0,4.8647297225971,-1.628912593246524,0.3386022687157679,0,0,0,9,5
0,5.073411915264641,-1.738471393992398,0.30671149764194544,0,0,0,10,5
0,4.688110108687978,-1.686209986102952,0.31755964934765496,0,0,0,11,5
