,K,n,s,exp,det,rot,roc,cen
0,200.163522,-1.490370716,0.193531331,모든 화약,모든 뇌관,모든 암석분류,모든 암종,모든 심발
0,43.3382331,-1.455186927,0.145523617,모든 화약,모든 뇌관,모든 암석분류,모든 암종,Cylinder-cut
0,5.803772999,-0.82760228,0.631970882,모든 화약,모든 뇌관,모든 암석분류,모든 암종,TBM 선굴착
0,40.73528566,-1.424664535,0.169849975,모든 화약,모든 뇌관,모든 암석분류,모든 암종,V-CUT
0,69.09238125,-1.425100256,0.178595817,모든 화약,모든 뇌관,모든 암석분류,모든 암종,라인 드릴링
0,127.9125171,-1.672156231,0.116271102,모든 화약,모든 뇌관,모든 암석분류,모든 암종,분착식 다단발파
0,73.3529444,-1.52003314,0.139071185,모든 화약,모든 뇌관,모든 암석분류,모든 암종,선대구경
0,5.937906788,-0.995302259,0.328750226,모든 화약,모든 뇌관,모든 암석분류,모든 암종,수직구
0,319.6849105,-1.759464595,0.056533036,모든 화약,모든 뇌관,모든 암석분류,규장암,모든 심발
0,176.2482489,-1.99894848,0.084970382,모든 화약,모든 뇌관,모든 암석분류,규장암,Cylinder-cut
0,81.99639082,-1.28688368,0.481272291,모든 화약,모든 뇌관,모든 암석분류,규장암,TBM 선굴착
0,317.7911876,-1.759248133,0.056890847,모든 화약,모든 뇌관,모든 암석분류,규장암,V-CUT
0,299.0481931,-1.831703301,0.062773182,모든 화약,모든 뇌관,모든 암석분류,규장암,라인 드릴링
0,280.2370811,-1.888499996,0.146449426,모든 화약,모든 뇌관,모든 암석분류,규장암,분착식 다단발파
0,133.0772393,-1.500264143,0.183837392,모든 화약,모든 뇌관,모든 암석분류,규장암,선대구경
0,82.95410755,-0.88070696,0.461234958,모든 화약,모든 뇌관,모든 암석분류,규장암,수직구
0,220.0878817,-1.879450147,0.054868039,모든 화약,모든 뇌관,모든 암석분류,사암,모든 심발
0,118.8009939,-1.841533828,0.167521255,모든 화약,모든 뇌관,모든 암석분류,사암,Cylinder-cut
0,54.48145564,-1.6816049,0.30184206,모든 화약,모든 뇌관,모든 암석분류,사암,TBM 선굴착
0,152.8664332,-1.794992945,0.058341072,모든 화약,모든 뇌관,모든 암석분류,사암,V-CUT
0,330.8776914,-2.111425562,-0.013515897,모든 화약,모든 뇌관,모든 암석분류,사암,라인 드릴링
0,304.5615931,-2.055633429,0.068571346,모든 화약,모든 뇌관,모든 암석분류,사암,분착식 다단발파
0,157.5870469,-1.473010847,0.163281941,모든 화약,모든 뇌관,모든 암석분류,사암,선대구경
0,127.2881168,-0.884311508,0.487913003,모든 화약,모든 뇌관,모든 암석분류,사암,수직구
0,113.7376738,-1.815843105,0.122437701,모든 화약,모든 뇌관,모든 암석분류,석회암,모든 심발
0,126.9950332,-1.841017094,0.119564291,모든 화약,모든 뇌관,모든 암석분류,석회암,Cylinder-cut
0,106.1030782,-1.7780102,0.13204978,모든 화약,모든 뇌관,모든 암석분류,석회암,TBM 선굴착
0,141.8169643,-1.977403927,0.079281882,모든 화약,모든 뇌관,모든 암석분류,석회암,V-CUT
0,298.76649,-2.202138114,-0.093095669,모든 화약,모든 뇌관,모든 암석분류,석회암,라인 드릴링
0,317.3024969,-2.055855128,0.048736034,모든 화약,모든 뇌관,모든 암석분류,석회암,분착식 다단발파
0,233.0795077,-1.59359601,0.141264495,모든 화약,모든 뇌관,모든 암석분류,석회암,선대구경
0,179.3171814,-1.067862144,0.411971979,모든 화약,모든 뇌관,모든 암석분류,석회암,수직구
0,235.1131698,-1.780607244,0.100710987,모든 화약,모든 뇌관,모든 암석분류,섬록암,모든 심발
0,132.6776301,-1.665812984,0.115125776,모든 화약,모든 뇌관,모든 암석분류,섬록암,Cylinder-cut
0,151.6045196,-1.834344097,0.091821397,모든 화약,모든 뇌관,모든 암석분류,섬록암,TBM 선굴착
0,189.7529486,-2.004994862,0.033865965,모든 화약,모든 뇌관,모든 암석분류,섬록암,V-CUT
0,257.4984183,-2.273909361,-0.174822895,모든 화약,모든 뇌관,모든 암석분류,섬록암,라인 드릴링
0,477.8014076,-2.369444939,-0.136099097,모든 화약,모든 뇌관,모든 암석분류,섬록암,분착식 다단발파
0,361.4293802,-1.868070962,0.089403086,모든 화약,모든 뇌관,모든 암석분류,섬록암,선대구경
0,249.2121459,-1.232492563,0.346203036,모든 화약,모든 뇌관,모든 암석분류,섬록암,수직구
0,223.1545657,-1.762204872,0.087483585,모든 화약,모든 뇌관,모든 암석분류,셰일,모든 심발
