,K,n,s,exp,det,rot,roc,cen
0,4.458777544992838,-1.543100464679572,0.33406010686206006,0,0,0,0,0
0,3.8727974021136093,-1.4804693833443767,0.354672649242041,0,0,1,0,0
0,4.76028294740018,-1.7198135484698287,0.26876805400551607,0,0,2,0,0
0,3.4934729695550093,-1.3325242219981803,0.39692024896091505,0,0,3,0,0
0,4.458777544992838,-1.543100464679572,0.33406010686206006,0,0,0,0,0
0,5.67900672083813,-1.8221033729478386,0.14890302684481183,0,0,0,1,0
0,5.600244624716504,-1.8715871527454453,0.1587644100974009,0,0,0,2,0
0,4.9998782878316685,-1.7834666787525333,0.2777295616703809,0,0,0,3,0
0,5.217981709543178,-1.775202465222743,0.27762037876801243,0,0,0,4,0
0,5.420928396876821,-1.7834753554204623,0.24565316788444125,0,0,0,5,0
0,4.549771206750126,-1.5924459258834793,0.2326082550052699,0,0,0,6,0
0,3.6457010142576163,-1.4310790536054125,0.24625835563858856,0,0,0,7,0
0,3.820393445119058,-1.4799736016656329,0.33301818749843903,0,0,0,8,0
0,4.3959588112173025,-1.597642194702612,0.27935164034504967,0,0,0,9,0
0,4.0304208936560935,-1.519874040819591,0.22957663330568834,0,0,0,10,0
0,3.352354241983328,-1.3574972356618438,0.4219068209474292,0,0,0,11,0
0,3.823825095761818,-1.4502240041387966,0.3224181118316869,0,0,0,0,1
0,2.0577077304163605,-1.134917565498189,0.2687943485933842,0,0,1,0,1
0,4.633245859000145,-1.7761341908387918,0.2807165149603365,0,0,2,0,1
0,4.19223437183045,-1.540730014634966,0.31201196243111556,0,0,3,0,1
0,3.823825095761818,-1.4502240041387966,0.3224181118316869,0,0,0,0,1
0,4.954373690527386,-1.7056391170530605,0.2019861609895505,0,0,0,1,1
0,4.978946661247025,-1.7735014474677333,0.24677517826598086,0,0,0,2,1
0,4.849599061219591,-1.7578698048479464,0.29068345935235135,0,0,0,3,1
0,4.9080386404244924,-1.719476565447824,0.30342844314750844,0,0,0,4,1
0,4.659484728019203,-1.6189248495260162,0.2992372389565108,0,0,0,5,1
0,3.6740978401147495,-1.3911630980678154,0.30685221638261934,0,0,0,6,1
0,2.305387919937339,-1.1441944087098537,0.3215562500322468,0,0,0,7,1
0,2.024254406723994,-1.1316170704533943,0.2658809200356869,0,0,0,8,1
0,2.9277027304207497,-1.329582128056585,0.2109694581225255,0,0,0,9,1
0,3.8356522525195995,-1.5085506764993415,0.21670060352698467,0,0,0,10,1
0,4.103694345830182,-1.525425466762472,0.3308803167793291,0,0,0,11,1
0,1.3966967041900298,-0.764981887557544,0.9802840840822364,0,0,0,0,2
0,1.2272097201126706,-0.8903382428842822,0.7049077260773032,0,0,1,0,2
0,2.91193133892808,-1.3362134473998364,0.6403004808691903,0,0,2,0,2
0,1.3830286271836227,-0.7700717304002305,0.9816777855749285,0,0,3,0,2
0,1.3966967041900298,-0.764981887557544,0.9802840840822364,0,0,0,0,2
0,3.1585930172010612,-1.1724235960605116,0.7019377626834281,0,0,0,1,2
0,3.6942944299871954,-1.3645784128783585,0.5696419470241477,0,0,0,2,2
0,4.132123901623934,-1.479372175692238,0.49737911942165064,0,0,0,3,2
0,4.33883786013685,-1.500308193723464,0.4504004961619622,0,0,0,4,2
0,3.94980262180691,-1.3883389599091487,0.4438981066446969,0,0,0,5,2
0,3.00712219899819,-1.167108707028924,0.4442283348674752,0,0,0,6,2
0,1.9964888803223186,-0.9799722091694831,0.4904910563188348,0,0,0,7,2
0,1.7391885857865623,-0.9451224896843508,0.5499465056897889,0,0,0,8,2
0,1.938670615168483,-0.9713551835613308,0.5827798184855135,0,0,0,9,2
0,1.6654727247234338,-0.8641185249251061,0.7452269578684242,0,0,0,10,2
0,1.3761248295358464,-0.7436427562244209,0.9818490390161838,0,0,0,11,2
0,3.826241563624712,-1.3835625714664248,0.38407585807881195,0,0,0,0,3
0,4.230563901334304,-1.5790647060686118,0.34373769300661683,0,0,1,0,3
0,4.6568752090047285,-1.719364276857912,0.2206059534525582,0,0,2,0,3
0,3.324638087858925,-1.253985994294403,0.4104303080937849,0,0,3,0,3
0,3.826241563624712,-1.3835625714664248,0.38407585807881195,0,0,0,0,3
0,5.616787111326122,-1.7906803119492813,0.15327299300999472,0,0,0,1,3
0,5.674741843673316,-1.8834211506985516,0.14305205408836014,0,0,0,2,3
0,5.905272655895511,-1.924414302834325,0.1734416780355254,0,0,0,3,3
0,5.899238143174538,-1.9090497217999427,0.19747044094984664,0,0,0,4,3
0,5.373456120162602,-1.7653911861675506,0.21817514689088835,0,0,0,5,3
0,4.5863727065494535,-1.5954453561847686,0.2099064706988601,0,0,0,6,3
0,3.7708908028451074,-1.461695653495637,0.23847374425871934,0,0,0,7,3
0,4.104685119843756,-1.5493400051069597,0.3148038999814849,0,0,0,8,3
0,4.418913591680728,-1.6208069829530243,0.29480007878291237,0,0,0,9,3
0,4.011206201882207,-1.528241709935005,0.3257502809650534,0,0,0,10,3
0,3.374340438220718,-1.3817876847817483,0.4053014795338234,0,0,0,11,3
0,4.240910999263297,-1.4854875850505131,0.4259725590254302,0,0,0,0,4
0,4.878670456617881,-1.7265754477570046,0.385102053691121,0,0,1,0,4
0,4.9557760850997905,-1.741410087618183,0.2973785973267104,0,0,2,0,4
0,4.255841952552964,-1.4755153577136442,0.4517675791692872,0,0,3,0,4
0,4.240910999263297,-1.4854875850505131,0.4259725590254302,0,0,0,0,4
0,5.832178941000481,-1.866660212388924,0.23956648608444606,0,0,0,1,4
0,6.134973570063783,-1.9665090400402916,0.22623443807246843,0,0,0,2,4
0,6.3505684362941155,-1.999642108134506,0.22085033411550503,0,0,0,3,4
0,6.509699169155122,-2.0246807049008053,0.21539431019116437,0,0,0,4,4
0,6.301874057031238,-1.9588234664595596,0.22014824211872164,0,0,0,5,4
0,5.345553571822879,-1.7538522340081248,0.23891777828453267,0,0,0,6,4
0,4.526161272809639,-1.6125424958346055,0.2593835950974959,0,0,0,7,4
0,4.821389739067154,-1.7023770416685107,0.2905736875454394,0,0,0,8,4
0,5.203669296581134,-1.7813823242450504,0.28440311629321996,0,0,0,9,4
0,5.013633737126507,-1.7383227571989992,0.28537407265934694,0,0,0,10,4
0,4.383382194385423,-1.6041130738573537,0.34137901252891445,0,0,0,11,4
0,4.992623891540791,-1.6811000149540336,0.3092814770698625,0,0,0,0,5
0,4.362910451147505,-1.5881735658624412,0.37302197257082403,0,0,1,0,5
0,4.9036727997263805,-1.6978545825570286,0.29737388609036225,0,0,2,0,5
0,5.192693118175437,-1.7081035643335654,0.34245806232400433,0,0,3,0,5
0,4.992623891540791,-1.6811000149540336,0.3092814770698625,0,0,0,0,5
0,5.89102071010451,-1.893287186563513,0.25583008619144776,0,0,0,1,5
0,6.283736124697635,-1.9614909555864246,0.27594453310852035,0,0,0,2,5
0,6.466936674845854,-1.997317933652189,0.2831404460614608,0,0,0,3,5
0,6.6031858535423105,-2.022699610558497,0.2749139207121349,0,0,0,4,5
0,6.735365979948976,-2.0426255393736836,0.24871285088552147,0,0,0,5,5
0,6.11855867473251,-1.9008853290354273,0.2420052870252942,0,0,0,6,5
0,4.8135517513640265,-1.6509133791353792,0.2774782761016613,0,0,0,7,5
0,4.914398788277586,-1.6843618558340447,0.3158726439470632,0,0,0,8,5
0,5.26599375283926,-1.7522504116729538,0.31081212831414995,0,0,0,9,5
0,5.518134089655386,-1.8209569193425885,0.29483670864551925,0,0,0,10,5
0,5.2701243817894685,-1.7696533452411585,0.3041927823545418,0,0,0,11,5
0,4.387183304990692,-1.5244453941273766,0.32631135976889114,0,0,0,0,6
0,3.3346501199960934,-1.3050733552112204,0.3414711171995208,0,0,1,0,6
0,4.058083237545717,-1.447563315643552,0.31205300907779887,0,0,2,0,6
0,5.074670076218048,-1.6896753769224901,0.30574266133217515,0,0,3,0,6
0,4.387183304990692,-1.5244453941273766,0.32631135976889114,0,0,0,0,6
0,5.3065888596507484,-1.715804185288859,0.27559230930104167,0,0,0,1,6
0,5.55144539870751,-1.7738410882078426,0.27845223588096024,0,0,0,2,6
0,5.8291161955755415,-1.8464524872864891,0.27122490487062306,0,0,0,3,6
0,6.0371754099579515,-1.9011989397717493,0.2527662514133357,0,0,0,4,6
0,6.102405618894185,-1.919620717392102,0.22909187653069066,0,0,0,5,6
0,6.02640115861885,-1.9054295970690016,0.20661668797001337,0,0,0,6,6
0,4.798990258036868,-1.6379829552119292,0.24455868879031115,0,0,0,7,6
0,3.3126328580561504,-1.2977336758249611,0.34416400100567024,0,0,0,8,6
0,3.5057555717020095,-1.3247847123735645,0.3742723641428508,0,0,0,9,6
0,3.9367872019264656,-1.4210245933436656,0.37836887248325063,0,0,0,10,6
0,4.455508989288483,-1.5514736446516435,0.36218474504439685,0,0,0,11,6
0,3.5888369099679167,-1.331320119360518,0.3476787011023004,0,0,0,0,7
0,3.554405016645122,-1.3410955192213005,0.2575832844627311,0,0,1,0,7
0,2.5189829315658043,-1.123628047999681,0.36211410594440174,0,0,2,0,7
0,1.2671455128619347,-0.8195725117768874,0.5153241008908535,0,0,3,0,7
0,3.5888369099679167,-1.331320119360518,0.3476787011023004,0,0,0,0,7
0,4.4289639012014,-1.519073403240634,0.2813895739631244,0,0,0,1,7
0,4.8655807009491845,-1.6283878502572597,0.2501686229171005,0,0,0,2,7
0,5.220767082623891,-1.7192135686077554,0.2220116685979381,0,0,0,3,7
0,5.416320687494545,-1.7755409725242488,0.19625445612577497,0,0,0,4,7
0,5.533195407946839,-1.8189114925885175,0.1705337999031508,0,0,0,5,7
0,5.530669100635632,-1.834524101256586,0.16125481379887488,0,0,0,6,7
0,5.204390464676121,-1.7668760298220374,0.16863605501166073,0,0,0,7,7
0,3.4014857600607047,-1.369721097410415,0.26839533631992285,0,0,0,8,7
0,2.219987748873705,-1.075312999738494,0.37625976975109166,0,0,0,9,7
0,1.3788957792546606,-0.8484547942676173,0.47897546964872795,0,0,0,10,7
0,1.1911499285016156,-0.7828319040286382,0.5219029891083219,0,0,0,11,7
