,K,n,s,exp,det,rot,roc,cen
0,4.367032204182698,-1.522904542972248,0.33842942523224506,0,0,0,0,0
0,3.9055040394553204,-1.4863382502643772,0.35708391889547964,0,0,1,0,0
0,4.78229022393573,-1.7183462144875592,0.26710648928120434,0,0,2,0,0
0,3.464311150772502,-1.3473360758350224,0.40056913095778607,0,0,3,0,0
0,4.367032204182698,-1.522904542972248,0.33842942523224506,0,0,0,0,0
0,5.760553080551093,-1.8222526741707636,0.15086499177677262,0,0,0,1,0
0,5.616096454189,-1.8983381016527876,0.14875557986972826,0,0,0,2,0
0,4.832195610853497,-1.785908105504163,0.2797785372486466,0,0,0,3,0
0,5.321293477107527,-1.7926878662203642,0.277184353843991,0,0,0,4,0
0,5.429263435820801,-1.7780823763775127,0.24816731916163265,0,0,0,5,0
0,4.537301100898429,-1.5854541730643605,0.23480779875269986,0,0,0,6,0
0,3.61316801200339,-1.4279202774701274,0.22604724004069732,0,0,0,7,0
0,3.79657270819696,-1.4796107449761997,0.3524730318815431,0,0,0,8,0
0,4.458516814989266,-1.6134922783001284,0.28325855086766355,0,0,0,9,0
0,4.020844890844048,-1.5151945027513196,0.21988520790435886,0,0,0,10,0
0,3.3441850717011943,-1.3597010311476665,0.4269874476705037,0,0,0,11,0
0,3.8129587568044343,-1.4566392666337944,0.32337302054900297,0,0,0,0,1
0,1.9871159140662455,-1.116663654043402,0.26104133194227475,0,0,1,0,1
0,4.682911041467813,-1.791840874910939,0.2860238110422115,0,0,2,0,1
0,4.118428919500137,-1.541653728012612,0.3128683768635281,0,0,3,0,1
0,3.8129587568044343,-1.4566392666337944,0.32337302054900297,0,0,0,0,1
0,5.022747082868384,-1.717233216863153,0.2035425915302305,0,0,0,1,1
0,4.892094723333713,-1.7824076562561006,0.25316806098337874,0,0,0,2,1
0,4.78733007943031,-1.778307852491401,0.291047225688883,0,0,0,3,1
0,4.88422622467272,-1.7018925162076208,0.30893487730077435,0,0,0,4,1
0,4.695422198426455,-1.6087250355344112,0.3075491554646469,0,0,0,5,1
0,3.6975596572234197,-1.3864259500512215,0.3057968111049517,0,0,0,6,1
0,2.3078337892687206,-1.1430359562890438,0.2917153378935054,0,0,0,7,1
