,,,,,,,,화약,,뇌관,,암석분류,,암석명,,심발공,,,,
,,,,,,,,0,모든 폭약,0,모든 뇌관,0,모든 암석분류,0,모든 암석명,0,모든 심발,,,
,,,,,,,,1,에멀젼C,1,비전기,1,변성암,1,규장암,1,Cylinder-cut,,,
,,,,,,,,2,정밀폭약,2,전기,2,퇴적암,2,사암,2,TBM 선굴착,,,
,,,,,,,,3,벌크에멀젼,3,전자,3,화성암,3,석회암,3,V-CUT,,,
,,,,,,,,,,,,,,4,섬록암,4,라인 드릴링,,,
,,,,,,,,,,,,,,5,셰일,5,분착식 다단발파,,,
,,,,,,,,,,,,,,6,안산암,6,선대구경,,,
,,,,,,,,,,,,,,7,응회암,7,수직구,,,
,,,,,,,,,,,,,,8,편마암,,,,,
,,,,,,,,,,,,,,9,편암,,,,,
,,,,,,,,,,,,,,10,화강반암,,,,,
,,,,,,,,,,,,,,11, 화강암,,,,0,0
0,1367.523184,,,,,,,,,,,,,,,,,,0,0
0,0.027032749,,,,,,,,,,,,,,,,,,,
,K,n,s,exp,det,rot,roc,cen,,,,,,,,,,,,
0,71.44459667,-1.506277429,0.359163282,0,0,0,0,0,,,,,,,,,,,,
0,48.71756841,-1.487893797,0.36241751,0,0,1,0,0,,,,,,,,,,,,
0,118.3887909,-1.712404417,0.270917821,0,0,2,0,0,,,,,,,,,,,,
0,30.86918148,-1.347732623,0.403956451,0,0,3,0,0,,,,,,,,,,,,
0,71.44459667,-1.506277429,0.359163282,0,0,0,0,0,,,,,,,,,,,,
0,316.1932772,-1.807523131,0.154607878,0,0,0,1,0,,,,,,,,,,,,
0,267.8891313,-1.893770696,0.146814639,0,0,0,2,0,,,,,,,,,,,,
0,118.7554989,-1.783865962,0.283090536,0,0,0,3,0,,,,,,,,,,,,
0,208.8929259,-1.789601396,0.2805586,0,0,0,4,0,,,,,,,,,,,,
0,223.5727753,-1.774431492,0.249354109,0,0,0,5,0,,,,,,,,,,,,
0,94.24632636,-1.589355625,0.233187531,0,0,0,6,0,,,,,,,,,,,,
0,36.08135982,-1.436638375,0.216820181,0,0,0,7,0,,,,,,,,,,,,
0,44.99947194,-1.474359211,0.361507534,0,0,0,8,0,,,,,,,,,,,,
0,87.16827178,-1.625531468,0.280999925,0,0,0,9,0,,,,,,,,,,,,
0,53.63750423,-1.518293402,0.218759752,0,0,0,10,0,,,,,,,,,,,,
0,29.09886279,-1.358041677,0.427078257,0,0,0,11,0,,,,,,,,,,,,
0,46.00441453,-1.460244852,0.324834269,0,0,0,0,1,,,,,,,,,,,,
0,7.210144698,-1.118724558,0.260231588,0,0,1,0,1,,,,,,,,,,,,
0,109.5059803,-1.801860238,0.290800592,0,0,2,0,1,,,,,,,,,,,,
0,60.25059668,-1.532395254,0.31165544,0,0,3,0,1,,,,,,,,,,,,
0,46.00441453,-1.460244852,0.324834269,0,0,0,0,1,,,,,,,,,,,,
0,160.9396853,-1.719000912,0.206491884,0,0,0,1,1,,,,,,,,,,,,
0,122.4564895,-1.774419064,0.26283699,0,0,0,2,1,,,,,,,,,,,,
0,117.8690622,-1.790196607,0.291157469,0,0,0,3,1,,,,,,,,,,,,
0,133.0817497,-1.702517393,0.305588457,0,0,0,4,1,,,,,,,,,,,,
0,114.0729695,-1.613006619,0.300037384,0,0,0,5,1,,,,,,,,,,,,
0,40.9101334,-1.386654514,0.308951455,0,0,0,6,1,,,,,,,,,,,,
0,9.111597098,-1.125143182,0.288400895,0,0,0,7,1,,,,,,,,,,,,
0,7.258431134,-1.111250039,0.260420155,0,0,0,8,1,,,,,,,,,,,,
