화약,뇌관,암종,심발,SR SD,CR SD,최대입자속도
에멀젼C,비전기,화강암,Cylinder-cut,30.4,24.13,0.22899999999999998
에멀젼C,비전기,화강암,Cylinder-cut,30.4,24.13,0.317
에멀젼C,비전기,화강암,Cylinder-cut,28.0,22.22,0.267
에멀젼C,비전기,화강암,Cylinder-cut,28.0,22.22,0.305
에멀젼C,비전기,화강암,Cylinder-cut,28.0,22.22,0.762
에멀젼C,비전기,화강암,Cylinder-cut,28.0,22.22,0.698
에멀젼C,비전기,화강암,Cylinder-cut,40.0,31.75,0.13699999999999998
에멀젼C,비전기,화강암,Cylinder-cut,40.0,31.75,0.268
에멀젼C,비전기,화강암,Cylinder-cut,38.0,30.16,0.24100000000000002
에멀젼C,비전기,화강암,Cylinder-cut,38.0,30.16,0.243
에멀젼C,비전기,화강암,Cylinder-cut,38.0,30.16,0.32899999999999996
에멀젼C,비전기,화강암,Cylinder-cut,38.0,30.16,0.33
에멀젼C,비전기,화강암,Cylinder-cut,50.0,39.69,0.11699999999999999
에멀젼C,비전기,화강암,Cylinder-cut,50.0,39.69,0.151
에멀젼C,비전기,화강암,Cylinder-cut,48.0,38.1,0.135
에멀젼C,비전기,화강암,Cylinder-cut,48.0,38.1,0.129
에멀젼C,비전기,화강암,Cylinder-cut,48.0,38.1,0.24
에멀젼C,비전기,화강암,Cylinder-cut,48.0,38.1,0.221
에멀젼C,비전기,화강암,Cylinder-cut,55.0,43.65,0.163
에멀젼C,비전기,화강암,Cylinder-cut,55.0,43.65,0.038
에멀젼C,비전기,화강암,Cylinder-cut,52.0,41.27,0.115
에멀젼C,비전기,화강암,Cylinder-cut,52.0,41.27,0.109
에멀젼C,비전기,화강암,Cylinder-cut,52.0,41.27,0.185
에멀젼C,비전기,화강암,Cylinder-cut,52.0,41.27,0.24100000000000002
에멀젼C,비전기,화강암,Cylinder-cut,59.0,46.83,0.14400000000000002
에멀젼C,비전기,화강암,Cylinder-cut,59.0,46.83,0.054000000000000006
에멀젼C,비전기,화강암,Cylinder-cut,56.0,44.45,0.122
에멀젼C,비전기,화강암,Cylinder-cut,56.0,44.45,0.111
에멀젼C,비전기,화강암,Cylinder-cut,56.0,44.45,0.163
에멀젼C,비전기,화강암,Cylinder-cut,56.0,44.45,0.203
에멀젼C,비전기,화강암,Cylinder-cut,101.4,80.48,0.023
에멀젼C,비전기,화강암,Cylinder-cut,101.4,80.48,0.013000000000000001
에멀젼C,비전기,화강암,Cylinder-cut,96.0,76.2,0.025
에멀젼C,비전기,화강암,Cylinder-cut,96.0,76.2,0.038
에멀젼C,비전기,화강암,Cylinder-cut,96.0,76.2,0.051
에멀젼C,비전기,화강암,Cylinder-cut,96.0,76.2,0.08199999999999999
에멀젼C,비전기,화강암,Cylinder-cut,106.6,84.61,0.027000000000000003
에멀젼C,비전기,화강암,Cylinder-cut,106.6,84.61,0.021
에멀젼C,비전기,화강암,Cylinder-cut,104.0,82.54,0.032
에멀젼C,비전기,화강암,Cylinder-cut,104.0,82.54,0.035
에멀젼C,비전기,화강암,Cylinder-cut,104.0,82.54,0.038
에멀젼C,비전기,화강암,Cylinder-cut,104.0,82.54,0.048
에멀젼C,비전기,화강암,Cylinder-cut,129.0,102.39,0.019
에멀젼C,비전기,화강암,Cylinder-cut,129.0,102.39,0.011000000000000001
에멀젼C,비전기,화강암,Cylinder-cut,126.0,100.01,0.021
에멀젼C,비전기,화강암,Cylinder-cut,126.0,100.01,0.024
에멀젼C,비전기,화강암,Cylinder-cut,126.0,100.01,0.03
에멀젼C,비전기,화강암,Cylinder-cut,126.0,100.01,0.028999999999999998
