화약,심발,SR SD,CR SD,최대입자속도
에멀젼C,분착식 다단발파,20.66,23.9,0.552
에멀젼C,분착식 다단발파,24.51,26.5,0.514
에멀젼C,분착식 다단발파,23.72,25.65,0.502
에멀젼C,분착식 다단발파,20.66,23.9,1.092
에멀젼C,분착식 다단발파,26.52,27.63,0.495
에멀젼C,분착식 다단발파,32.5,38.01,0.248
에멀젼C,분착식 다단발파,32.92,38.09,0.28600000000000003
에멀젼C,분착식 다단발파,32.27,37.35,0.26
에멀젼C,분착식 다단발파,30.8,36.68,0.21
에멀젼C,분착식 다단발파,31.88,37.28,0.22899999999999998
에멀젼C,분착식 다단발파,45.18,52.28,0.244
에멀젼C,분착식 다단발파,45.83,53.03,0.23399999999999999
에멀젼C,분착식 다단발파,63.64,66.31,0.156
에멀젼C,분착식 다단발파,42.65,50.78,0.166
에멀젼C,분착식 다단발파,44.69,52.27,0.17300000000000001
에멀젼C,분착식 다단발파,54.87,63.49,0.237
에멀젼C,분착식 다단발파,56.16,64.98,0.195
에멀젼C,분착식 다단발파,51.53,61.36,0.19
에멀젼C,분착식 다단발파,53.75,62.87,0.22
에멀젼C,분착식 다단발파,54.38,63.6,0.22
에멀젼C,분착식 다단발파,65.63,76.76,0.129
에멀젼C,분착식 다단발파,66.88,78.22,0.129
에멀젼C,분착식 다단발파,83.8,90.63,0.12
에멀젼C,분착식 다단발파,62.79,74.76,0.134
에멀젼C,분착식 다단발파,66.88,78.22,0.1
에멀젼C,분착식 다단발파,85.63,100.15,0.028999999999999998
에멀젼C,분착식 다단발파,80.56,95.92,0.028999999999999998
에멀젼C,분착식 다단발파,85.63,100.15,0.034
에멀젼C,분착식 다단발파,84.38,98.69,0.044000000000000004
에멀젼C,분착식 다단발파,121.09,126.18,0.032
에멀젼C,분착식 다단발파,101.25,118.42,0.013000000000000001
에멀젼C,분착식 다단발파,101.25,118.42,0.013000000000000001
에멀젼C,분착식 다단발파,128.07,138.51,0.011000000000000001
에멀젼C,분착식 다단발파,103.93,120.25,0.013000000000000001
에멀젼C,분착식 다단발파,101.25,118.42,0.01
에멀젼C,분착식 다단발파,95.6,110.62,0.087
에멀젼C,분착식 다단발파,95.6,110.62,0.067
에멀젼C,분착식 다단발파,87.73,104.46,0.07
에멀젼C,분착식 다단발파,91.25,106.73,0.059000000000000004
에멀젼C,분착식 다단발파,91.88,107.46,0.09
에멀젼C,분착식 다단발파,61.24,65.52,0.375
에멀젼C,분착식 다단발파,55.5,61.63,0.442
에멀젼C,분착식 다단발파,55.87,62.04,0.409
에멀젼C,분착식 다단발파,48.07,56.0,0.409
에멀젼C,분착식 다단발파,49.14,57.25,0.342
에멀젼C,분착식 다단발파,83.94,89.8,0.10800000000000001
에멀젼C,분착식 다단발파,74.49,82.72,0.159
에멀젼C,분착식 다단발파,74.49,82.72,0.146
에멀젼C,분착식 다단발파,63.88,74.42,0.203
에멀젼C,분착식 다단발파,58.77,70.58,0.165
에멀젼C,분착식 다단발파,104.18,111.47,0.083
에멀젼C,분착식 다단발파,92.02,102.18,0.114
에멀젼C,분착식 다단발파,92.75,102.99,0.114
에멀젼C,분착식 다단발파,91.29,101.37,0.127
에멀젼C,분착식 다단발파,80.51,93.8,0.102
에멀젼C,분착식 다단발파,124.11,132.78,0.046
에멀젼C,분착식 다단발파,96.51,112.44,0.055999999999999994
에멀젼C,분착식 다단발파,95.5,111.26,0.075
에멀젼C,분착식 다단발파,88.1,105.81,0.044000000000000004
에멀젼C,분착식 다단발파,107.9,121.12,0.044000000000000004
에멀젼C,분착식 다단발파,145.01,155.15,0.03
에멀젼C,분착식 다단발파,144.52,154.62,0.03
에멀젼C,분착식 다단발파,127.8,141.92,0.054000000000000006
에멀젼C,분착식 다단발파,128.53,142.73,0.043
에멀젼C,분착식 다단발파,111.63,130.05,0.037000000000000005
에멀젼C,분착식 다단발파,115.97,130.17,0.084
에멀젼C,분착식 다단발파,141.15,148.39,0.084
에멀젼C,분착식 다단발파,120.43,133.73,0.057
에멀젼C,분착식 다단발파,147.13,152.71,0.06
에멀젼C,분착식 다단발파,133.09,142.39,0.087
에멀젼C,분착식 다단발파,163.3,174.72,0.064
에멀젼C,분착식 다단발파,145.33,161.38,0.079
에멀젼C,분착식 다단발파,141.42,158.74,0.019
에멀젼C,분착식 다단발파,156.5,169.69,0.022000000000000002
에멀젼C,분착식 다단발파,156.5,169.69,0.022000000000000002
에멀젼C,분착식 다단발파,225.35,241.11,0.016
에멀젼C,분착식 다단발파,226.82,242.68,0.011000000000000001
에멀젼C,분착식 다단발파,226.82,242.68,0.008
에멀젼C,분착식 다단발파,226.17,241.98,0.011000000000000001
에멀젼C,분착식 다단발파,226.17,241.98,0.013000000000000001
