화약,SR SD,CR SD,최대입자속도
에멀젼C,18.8,14.92,3.2039999999999997
에멀젼C,18.8,14.92,2.97
에멀젼C,15.21,12.77,3.9
에멀젼C,15.21,12.77,2.609
에멀젼C,15.38,12.91,3.176
에멀젼C,15.38,12.91,2.6689999999999996
에멀젼C,179.2,142.23,0.040999999999999995
에멀젼C,152.47,127.99,0.062
에멀젼C,152.47,127.99,0.033
에멀젼C,151.62,127.28,0.06
에멀젼C,151.62,127.28,0.028999999999999998
에멀젼C,153.48,128.84,0.032
에멀젼C,50.7,50.7,0.17800000000000002
에멀젼C,98.6,78.26,0.14400000000000002
에멀젼C,98.6,78.26,0.139
에멀젼C,85.02,71.37,0.20199999999999999
에멀젼C,85.02,71.37,0.14300000000000002
에멀젼C,81.81,69.47,0.15
에멀젼C,80.7,80.7,0.062
에멀젼C,158.6,125.88,0.035
에멀젼C,158.6,125.88,0.038
에멀젼C,158.6,125.88,0.048
에멀젼C,158.6,125.88,0.039
에멀젼C,135.39,113.66,0.047
에멀젼C,111.4,111.4,0.038
에멀젼C,218.6,173.5,0.028999999999999998
에멀젼C,218.6,173.5,0.032
에멀젼C,217.2,172.39,0.033
에멀젼C,185.93,156.09,0.028999999999999998
에멀젼C,178.98,151.98,0.035
에멀젼C,84.2,66.83,0.16399999999999998
에멀젼C,48.41,45.61,0.14300000000000002
에멀젼C,47.57,44.82,0.136
에멀젼C,44.41,39.56,0.24
에멀젼C,44.41,39.56,0.198
에멀젼C,435.6,345.74,0.009000000000000001
에멀젼C,425.2,337.48,0.011000000000000001
에멀젼C,296.14,263.83,0.009000000000000001
에멀젼C,295.0,262.82,0.009000000000000001
에멀젼C,295.0,262.82,0.011000000000000001
에멀젼C,44.12,39.31,0.19399999999999998
에멀젼C,51.6,40.95,0.247
에멀젼C,55.0,43.65,0.222
에멀젼C,31.67,29.85,0.358
에멀젼C,34.42,32.44,0.244
에멀젼C,92.6,73.5,0.09300000000000001
에멀젼C,61.91,58.34,0.067
에멀젼C,63.47,59.8,0.071
에멀젼C,63.07,56.19,0.067
에멀젼C,61.94,55.18,0.115
에멀젼C,145.6,115.56,0.033
에멀젼C,132.0,104.77,0.051
에멀젼C,94.19,83.91,0.037000000000000005
에멀젼C,93.06,82.9,0.046
에멀젼C,91.92,81.89,0.043
에멀젼C,125.3,111.63,0.068
에멀젼C,129.4,115.28,0.026000000000000002
에멀젼C,174.2,138.26,0.032
에멀젼C,172.6,136.99,0.031
에멀젼C,120.77,107.6,0.034
에멀젼C,215.8,171.28,0.027000000000000003
에멀젼C,212.6,168.74,0.027000000000000003
에멀젼C,227.6,180.65,0.023
에멀젼C,147.93,131.79,0.022000000000000002
에멀젼C,146.8,130.78,0.032
에멀젼C,185.26,165.05,0.011000000000000001
에멀젼C,251.0,199.22,0.016
에멀젼C,266.0,211.12,0.01
에멀젼C,178.47,159.0,0.011000000000000001
에멀젼C,177.34,157.99,0.015
에멀젼C,24.66,20.94,2.6439999999999997
에멀젼C,19.52,17.39,1.5630000000000002
에멀젼C,19.52,17.39,2.349
에멀젼C,18.38,16.38,2.238
에멀젼C,16.69,14.87,3.137
에멀젼C,179.4,142.39,0.054000000000000006
에멀젼C,122.75,109.36,0.069
에멀젼C,130.81,116.54,0.055999999999999994
에멀젼C,119.78,106.72,0.07200000000000001
에멀젼C,152.36,129.38,0.06
에멀젼C,210.4,166.99,0.03
에멀젼C,217.4,172.55,0.038
에멀젼C,145.95,130.02,0.049
에멀젼C,179.14,152.12,0.03
에멀젼C,165.1,140.2,0.033
에멀젼C,365.4,290.02,0.016
에멀젼C,375.6,298.11,0.013999999999999999
에멀젼C,256.54,228.55,0.015
에멀젼C,258.94,230.69,0.017
에멀젼C,258.24,230.06,0.013999999999999999
에멀젼C,82.6,65.56,0.13
에멀젼C,55.15,49.14,0.156
에멀젼C,64.35,57.33,0.124
에멀젼C,54.31,48.38,0.174
에멀젼C,60.81,54.18,0.11
에멀젼C,138.6,110.01,0.094
에멀젼C,93.2,83.03,0.09300000000000001
에멀젼C,96.31,85.8,0.099
에멀젼C,102.39,91.22,0.079
에멀젼C,123.29,104.7,0.086
에멀젼C,161.01,136.73,0.040999999999999995
에멀젼C,136.61,121.71,0.045
에멀젼C,140.57,125.24,0.047
에멀젼C,142.84,127.25,0.035
에멀젼C,144.67,128.89,0.036000000000000004
에멀젼C,214.34,238.02,0.012
