화약,뇌관,SR SD,CR SD,최대입자속도
정밀폭약,비전기,65.05,46.0,0.114
정밀폭약,비전기,76.37,54.0,0.049
정밀폭약,비전기,104.65,74.0,0.038
정밀폭약,비전기,147.08,104.0,0.019
정밀폭약,비전기,175.36,124.0,0.018000000000000002
정밀폭약,비전기,93.34,66.0,0.049
정밀폭약,비전기,19.38,16.96,0.889
정밀폭약,비전기,26.83,23.49,0.386
정밀폭약,비전기,34.29,30.01,0.259
정밀폭약,비전기,37.27,32.62,0.182
정밀폭약,비전기,40.25,35.23,0.156
정밀폭약,비전기,70.06,61.33,0.062
정밀폭약,비전기,76.03,66.55,0.038
정밀폭약,비전기,92.42,80.91,0.031
정밀폭약,비전기,21.91,20.52,0.175
정밀폭약,비전기,27.99,26.22,0.252
정밀폭약,비전기,46.25,43.32,0.081
정밀폭약,비전기,57.21,53.58,0.035
정밀폭약,비전기,59.64,55.86,0.044000000000000004
정밀폭약,비전기,58.42,54.72,0.068
정밀폭약,비전기,70.6,66.12,0.07200000000000001
정밀폭약,비전기,82.77,77.52,0.053
정밀폭약,비전기,94.94,88.92,0.026000000000000002
정밀폭약,비전기,119.28,111.72,0.032
정밀폭약,비전기,225.17,210.9,0.006999999999999999
정밀폭약,비전기,33.76,40.2,0.467
정밀폭약,비전기,39.69,47.26,0.363
정밀폭약,비전기,45.61,54.31,0.154
정밀폭약,비전기,51.53,61.36,0.132
정밀폭약,비전기,57.46,68.42,0.087
정밀폭약,비전기,175.93,209.48,0.044000000000000004
