화약,뇌관,암석분류,SR SD,CR SD,최대입자속도
정밀폭약,전자,화성암,71.18,57.74,0.124
정밀폭약,전자,화성암,108.64,88.13,0.033
정밀폭약,전자,화성암,146.11,118.53,0.028999999999999998
정밀폭약,전자,화성암,183.57,148.92,0.021
정밀폭약,전자,화성암,224.78,182.35,0.013999999999999999
정밀폭약,전자,화성암,275.36,223.38,0.015
정밀폭약,전자,화성암,280.98,227.93,0.01
정밀폭약,전자,화성암,335.3,272.0,0.016
정밀폭약,전자,화성암,127.38,103.33,0.04
정밀폭약,전자,화성암,164.84,133.72,0.022000000000000002
정밀폭약,전자,화성암,192.94,156.51,0.028999999999999998
정밀폭약,전자,화성암,264.12,214.26,0.013000000000000001
정밀폭약,전자,화성암,460.8,373.81,0.012
정밀폭약,전자,화성암,530.11,430.04,0.015
정밀폭약,전자,화성암,89.91,72.94,0.102
정밀폭약,전자,화성암,127.38,103.33,0.038
정밀폭약,전자,화성암,164.84,133.72,0.025
정밀폭약,전자,화성암,192.94,156.51,0.022000000000000002
정밀폭약,전자,화성암,262.24,212.74,0.019
정밀폭약,전자,화성암,462.67,375.33,0.012
정밀폭약,전자,화성암,530.11,430.04,0.015
정밀폭약,전자,화성암,23.19,18.09,0.24100000000000002
정밀폭약,전자,화성암,67.46,52.61,0.095
정밀폭약,전자,화성암,80.11,62.48,0.067
정밀폭약,전자,화성암,101.19,78.92,0.040999999999999995
정밀폭약,전자,화성암,109.63,85.5,0.013999999999999999
정밀폭약,전자,화성암,122.27,95.36,0.025
정밀폭약,전자,화성암,217.14,169.35,0.003
정밀폭약,전자,화성암,229.79,179.21,0.016
정밀폭약,전자,화성암,320.44,249.91,0.003
정밀폭약,전자,화성암,550.24,429.12,0.006999999999999999
정밀폭약,전자,화성암,23.0,16.95,0.419
정밀폭약,전자,화성암,32.5,23.95,0.381
정밀폭약,전자,화성암,98.75,72.76,0.049
정밀폭약,전자,화성암,145.0,106.84,0.051
정밀폭약,전자,화성암,170.0,125.26,0.037000000000000005
정밀폭약,전자,화성암,195.0,143.68,0.035
정밀폭약,전자,화성암,220.0,162.1,0.027000000000000003
정밀폭약,전자,화성암,95.0,70.0,0.068
정밀폭약,전자,화성암,120.0,88.42,0.028999999999999998
정밀폭약,전자,화성암,145.0,106.84,0.006
정밀폭약,전자,화성암,170.0,125.26,0.01
정밀폭약,전자,화성암,195.0,143.68,0.008
정밀폭약,전자,화성암,52.5,38.68,0.08900000000000001
정밀폭약,전자,화성암,395.0,291.04,0.012
정밀폭약,전자,화성암,425.0,313.14,0.027000000000000003
정밀폭약,전자,화성암,40.25,30.78,0.289
정밀폭약,전자,화성암,51.43,39.33,0.051
정밀폭약,전자,화성암,84.97,64.98,0.064
정밀폭약,전자,화성암,105.1,80.37,0.042
정밀폭약,전자,화성암,109.57,83.79,0.038
정밀폭약,전자,화성암,107.33,82.08,0.048
정밀폭약,전자,화성암,129.69,99.18,0.02
정밀폭약,전자,화성암,152.05,116.28,0.016
정밀폭약,전자,화성암,174.41,133.38,0.013000000000000001
정밀폭약,전자,화성암,219.13,167.58,0.013000000000000001
정밀폭약,전자,화성암,39.76,30.53,0.47600000000000003
정밀폭약,전자,화성암,61.84,47.49,0.225
정밀폭약,전자,화성암,72.88,55.97,0.171
