화약,뇌관,암종,SR SD,CR SD,최대입자속도
정밀폭약,전자,안산암,127.38,103.33,0.04
정밀폭약,전자,안산암,164.84,133.72,0.022000000000000002
정밀폭약,전자,안산암,192.94,156.51,0.028999999999999998
정밀폭약,전자,안산암,264.12,214.26,0.013000000000000001
정밀폭약,전자,안산암,460.8,373.81,0.012
정밀폭약,전자,안산암,530.11,430.04,0.015
정밀폭약,전자,안산암,89.91,72.94,0.102
정밀폭약,전자,안산암,127.38,103.33,0.038
정밀폭약,전자,안산암,164.84,133.72,0.025
정밀폭약,전자,안산암,192.94,156.51,0.022000000000000002
정밀폭약,전자,안산암,262.24,212.74,0.019
정밀폭약,전자,안산암,462.67,375.33,0.012
정밀폭약,전자,안산암,530.11,430.04,0.015
