화약,암석분류,심발,SR SD,CR SD,최대입자속도
정밀폭약,화성암,V-CUT,34.44,30.14,0.27
정밀폭약,화성암,V-CUT,34.44,30.14,0.11
정밀폭약,화성암,V-CUT,108.67,95.13,0.057
정밀폭약,화성암,V-CUT,148.62,130.1,0.024
정밀폭약,화성암,V-CUT,163.98,143.55,0.022000000000000002
정밀폭약,화성암,V-CUT,21.96,23.5,0.35700000000000004
정밀폭약,화성암,V-CUT,21.96,23.5,0.23
정밀폭약,화성암,V-CUT,30.29,32.41,0.11
정밀폭약,화성암,V-CUT,48.01,51.37,0.025
정밀폭약,화성암,V-CUT,59.6,63.77,0.099
정밀폭약,화성암,V-CUT,65.89,70.5,0.064
정밀폭약,화성암,V-CUT,81.0,86.66,0.11199999999999999
정밀폭약,화성암,V-CUT,166.08,177.69,0.034
정밀폭약,화성암,V-CUT,209.43,224.07,0.024
