화약,뇌관,암석분류,심발,SR SD,CR SD,최대입자속도
함수폭약,전기,변성암,V-CUT,38.38,41.06,0.05
함수폭약,전기,변성암,V-CUT,37.8,40.45,0.4
함수폭약,전기,변성암,V-CUT,39.6,42.37,0.25
함수폭약,전기,변성암,V-CUT,38.38,41.06,0.3
함수폭약,전기,변성암,V-CUT,37.56,40.18,0.27
함수폭약,전기,변성암,V-CUT,38.38,41.06,0.27
함수폭약,전기,변성암,V-CUT,39.6,42.37,0.38
함수폭약,전기,변성암,V-CUT,38.87,41.58,0.22
함수폭약,전기,변성암,V-CUT,36.99,39.57,0.268
함수폭약,전기,변성암,V-CUT,47.36,50.67,0.42700000000000005
함수폭약,전기,변성암,V-CUT,37.8,40.45,0.24100000000000002
함수폭약,전기,변성암,V-CUT,18.72,21.81,0.34299999999999997
함수폭약,전기,변성암,V-CUT,19.23,22.4,0.55
함수폭약,전기,변성암,V-CUT,25.3,29.47,0.4
함수폭약,전기,변성암,V-CUT,19.8,23.06,0.07
함수폭약,전기,변성암,V-CUT,23.84,27.78,0.12
함수폭약,전기,변성암,V-CUT,18.02,21.0,0.4
함수폭약,전기,변성암,V-CUT,19.04,22.18,0.48
함수폭약,전기,변성암,V-CUT,19.04,22.18,0.3
함수폭약,전기,변성암,V-CUT,37.0,37.0,0.22899999999999998
함수폭약,전기,변성암,V-CUT,47.92,45.68,0.254
함수폭약,전기,변성암,V-CUT,62.05,52.7,1.95
함수폭약,전기,변성암,V-CUT,78.0,61.91,0.3
함수폭약,전기,변성암,V-CUT,80.0,63.5,0.35
함수폭약,전기,변성암,V-CUT,82.0,65.08,0.25
함수폭약,전기,변성암,V-CUT,61.38,54.68,0.264
함수폭약,전기,변성암,V-CUT,42.72,40.72,0.111
함수폭약,전기,변성암,V-CUT,76.0,60.32,0.4
함수폭약,전기,변성암,V-CUT,43.88,41.82,1.67
함수폭약,전기,변성암,V-CUT,61.12,53.5,0.5
함수폭약,전기,변성암,V-CUT,64.34,54.64,0.4
함수폭약,전기,변성암,V-CUT,66.95,56.86,0.3
함수폭약,전기,변성암,V-CUT,59.93,50.89,0.6
함수폭약,전기,변성암,V-CUT,57.98,51.66,0.5
함수폭약,전기,변성암,V-CUT,67.83,59.38,0.25
함수폭약,전기,변성암,V-CUT,84.0,66.67,0.2
함수폭약,전기,변성암,V-CUT,80.0,63.5,0.17
함수폭약,전기,변성암,V-CUT,91.92,65.0,0.2
함수폭약,전기,변성암,V-CUT,86.83,61.4,0.1
함수폭약,전기,변성암,V-CUT,80.83,61.15,0.051
함수폭약,전기,변성암,V-CUT,63.05,47.7,0.311
함수폭약,전기,변성암,V-CUT,65.05,46.0,0.5
함수폭약,전기,변성암,V-CUT,91.64,64.8,0.2
함수폭약,전기,변성암,V-CUT,87.68,62.0,0.22
함수폭약,전기,변성암,V-CUT,68.03,50.48,0.15
함수폭약,전기,변성암,V-CUT,76.84,57.02,0.15
함수폭약,전기,변성암,V-CUT,92.25,68.46,0.5589999999999999
함수폭약,전기,변성암,V-CUT,64.11,47.58,0.44299999999999995
함수폭약,전기,변성암,V-CUT,56.53,41.95,0.079
함수폭약,전기,변성암,V-CUT,55.64,41.92,0.3
함수폭약,전기,변성암,V-CUT,45.58,37.94,0.4
함수폭약,전기,변성암,V-CUT,44.54,37.08,0.2
함수폭약,전기,변성암,V-CUT,60.65,50.5,0.3
함수폭약,전기,변성암,V-CUT,43.92,37.58,0.17
함수폭약,전기,변성암,V-CUT,51.27,43.86,0.2
함수폭약,전기,변성암,V-CUT,48.0,39.96,0.14400000000000002
함수폭약,전기,변성암,V-CUT,67.79,51.08,0.546
함수폭약,전기,변성암,V-CUT,67.32,47.6,0.28300000000000003
