뇌관,암석분류,SR SD,CR SD,최대입자속도
전자,퇴적암,40.0,31.75,0.064
전자,퇴적암,38.0,30.16,0.106
전자,퇴적암,37.95,29.59,0.083
전자,퇴적암,42.0,33.34,0.079
전자,퇴적암,60.0,47.62,0.073
전자,퇴적암,58.0,46.03,0.098
전자,퇴적암,59.03,46.04,0.064
전자,퇴적암,62.0,49.21,0.071
전자,퇴적암,76.0,60.32,0.092
전자,퇴적암,74.0,58.73,0.11900000000000001
전자,퇴적암,75.89,59.19,0.066
전자,퇴적암,78.0,61.91,0.087
전자,퇴적암,82.0,65.08,0.064
전자,퇴적암,80.0,63.5,0.083
전자,퇴적암,82.22,64.12,0.059000000000000004
전자,퇴적암,84.0,66.67,0.064
전자,퇴적암,100.0,79.37,0.039
전자,퇴적암,98.0,77.78,0.034
전자,퇴적암,101.19,78.92,0.006999999999999999
전자,퇴적암,102.0,80.96,0.006999999999999999
전자,퇴적암,120.0,95.24,0.019
전자,퇴적암,118.0,93.66,0.021
전자,퇴적암,122.27,95.36,0.019
전자,퇴적암,122.0,96.83,0.019
전자,퇴적암,140.0,111.12,0.019
전자,퇴적암,138.0,109.53,0.019
전자,퇴적암,143.36,111.8,0.005
전자,퇴적암,142.0,112.71,0.005
