뇌관,SR SD,CR SD,최대입자속도
전자,72.2,57.31,0.066
전자,70.8,56.19,0.062
전자,69.2,54.92,0.06
전자,67.8,53.81,0.071
전자,65.0,51.59,0.07400000000000001
전자,86.4,68.58,0.028999999999999998
전자,86.4,68.58,0.042
전자,85.0,67.46,0.040999999999999995
전자,83.8,66.51,0.033
전자,82.6,65.56,0.040999999999999995
전자,147.0,116.67,0.012
전자,147.0,116.67,0.017
전자,147.0,116.67,0.015
전자,146.2,116.04,0.017
전자,143.6,113.98,0.016
전자,136.0,107.94,0.027000000000000003
전자,136.0,107.94,0.036000000000000004
전자,134.6,106.83,0.024
전자,134.6,106.83,0.024
전자,133.2,105.72,0.026000000000000002
전자,61.2,48.57,0.065
전자,59.6,47.3,0.059000000000000004
전자,59.6,47.3,0.087
전자,58.0,46.03,0.071
전자,58.0,46.03,0.071
전자,68.0,53.97,0.046
전자,68.0,53.97,0.06
전자,66.6,52.86,0.047
전자,65.0,51.59,0.057
전자,63.6,50.48,0.07200000000000001
전자,40.0,31.75,0.064
전자,38.0,30.16,0.106
전자,37.95,29.59,0.083
전자,42.0,33.34,0.079
전자,60.0,47.62,0.073
전자,58.0,46.03,0.098
전자,59.03,46.04,0.064
전자,62.0,49.21,0.071
전자,76.0,60.32,0.092
전자,74.0,58.73,0.11900000000000001
전자,75.89,59.19,0.066
전자,78.0,61.91,0.087
전자,82.0,65.08,0.064
전자,80.0,63.5,0.083
전자,82.22,64.12,0.059000000000000004
전자,84.0,66.67,0.064
전자,100.0,79.37,0.039
전자,98.0,77.78,0.034
전자,101.19,78.92,0.006999999999999999
전자,102.0,80.96,0.006999999999999999
전자,120.0,95.24,0.019
전자,118.0,93.66,0.021
전자,122.27,95.36,0.019
전자,122.0,96.83,0.019
전자,140.0,111.12,0.019
전자,138.0,109.53,0.019
전자,143.36,111.8,0.005
전자,142.0,112.71,0.005
전자,70.71,58.48,0.124
전자,68.94,57.02,0.141
전자,71.18,57.74,0.124
전자,64.83,55.65,0.18899999999999997
전자,106.07,87.72,0.027000000000000003
