암석분류,심발,SR SD,CR SD,최대입자속도
화성암,수직구,84.29,59.6,0.1
화성암,수직구,62.23,44.0,0.07
화성암,수직구,79.48,56.2,0.05
화성암,수직구,84.0,59.4,0.1
화성암,수직구,80.61,57.0,0.05
화성암,수직구,84.85,60.0,0.1
화성암,수직구,59.68,42.2,0.25
화성암,수직구,82.31,58.2,0.07
화성암,수직구,80.89,57.2,0.1
화성암,수직구,83.16,58.8,0.07
화성암,수직구,69.71,51.68,0.1
화성암,수직구,54.24,40.21,0.12
화성암,수직구,66.51,49.31,0.07
화성암,수직구,65.78,48.76,0.07
화성암,수직구,67.25,49.86,0.05
화성암,수직구,69.71,51.68,0.1
화성암,수직구,66.76,49.49,0.1
화성암,수직구,67.5,50.04,0.05
화성암,수직구,67.74,50.22,0.05
화성암,수직구,69.46,51.49,0.1
화성암,수직구,68.72,50.95,0.07
화성암,수직구,68.72,50.95,0.05
화성암,수직구,68.72,50.95,0.05
화성암,수직구,52.0,41.27,0.1
화성암,수직구,51.8,41.11,0.07
화성암,수직구,52.2,41.43,0.05
화성암,수직구,52.2,41.43,0.1
화성암,수직구,44.0,34.92,0.05
화성암,수직구,52.4,41.59,0.05
화성암,수직구,47.0,37.3,0.1
화성암,수직구,23.2,18.41,0.27
화성암,수직구,32.8,26.03,0.27
화성암,수직구,16.83,14.99,0.3
화성암,수직구,20.36,18.14,0.22
화성암,수직구,24.04,21.42,0.38
화성암,수직구,40.87,36.41,0.15
화성암,수직구,44.26,39.44,0.17
화성암,수직구,28.85,25.7,0.508
화성암,수직구,23.0,23.46,0.1
화성암,수직구,11.88,12.11,0.27
화성암,수직구,16.4,16.73,0.35
화성암,수직구,26.3,26.83,0.2
화성암,수직구,19.61,20.0,0.506
화성암,수직구,13.9,13.9,0.65
화성암,수직구,16.2,16.2,0.27
화성암,수직구,18.7,18.7,0.43
화성암,수직구,29.1,29.1,0.3
화성암,수직구,32.9,32.9,0.17
화성암,수직구,22.0,22.0,0.595
화성암,수직구,15.84,14.11,0.35
화성암,수직구,19.09,17.01,0.33
화성암,수직구,22.49,20.03,0.33
화성암,수직구,37.19,33.14,0.22
화성암,수직구,42.43,37.8,0.12
화성암,수직구,27.15,24.19,0.414
