심발,SR SD,CR SD,최대입자속도
V-CUT,18.8,14.92,3.2039999999999997
V-CUT,18.8,14.92,2.97
V-CUT,15.21,12.77,3.9
V-CUT,15.21,12.77,2.609
V-CUT,15.38,12.91,3.176
V-CUT,15.38,12.91,2.6689999999999996
V-CUT,179.2,142.23,0.040999999999999995
V-CUT,152.47,127.99,0.062
V-CUT,152.47,127.99,0.033
V-CUT,151.62,127.28,0.06
V-CUT,151.62,127.28,0.028999999999999998
V-CUT,153.48,128.84,0.032
V-CUT,50.7,50.7,0.17800000000000002
V-CUT,98.6,78.26,0.14400000000000002
V-CUT,98.6,78.26,0.139
V-CUT,85.02,71.37,0.20199999999999999
V-CUT,85.02,71.37,0.14300000000000002
V-CUT,81.81,69.47,0.15
V-CUT,80.7,80.7,0.062
V-CUT,158.6,125.88,0.035
V-CUT,158.6,125.88,0.038
V-CUT,158.6,125.88,0.048
V-CUT,158.6,125.88,0.039
V-CUT,135.39,113.66,0.047
V-CUT,111.4,111.4,0.038
V-CUT,218.6,173.5,0.028999999999999998
V-CUT,218.6,173.5,0.032
V-CUT,217.2,172.39,0.033
V-CUT,185.93,156.09,0.028999999999999998
V-CUT,178.98,151.98,0.035
V-CUT,84.2,66.83,0.16399999999999998
V-CUT,48.41,45.61,0.14300000000000002
V-CUT,47.57,44.82,0.136
V-CUT,44.41,39.56,0.24
V-CUT,44.41,39.56,0.198
V-CUT,435.6,345.74,0.009000000000000001
V-CUT,425.2,337.48,0.011000000000000001
V-CUT,296.14,263.83,0.009000000000000001
V-CUT,295.0,262.82,0.009000000000000001
V-CUT,295.0,262.82,0.011000000000000001
V-CUT,44.12,39.31,0.19399999999999998
V-CUT,51.6,40.95,0.247
V-CUT,55.0,43.65,0.222
V-CUT,31.67,29.85,0.358
V-CUT,34.42,32.44,0.244
V-CUT,92.6,73.5,0.09300000000000001
V-CUT,61.91,58.34,0.067
V-CUT,63.47,59.8,0.071
V-CUT,63.07,56.19,0.067
V-CUT,61.94,55.18,0.115
V-CUT,145.6,115.56,0.033
V-CUT,132.0,104.77,0.051
V-CUT,94.19,83.91,0.037000000000000005
V-CUT,93.06,82.9,0.046
V-CUT,91.92,81.89,0.043
V-CUT,125.3,111.63,0.068
V-CUT,129.4,115.28,0.026000000000000002
V-CUT,174.2,138.26,0.032
V-CUT,172.6,136.99,0.031
V-CUT,120.77,107.6,0.034
V-CUT,215.8,171.28,0.027000000000000003
V-CUT,212.6,168.74,0.027000000000000003
V-CUT,227.6,180.65,0.023
V-CUT,147.93,131.79,0.022000000000000002
V-CUT,146.8,130.78,0.032
V-CUT,185.26,165.05,0.011000000000000001
V-CUT,251.0,199.22,0.016
V-CUT,266.0,211.12,0.01
V-CUT,178.47,159.0,0.011000000000000001
V-CUT,177.34,157.99,0.015
V-CUT,24.66,20.94,2.6439999999999997
V-CUT,19.52,17.39,1.5630000000000002
V-CUT,19.52,17.39,2.349
V-CUT,18.38,16.38,2.238
V-CUT,16.69,14.87,3.137
V-CUT,179.4,142.39,0.054000000000000006
V-CUT,122.75,109.36,0.069
V-CUT,130.81,116.54,0.055999999999999994
V-CUT,119.78,106.72,0.07200000000000001
V-CUT,152.36,129.38,0.06
V-CUT,210.4,166.99,0.03
V-CUT,217.4,172.55,0.038
V-CUT,145.95,130.02,0.049
V-CUT,179.14,152.12,0.03
V-CUT,165.1,140.2,0.033
V-CUT,365.4,290.02,0.016
V-CUT,375.6,298.11,0.013999999999999999
V-CUT,256.54,228.55,0.015
V-CUT,258.94,230.69,0.017
V-CUT,258.24,230.06,0.013999999999999999
V-CUT,82.6,65.56,0.13
V-CUT,55.15,49.14,0.156
V-CUT,64.35,57.33,0.124
V-CUT,54.31,48.38,0.174
V-CUT,60.81,54.18,0.11
V-CUT,138.6,110.01,0.094
V-CUT,93.2,83.03,0.09300000000000001
V-CUT,96.31,85.8,0.099
V-CUT,102.39,91.22,0.079
V-CUT,123.29,104.7,0.086
V-CUT,161.01,136.73,0.040999999999999995
V-CUT,136.61,121.71,0.045
V-CUT,140.57,125.24,0.047
V-CUT,142.84,127.25,0.035
V-CUT,144.67,128.89,0.036000000000000004
V-CUT,214.34,238.02,0.012
V-CUT,278.13,283.64,0.01
V-CUT,276.9,282.39,0.015
V-CUT,241.93,258.84,0.011000000000000001
V-CUT,278.6,284.12,0.013000000000000001
V-CUT,245.45,272.56,0.017
V-CUT,316.12,322.39,0.018000000000000002
V-CUT,316.97,323.26,0.011000000000000001
V-CUT,273.93,293.09,0.018000000000000002
V-CUT,274.83,294.05,0.016
V-CUT,142.77,158.54,0.012
V-CUT,186.3,189.99,0.01
V-CUT,185.17,188.84,0.013999999999999999
V-CUT,193.3,193.3,0.012
V-CUT,157.99,171.31,0.013999999999999999
V-CUT,113.56,126.1,0.036000000000000004
V-CUT,144.91,147.78,0.039
V-CUT,126.07,134.88,0.037000000000000005
V-CUT,179.09,170.71,0.032
V-CUT,152.3,152.3,0.044000000000000004
V-CUT,365.53,372.77,0.013999999999999999
V-CUT,362.79,369.99,0.012
