,File Name,K,n,s,# of elem
0,tun_0_0_0_7_0.csv,25.200575386669684,-1.3686832057274996,0.2283804476629347,68
2,tun_0_0_0_7_2.csv,132.93902110569576,-1.7089060372320926,0.290686493261981,490
5,tun_0_0_0_7_5.csv,57.36285868884837,-1.3991795645137635,0.2978447177677128,70
7,tun_0_0_0_7_a.csv,82.05461433106063,-1.5904027122688296,0.31803425361461835,628
10,tun_0_0_0_8_2.csv,129.41100129564796,-1.7460058068712612,0.21372728332519275,59
15,tun_0_0_0_8_a.csv,129.41100129564796,-1.7460058068712612,0.21372728332519275,59
16,tun_0_0_0_a_0.csv,25.200575386669684,-1.3686832057274996,0.2283804476629347,68
18,tun_0_0_0_a_2.csv,125.37322077895796,-1.7003870885706691,0.28624288198527154,549
21,tun_0_0_0_a_5.csv,57.36285868884837,-1.3991795645137635,0.2978447177677128,70
23,tun_0_0_0_a_a.csv,81.56679473291794,-1.592896919908351,0.31304054811915877,687
26,tun_0_0_1_1_2.csv,243.08895006247172,-1.8997275457797322,0.1437118374892944,67
31,tun_0_0_1_1_a.csv,243.08895006247172,-1.8997275457797322,0.1437118374892944,67
50,tun_0_0_1_6_2.csv,34.013254637792414,-1.4701377793498664,0.1992839393775851,65
55,tun_0_0_1_6_a.csv,34.013254637792414,-1.4701377793498664,0.1992839393775851,65
58,tun_0_0_1_a_2.csv,80.59871972004487,-1.6492214849263112,0.17891360979968363,132
60,tun_0_0_1_a_4.csv,131.21120004445015,-1.6781933912271314,0.30566825286718446,80
63,tun_0_0_1_a_a.csv,127.6942722149956,-1.7212820538312363,0.24500768849242147,212
66,tun_0_0_2_0_2.csv,319.9160928371922,-1.7611566766663234,0.1697811787562755,35
71,tun_0_0_2_0_a.csv,319.9160928371922,-1.7611566766663234,0.1697811787562755,35
72,tun_0_0_2_10_0.csv,414.69533514677727,-2.040202417207133,0.17825021555622367,48
73,tun_0_0_2_10_1.csv,157.40583121357395,-1.4528928688497196,0.07447366201518209,10
74,tun_0_0_2_10_2.csv,81.77671734780678,-1.627811020845207,0.3462560920287419,93
77,tun_0_0_2_10_5.csv,44.9983041027211,-1.4759040965187589,0.22924770015619036,33
78,tun_0_0_2_10_6.csv,157.41952933477808,-1.4323982610923736,0.27624711552083214,12
79,tun_0_0_2_10_a.csv,144.94300334748664,-1.7216457155128713,0.3588566808953822,196
90,tun_0_0_2_5_2.csv,227.62287229872493,-1.7446229767248795,0.148317584628974,40
95,tun_0_0_2_5_a.csv,227.62287229872493,-1.7446229767248795,0.148317584628974,40
104,tun_0_0_2_a_0.csv,414.69533514677727,-2.040202417207133,0.17825021555622367,48
105,tun_0_0_2_a_1.csv,157.40583121357395,-1.4528928688497196,0.07447366201518209,10
106,tun_0_0_2_a_2.csv,181.4795087078183,-1.7396445712044597,0.30964257810934653,168
109,tun_0_0_2_a_5.csv,44.9983041027211,-1.4759040965187589,0.22924770015619036,33
110,tun_0_0_2_a_6.csv,157.41952933477808,-1.4323982610923736,0.27624711552083214,12
111,tun_0_0_2_a_a.csv,162.06675982542234,-1.7174497948476617,0.33630928448251585,271
114,tun_0_0_a_0_2.csv,319.9160928371922,-1.7611566766663234,0.1697811787562755,35
119,tun_0_0_a_0_a.csv,319.9160928371922,-1.7611566766663234,0.1697811787562755,35
120,tun_0_0_a_10_0.csv,414.69533514677727,-2.040202417207133,0.17825021555622367,48
121,tun_0_0_a_10_1.csv,157.40583121357395,-1.4528928688497196,0.07447366201518209,10
122,tun_0_0_a_10_2.csv,81.77671734780678,-1.627811020845207,0.3462560920287419,93
125,tun_0_0_a_10_5.csv,44.9983041027211,-1.4759040965187589,0.22924770015619036,33
126,tun_0_0_a_10_6.csv,157.41952933477808,-1.4323982610923736,0.27624711552083214,12
127,tun_0_0_a_10_a.csv,144.94300334748664,-1.7216457155128713,0.3588566808953822,196
130,tun_0_0_a_1_2.csv,243.08895006247172,-1.8997275457797322,0.1437118374892944,67
135,tun_0_0_a_1_a.csv,243.08895006247172,-1.8997275457797322,0.1437118374892944,67
162,tun_0_0_a_5_2.csv,227.62287229872493,-1.7446229767248795,0.148317584628974,40
167,tun_0_0_a_5_a.csv,227.62287229872493,-1.7446229767248795,0.148317584628974,40
170,tun_0_0_a_6_2.csv,34.013254637792414,-1.4701377793498664,0.1992839393775851,65
175,tun_0_0_a_6_a.csv,34.013254637792414,-1.4701377793498664,0.1992839393775851,65
176,tun_0_0_a_7_0.csv,25.200575386669684,-1.3686832057274996,0.2283804476629347,68
178,tun_0_0_a_7_2.csv,132.93902110569576,-1.7089060372320926,0.290686493261981,490
181,tun_0_0_a_7_5.csv,57.36285868884837,-1.3991795645137635,0.2978447177677128,70
183,tun_0_0_a_7_a.csv,82.05461433106063,-1.5904027122688296,0.31803425361461835,628
186,tun_0_0_a_8_2.csv,129.41100129564796,-1.7460058068712612,0.21372728332519275,59
191,tun_0_0_a_8_a.csv,129.41100129564796,-1.7460058068712612,0.21372728332519275,59
200,tun_0_0_a_a_0.csv,107.37817770366149,-1.6940795296923636,0.21424836031897404,116
201,tun_0_0_a_a_1.csv,157.40583121357395,-1.4528928688497196,0.07447366201518209,10
202,tun_0_0_a_a_2.csv,125.9248040095827,-1.700291268260572,0.2845336421581861,849
204,tun_0_0_a_a_4.csv,131.21120004445015,-1.6781933912271314,0.30566825286718446,80
205,tun_0_0_a_a_5.csv,30.91852488477937,-1.3075082569583116,0.3313870099471854,103
206,tun_0_0_a_a_6.csv,157.41952933477808,-1.4323982610923736,0.27624711552083214,12
207,tun_0_0_a_a_a.csv,101.86603251330851,-1.6402623918110046,0.31168982743130685,1170
208,tun_0_1_0_7_0.csv,0.7465048086753591,-0.5355127107362772,0.44591749451389495,9
210,tun_0_1_0_7_2.csv,1.075143000014679,-0.47937147963883575,0.6177997983086295,104
213,tun_0_1_0_7_5.csv,0.45328223360335773,-0.4102604175752567,0.0,2
215,tun_0_1_0_7_a.csv,0.7553207986840351,-0.39763316489366757,0.6381977200963548,115
218,tun_0_1_0_8_2.csv,24.08665869960993,-1.1916406945030766,0.27412962283730136,20
223,tun_0_1_0_8_a.csv,24.08665869960993,-1.1916406945030766,0.27412962283730136,20
224,tun_0_1_0_a_0.csv,0.7465048086753591,-0.5355127107362772,0.44591749451389495,9
226,tun_0_1_0_a_2.csv,2.947878118991538,-0.739956486331115,0.5496657651106458,124
229,tun_0_1_0_a_5.csv,0.45328223360335773,-0.4102604175752567,0.0,2
231,tun_0_1_0_a_a.csv,2.198276807552844,-0.6759276019819394,0.5743078568621374,135
250,tun_0_1_1_4_2.csv,182.54901608990048,-1.7289930527528108,0.22123830300052866,35
255,tun_0_1_1_4_a.csv,182.54901608990048,-1.7289930527528108,0.22123830300052866,35
266,tun_0_1_1_a_2.csv,182.54901608990048,-1.7289930527528108,0.22123830300052866,35
271,tun_0_1_1_a_a.csv,182.54901608990048,-1.7289930527528108,0.22123830300052866,35
280,tun_0_1_2_10_0.csv,22.345790121588916,-1.2875668796903357,0.33498163445257345,73
281,tun_0_1_2_10_1.csv,9.545294030903218,-0.9747578629405922,0.9488776575262566,49
282,tun_0_1_2_10_2.csv,3.216784241565587,-0.7736761691282681,0.41491889709093893,27
286,tun_0_1_2_10_6.csv,3.5480474340638435,-0.826027642242907,0.4539766093013169,123
287,tun_0_1_2_10_a.csv,7.207223561193447,-1.0008415252441099,0.5639458517047855,272
296,tun_0_1_2_5_0.csv,651.8019360753638,-1.9463304924935676,0.18210423247835422,35
298,tun_0_1_2_5_2.csv,91.33546681453888,-1.5531949021262008,0.21576187871346142,125
301,tun_0_1_2_5_5.csv,418.0315084081909,-1.8978615054955292,0.20410467761715204,100
303,tun_0_1_2_5_a.csv,156.06677052905113,-1.6740997291847397,0.22256871766881664,260
312,tun_0_1_2_a_0.csv,40.52916253176043,-1.4000074153531439,0.32503133850387,108
313,tun_0_1_2_a_1.csv,9.545294030903218,-0.9747578629405922,0.9488776575262566,49
314,tun_0_1_2_a_2.csv,15.944924081466988,-1.1344077066937612,0.3553335831572799,203
315,tun_0_1_2_a_3.csv,70.74840301786895,-1.4249233601371945,0.467735744207874,24
317,tun_0_1_2_a_5.csv,418.0315084081909,-1.8978615054955292,0.20410467761715204,100
318,tun_0_1_2_a_6.csv,3.5480474340638435,-0.826027642242907,0.4539766093013169,123
319,tun_0_1_2_a_a.csv,13.656316654070174,-1.1331714424970991,0.46872972384806655,607
328,tun_0_1_a_10_0.csv,22.345790121588916,-1.2875668796903357,0.33498163445257345,73
329,tun_0_1_a_10_1.csv,9.545294030903218,-0.9747578629405922,0.9488776575262566,49
330,tun_0_1_a_10_2.csv,3.216784241565587,-0.7736761691282681,0.41491889709093893,27
334,tun_0_1_a_10_6.csv,3.5480474340638435,-0.826027642242907,0.4539766093013169,123
335,tun_0_1_a_10_a.csv,7.207223561193447,-1.0008415252441099,0.5639458517047855,272
362,tun_0_1_a_4_2.csv,182.54901608990048,-1.7289930527528108,0.22123830300052866,35
367,tun_0_1_a_4_a.csv,182.54901608990048,-1.7289930527528108,0.22123830300052866,35
368,tun_0_1_a_5_0.csv,651.8019360753638,-1.9463304924935676,0.18210423247835422,35
370,tun_0_1_a_5_2.csv,91.33546681453888,-1.5531949021262008,0.21576187871346142,125
373,tun_0_1_a_5_5.csv,418.0315084081909,-1.8978615054955292,0.20410467761715204,100
375,tun_0_1_a_5_a.csv,156.06677052905113,-1.6740997291847397,0.22256871766881664,260
384,tun_0_1_a_7_0.csv,0.7465048086753591,-0.5355127107362772,0.44591749451389495,9
386,tun_0_1_a_7_2.csv,1.075143000014679,-0.47937147963883575,0.6177997983086295,104
389,tun_0_1_a_7_5.csv,0.45328223360335773,-0.4102604175752567,0.0,2
391,tun_0_1_a_7_a.csv,0.7553207986840351,-0.39763316489366757,0.6381977200963548,115
394,tun_0_1_a_8_2.csv,24.08665869960993,-1.1916406945030766,0.27412962283730136,20
399,tun_0_1_a_8_a.csv,24.08665869960993,-1.1916406945030766,0.27412962283730136,20
408,tun_0_1_a_a_0.csv,20.043231144391427,-1.258677688229372,0.3796726370360597,117
409,tun_0_1_a_a_1.csv,9.545294030903218,-0.9747578629405922,0.9488776575262566,49
410,tun_0_1_a_a_2.csv,11.484726998445876,-1.0861367803131987,0.41947882239566303,362
411,tun_0_1_a_a_3.csv,70.74840301786895,-1.4249233601371945,0.467735744207874,24
413,tun_0_1_a_a_5.csv,236.82644006036736,-1.7800026816514856,0.23985504907435082,102
414,tun_0_1_a_a_6.csv,3.5480474340638435,-0.826027642242907,0.4539766093013169,123
