화약,뇌관,암석분류,암종,심발,SR SD,CR SD,최대입자속도
에멀젼C,전기,화성암,화강암,Cylinder-cut,164.24,158.24,0.021
에멀젼C,전기,화성암,화강암,Cylinder-cut,169.63,161.68,0.022000000000000002
에멀젼C,전기,화성암,화강암,Cylinder-cut,134.1,138.24,0.027999999999999997
에멀젼C,전기,화성암,화강암,Cylinder-cut,207.17,199.61,0.022000000000000002
에멀젼C,전기,화성암,화강암,Cylinder-cut,206.72,199.18,0.023
에멀젼C,전기,화성암,화강암,Cylinder-cut,213.97,203.95,0.021
에멀젼C,전기,화성암,화강암,Cylinder-cut,98.15,93.55,0.182
에멀젼C,전기,화성암,화강암,Cylinder-cut,98.15,93.55,0.157
에멀젼C,전기,화성암,화강암,Cylinder-cut,77.59,79.99,0.223
에멀젼C,전기,화성암,화강암,Cylinder-cut,127.02,121.07,0.094
에멀젼C,전기,화성암,화강암,Cylinder-cut,122.98,118.49,0.07
에멀젼C,전기,화성암,화강암,Cylinder-cut,127.02,121.07,0.06
에멀젼C,전기,화성암,화강암,Cylinder-cut,151.05,145.53,0.031
에멀젼C,전기,화성암,화강암,Cylinder-cut,151.05,145.53,0.037000000000000005
에멀젼C,전기,화성암,화강암,Cylinder-cut,156.0,148.7,0.024
에멀젼C,전기,화성암,화강암,Cylinder-cut,179.11,172.57,0.028999999999999998
에멀젼C,전기,화성암,화강암,Cylinder-cut,184.98,176.32,0.017
에멀젼C,전기,화성암,화강암,Cylinder-cut,184.98,176.32,0.013999999999999999
에멀젼C,전기,화성암,화강암,Cylinder-cut,206.95,199.39,0.016
에멀젼C,전기,화성암,화강암,Cylinder-cut,206.95,199.39,0.015
에멀젼C,전기,화성암,화강암,Cylinder-cut,213.74,203.73,0.016
에멀젼C,전기,화성암,화강암,Cylinder-cut,242.6,231.24,0.015
에멀젼C,전기,화성암,화강암,Cylinder-cut,234.9,226.32,0.019
에멀젼C,전기,화성암,화강암,Cylinder-cut,242.6,231.24,0.016
에멀젼C,전기,화성암,화강암,Cylinder-cut,163.79,157.81,0.021
에멀젼C,전기,화성암,화강암,Cylinder-cut,169.16,161.24,0.015
에멀젼C,전기,화성암,화강암,Cylinder-cut,169.16,161.24,0.012
에멀젼C,전기,화성암,화강암,Cylinder-cut,208.29,200.69,0.021
에멀젼C,전기,화성암,화강암,Cylinder-cut,208.29,200.69,0.019
에멀젼C,전기,화성암,화강암,Cylinder-cut,215.12,205.05,0.019
에멀젼C,전기,화성암,화강암,Cylinder-cut,78.51,80.93,0.213
에멀젼C,전기,화성암,화강암,Cylinder-cut,96.15,92.64,0.18899999999999997
에멀젼C,전기,화성암,화강암,Cylinder-cut,99.3,94.66,0.175
에멀젼C,전기,화성암,화강암,Cylinder-cut,124.1,119.57,0.061
에멀젼C,전기,화성암,화강암,Cylinder-cut,124.1,119.57,0.069
에멀젼C,전기,화성암,화강암,Cylinder-cut,101.33,104.45,0.091
에멀젼C,전기,화성암,화강암,Cylinder-cut,78.8,62.54,0.165
에멀젼C,전기,화성암,화강암,Cylinder-cut,76.4,60.64,0.1
에멀젼C,전기,화성암,화강암,Cylinder-cut,32.2,25.56,0.35
에멀젼C,전기,화성암,화강암,Cylinder-cut,30.4,24.13,0.27
에멀젼C,전기,화성암,화강암,Cylinder-cut,65.4,51.91,0.25
에멀젼C,전기,화성암,화강암,Cylinder-cut,58.6,46.51,0.05
에멀젼C,전기,화성암,화강암,Cylinder-cut,53.74,47.88,0.127
에멀젼C,전기,화성암,화강암,Cylinder-cut,51.9,46.24,0.1
에멀젼C,전기,화성암,화강암,Cylinder-cut,21.21,18.9,0.3
에멀젼C,전기,화성암,화강암,Cylinder-cut,22.06,19.65,0.3
에멀젼C,전기,화성암,화강암,Cylinder-cut,44.12,39.31,0.22
에멀젼C,전기,화성암,화강암,Cylinder-cut,53.47,48.58,0.225
에멀젼C,전기,화성암,화강암,Cylinder-cut,22.13,20.11,0.4
에멀젼C,전기,화성암,화강암,Cylinder-cut,18.4,16.72,0.35
에멀젼C,전기,화성암,화강암,Cylinder-cut,40.53,36.83,0.05
