화약,뇌관,암석분류,암종,SR SD,CR SD,최대입자속도
에멀젼C,전기,화성암,화강암,164.24,158.24,0.021
에멀젼C,전기,화성암,화강암,169.63,161.68,0.022000000000000002
에멀젼C,전기,화성암,화강암,134.1,138.24,0.027999999999999997
에멀젼C,전기,화성암,화강암,207.17,199.61,0.022000000000000002
에멀젼C,전기,화성암,화강암,206.72,199.18,0.023
에멀젼C,전기,화성암,화강암,213.97,203.95,0.021
에멀젼C,전기,화성암,화강암,98.15,93.55,0.182
에멀젼C,전기,화성암,화강암,98.15,93.55,0.157
에멀젼C,전기,화성암,화강암,77.59,79.99,0.223
에멀젼C,전기,화성암,화강암,127.02,121.07,0.094
에멀젼C,전기,화성암,화강암,122.98,118.49,0.07
에멀젼C,전기,화성암,화강암,127.02,121.07,0.06
에멀젼C,전기,화성암,화강암,151.05,145.53,0.031
에멀젼C,전기,화성암,화강암,151.05,145.53,0.037000000000000005
에멀젼C,전기,화성암,화강암,156.0,148.7,0.024
에멀젼C,전기,화성암,화강암,179.11,172.57,0.028999999999999998
에멀젼C,전기,화성암,화강암,184.98,176.32,0.017
에멀젼C,전기,화성암,화강암,184.98,176.32,0.013999999999999999
에멀젼C,전기,화성암,화강암,206.95,199.39,0.016
에멀젼C,전기,화성암,화강암,206.95,199.39,0.015
에멀젼C,전기,화성암,화강암,213.74,203.73,0.016
에멀젼C,전기,화성암,화강암,242.6,231.24,0.015
에멀젼C,전기,화성암,화강암,234.9,226.32,0.019
에멀젼C,전기,화성암,화강암,242.6,231.24,0.016
에멀젼C,전기,화성암,화강암,163.79,157.81,0.021
에멀젼C,전기,화성암,화강암,169.16,161.24,0.015
에멀젼C,전기,화성암,화강암,169.16,161.24,0.012
에멀젼C,전기,화성암,화강암,208.29,200.69,0.021
에멀젼C,전기,화성암,화강암,208.29,200.69,0.019
에멀젼C,전기,화성암,화강암,215.12,205.05,0.019
에멀젼C,전기,화성암,화강암,78.51,80.93,0.213
에멀젼C,전기,화성암,화강암,96.15,92.64,0.18899999999999997
에멀젼C,전기,화성암,화강암,99.3,94.66,0.175
에멀젼C,전기,화성암,화강암,124.1,119.57,0.061
에멀젼C,전기,화성암,화강암,124.1,119.57,0.069
에멀젼C,전기,화성암,화강암,101.33,104.45,0.091
에멀젼C,전기,화성암,화강암,27.9,27.29,0.616
에멀젼C,전기,화성암,화강암,21.54,22.21,0.5589999999999999
에멀젼C,전기,화성암,화강암,16.4,18.09,0.5329999999999999
에멀젼C,전기,화성암,화강암,27.9,27.29,0.319
에멀젼C,전기,화성암,화강암,21.54,22.21,0.33
에멀젼C,전기,화성암,화강암,16.4,18.09,0.36200000000000004
에멀젼C,전기,화성암,화강암,39.02,38.16,0.155
에멀젼C,전기,화성암,화강암,31.77,32.75,0.14400000000000002
에멀젼C,전기,화성암,화강암,25.19,27.79,0.099
에멀젼C,전기,화성암,화강암,62.43,61.06,0.094
에멀젼C,전기,화성암,화강암,52.31,53.92,0.068
에멀젼C,전기,화성암,화강암,42.26,46.61,0.071
에멀젼C,전기,화성암,화강암,77.72,76.01,0.09699999999999999
에멀젼C,전기,화성암,화강암,65.64,67.66,0.154
에멀젼C,전기,화성암,화강암,53.22,58.7,0.153
에멀젼C,전기,화성암,화강암,86.06,84.16,0.076
에멀젼C,전기,화성암,화강암,72.94,75.19,0.091
에멀젼C,전기,화성암,화강암,59.26,65.35,0.13
에멀젼C,전기,화성암,화강암,105.84,103.51,0.21
에멀젼C,전기,화성암,화강암,89.83,92.6,0.28800000000000003
에멀젼C,전기,화성암,화강암,73.12,80.65,0.195
에멀젼C,전기,화성암,화강암,217.34,212.55,0.078
에멀젼C,전기,화성암,화강암,185.5,191.22,0.042
에멀젼C,전기,화성암,화강암,151.38,166.96,0.042
에멀젼C,전기,화성암,화강암,274.1,268.07,0.059000000000000004
에멀젼C,전기,화성암,화강암,234.06,241.28,0.039
에멀젼C,전기,화성암,화강암,191.11,210.78,0.037000000000000005
에멀젼C,전기,화성암,화강암,78.8,62.54,0.165
에멀젼C,전기,화성암,화강암,76.4,60.64,0.1
에멀젼C,전기,화성암,화강암,32.2,25.56,0.35
에멀젼C,전기,화성암,화강암,30.4,24.13,0.27
에멀젼C,전기,화성암,화강암,65.4,51.91,0.25
에멀젼C,전기,화성암,화강암,58.6,46.51,0.05
에멀젼C,전기,화성암,화강암,53.74,47.88,0.127
에멀젼C,전기,화성암,화강암,51.9,46.24,0.1
에멀젼C,전기,화성암,화강암,21.21,18.9,0.3
에멀젼C,전기,화성암,화강암,22.06,19.65,0.3
에멀젼C,전기,화성암,화강암,44.12,39.31,0.22
에멀젼C,전기,화성암,화강암,53.47,48.58,0.225
에멀젼C,전기,화성암,화강암,22.13,20.11,0.4
에멀젼C,전기,화성암,화강암,18.4,16.72,0.35
에멀젼C,전기,화성암,화강암,40.53,36.83,0.05
에멀젼C,전기,화성암,화강암,82.6,65.56,0.183
에멀젼C,전기,화성암,화강암,78.0,61.91,0.1
에멀젼C,전기,화성암,화강암,26.4,20.95,0.38
에멀젼C,전기,화성암,화강암,68.8,54.61,0.1
에멀젼C,전기,화성암,화강암,61.4,48.73,0.05
에멀젼C,전기,화성암,화강암,64.67,54.91,0.1
에멀젼C,전기,화성암,화강암,27.43,23.3,0.33
에멀젼C,전기,화성암,화강암,20.25,17.2,0.5
에멀젼C,전기,화성암,화강암,55.85,47.43,0.15
에멀젼C,전기,화성암,화강암,51.28,43.54,0.05
에멀젼C,전기,화성암,화강암,75.2,59.69,0.213
에멀젼C,전기,화성암,화강암,72.0,57.15,0.1
에멀젼C,전기,화성암,화강암,25.4,20.16,0.3
에멀젼C,전기,화성암,화강암,25.8,20.48,0.4
에멀젼C,전기,화성암,화강암,90.0,71.43,0.07
에멀젼C,전기,화성암,화강암,57.6,45.72,0.05
에멀젼C,전기,화성암,화강암,60.67,54.05,0.162
에멀젼C,전기,화성암,화강암,58.83,52.41,0.1
에멀젼C,전기,화성암,화강암,26.59,23.69,0.25
에멀젼C,전기,화성암,화강암,18.95,16.88,0.45
에멀젼C,전기,화성암,화강암,71.56,63.75,0.12
에멀젼C,전기,화성암,화강암,46.1,41.07,0.05
에멀젼C,전기,화성암,화강암,47.0,37.3,0.1
에멀젼C,전기,화성암,화강암,23.2,18.41,0.27
에멀젼C,전기,화성암,화강암,32.8,26.03,0.27
에멀젼C,전기,화성암,화강암,16.83,14.99,0.3
