화약,뇌관,암석분류,심발,SR SD,CR SD,최대입자속도
에멀젼C,전자,화성암,선대구경,40.82,34.67,0.37
에멀젼C,전자,화성암,선대구경,48.99,41.6,0.452
에멀젼C,전자,화성암,선대구경,58.79,49.92,0.187
에멀젼C,전자,화성암,선대구경,45.72,38.83,0.384
에멀젼C,전자,화성암,선대구경,70.22,59.63,0.31
에멀젼C,전자,화성암,선대구경,238.42,202.46,0.016
에멀젼C,전자,화성암,선대구경,181.26,153.93,0.022000000000000002
에멀젼C,전자,화성암,선대구경,75.12,63.79,0.264
에멀젼C,전자,화성암,선대구경,130.64,110.94,0.038
에멀젼C,전자,화성암,선대구경,181.26,153.93,0.03
에멀젼C,전자,화성암,선대구경,207.39,176.11,0.03
에멀젼C,전자,화성암,선대구경,42.46,36.05,0.452
에멀젼C,전자,화성암,선대구경,57.15,48.54,0.483
에멀젼C,전자,화성암,선대구경,63.69,54.08,0.36700000000000005
에멀젼C,전자,화성암,선대구경,58.79,49.92,0.322
에멀젼C,전자,화성암,선대구경,215.56,183.05,0.019
에멀젼C,전자,화성암,선대구경,209.02,177.5,0.024
에멀젼C,전자,화성암,선대구경,102.88,87.36,0.067
에멀젼C,전자,화성암,선대구경,143.7,122.03,0.055999999999999994
에멀젼C,전자,화성암,선대구경,164.93,140.06,0.039
에멀젼C,전자,화성암,선대구경,136.94,105.15,0.018000000000000002
에멀젼C,전자,화성암,선대구경,79.51,61.05,0.095
에멀젼C,전자,화성암,선대구경,92.76,71.23,0.065
에멀젼C,전자,화성암,선대구경,75.09,57.66,0.087
에멀젼C,전자,화성암,선대구경,103.81,79.71,0.07
에멀젼C,전자,화성암,선대구경,114.85,88.19,0.035
에멀젼C,전자,화성암,선대구경,132.52,101.76,0.064
에멀젼C,전자,화성암,선대구경,245.16,188.25,0.022000000000000002
에멀젼C,전자,화성암,선대구경,256.2,196.73,0.019
에멀젼C,전자,화성암,선대구경,265.04,203.52,0.013999999999999999
에멀젼C,전자,화성암,선대구경,99.17,76.15,0.059000000000000004
에멀젼C,전자,화성암,선대구경,100.27,77.0,0.052000000000000005
에멀젼C,전자,화성암,선대구경,109.33,83.95,0.075
에멀젼C,전자,화성암,선대구경,96.08,73.77,0.071
에멀젼C,전자,화성암,선대구경,104.91,80.56,0.021
에멀젼C,전자,화성암,선대구경,94.97,72.93,0.025
에멀젼C,전자,화성암,선대구경,109.11,83.78,0.03
