화약,뇌관,암종,SR SD,CR SD,최대입자속도
에멀젼C,전자,안산암,88.39,73.1,0.102
에멀젼C,전자,안산암,86.62,71.64,0.114
에멀젼C,전자,안산암,89.91,72.94,0.102
에멀젼C,전자,안산암,80.64,69.22,0.12
에멀젼C,전자,안산암,123.74,102.34,0.033
에멀젼C,전자,안산암,121.98,100.88,0.049
에멀젼C,전자,안산암,110.68,95.0,0.022000000000000002
에멀젼C,전자,안산암,159.1,131.58,0.027000000000000003
에멀젼C,전자,안산암,157.33,130.12,0.032
에멀젼C,전자,안산암,143.88,123.51,0.024
에멀젼C,전자,안산암,185.62,153.51,0.024
에멀젼C,전자,안산암,183.85,152.05,0.032
에멀젼C,전자,안산암,167.6,143.86,0.01
에멀젼C,전자,안산암,252.79,209.07,0.013999999999999999
에멀젼C,전자,안산암,251.02,207.61,0.016
에멀젼C,전자,안산암,227.68,195.44,0.008
에멀젼C,전자,안산암,438.41,362.58,0.012
에멀젼C,전자,안산암,436.64,361.12,0.01
에멀젼C,전자,안산암,393.7,337.94,0.012
에멀젼C,전자,안산암,503.81,416.67,0.015
에멀젼C,전자,안산암,502.05,415.21,0.015
에멀젼C,전자,안산암,452.21,388.16,0.012
에멀젼C,전자,안산암,88.39,73.1,0.102
에멀젼C,전자,안산암,86.62,71.64,0.08900000000000001
에멀젼C,전자,안산암,80.64,69.22,0.127
에멀젼C,전자,안산암,123.74,102.34,0.051
에멀젼C,전자,안산암,121.98,100.88,0.051
에멀젼C,전자,안산암,112.26,96.36,0.013000000000000001
에멀젼C,전자,안산암,159.1,131.58,0.028999999999999998
에멀젼C,전자,안산암,157.33,130.12,0.043
에멀젼C,전자,안산암,143.88,123.51,0.006
에멀젼C,전자,안산암,185.62,153.51,0.038
에멀젼C,전자,안산암,183.85,152.05,0.037000000000000005
에멀젼C,전자,안산암,167.6,143.86,0.021
에멀젼C,전자,안산암,251.02,207.61,0.03
에멀젼C,전자,안산암,249.26,206.14,0.028999999999999998
에멀젼C,전자,안산암,226.1,194.08,0.008
에멀젼C,전자,안산암,440.17,364.04,0.012
에멀젼C,전자,안산암,438.41,362.58,0.013999999999999999
에멀젼C,전자,안산암,395.28,339.3,0.015
에멀젼C,전자,안산암,503.81,416.67,0.015
에멀젼C,전자,안산암,502.05,415.21,0.015
에멀젼C,전자,안산암,452.21,388.16,0.012
에멀젼C,전자,안산암,53.75,49.9,0.435
에멀젼C,전자,안산암,77.5,71.94,0.142
에멀젼C,전자,안산암,90.0,83.55,0.11599999999999999
에멀젼C,전자,안산암,150.0,139.25,0.057
에멀젼C,전자,안산암,227.5,211.19,0.023
에멀젼C,전자,안산암,375.0,348.12,0.011000000000000001
에멀젼C,전자,안산암,38.89,32.16,0.184
에멀젼C,전자,안산암,74.25,61.4,0.08800000000000001
에멀젼C,전자,안산암,114.9,95.03,0.032
에멀젼C,전자,안산암,88.39,73.1,0.043
에멀젼C,전자,안산암,173.24,143.28,0.022000000000000002
에멀젼C,전자,안산암,167.94,138.89,0.027000000000000003
