화약,심발,SR SD,CR SD,최대입자속도
에멀젼C,선대구경,232.5,183.28,0.03
에멀젼C,선대구경,229.23,180.71,0.037000000000000005
에멀젼C,선대구경,228.62,180.22,0.034
에멀젼C,선대구경,233.11,183.76,0.031
에멀젼C,선대구경,228.62,180.22,0.053
에멀젼C,선대구경,204.33,161.08,0.047
에멀젼C,선대구경,201.06,158.5,0.06
에멀젼C,선대구경,204.12,160.91,0.044000000000000004
에멀젼C,선대구경,204.94,161.56,0.055
에멀젼C,선대구경,200.45,158.02,0.065
에멀젼C,선대구경,231.23,204.6,0.018000000000000002
에멀젼C,선대구경,231.66,204.99,0.012
에멀젼C,선대구경,232.24,205.5,0.015
에멀젼C,선대구경,230.22,203.71,0.023
에멀젼C,선대구경,324.56,255.85,0.019
에멀젼C,선대구경,308.74,273.19,0.022000000000000002
에멀젼C,선대구경,437.44,344.84,0.019
에멀젼C,선대구경,438.25,345.48,0.019
에멀젼C,선대구경,439.07,346.13,0.018000000000000002
에멀젼C,선대구경,440.09,346.93,0.018000000000000002
에멀젼C,선대구경,470.51,370.91,0.006
에멀젼C,선대구경,470.71,371.07,0.005
에멀젼C,선대구경,469.28,369.94,0.006999999999999999
에멀젼C,선대구경,470.51,370.91,0.006
에멀젼C,선대구경,468.26,369.14,0.005
에멀젼C,선대구경,53.68,42.32,0.49200000000000005
에멀젼C,선대구경,53.48,42.16,0.502
에멀젼C,선대구경,51.44,40.55,0.47200000000000003
에멀젼C,선대구경,48.79,38.46,0.46
에멀젼C,선대구경,47.97,37.82,0.511
에멀젼C,선대구경,102.67,80.94,0.19399999999999998
에멀젼C,선대구경,102.06,80.46,0.204
에멀젼C,선대구경,100.84,79.49,0.17600000000000002
에멀젼C,선대구경,100.63,79.33,0.171
에멀젼C,선대구경,97.57,76.92,0.18100000000000002
에멀젼C,선대구경,155.34,122.46,0.07400000000000001
에멀젼C,선대구경,155.95,122.94,0.07200000000000001
에멀젼C,선대구경,151.05,119.08,0.102
에멀젼C,선대구경,149.83,118.11,0.07
에멀젼C,선대구경,148.6,117.15,0.085
에멀젼C,선대구경,361.25,266.17,0.016
에멀젼C,선대구경,357.5,263.41,0.013999999999999999
에멀젼C,선대구경,313.4,240.66,0.017
에멀젼C,선대구경,312.52,239.98,0.017
에멀젼C,선대구경,312.52,239.98,0.02
에멀젼C,선대구경,108.25,79.76,0.040999999999999995
에멀젼C,선대구경,110.75,81.6,0.039
에멀젼C,선대구경,109.25,80.5,0.036000000000000004
에멀젼C,선대구경,95.63,73.44,0.036000000000000004
에멀젼C,선대구경,89.01,68.35,0.044000000000000004
에멀젼C,선대구경,13.5,9.95,1.236
에멀젼C,선대구경,10.41,8.21,1.795
에멀젼C,선대구경,13.75,10.13,1.579
에멀젼C,선대구경,12.37,9.5,1.122
에멀젼C,선대구경,10.82,8.31,1.3780000000000001
에멀젼C,선대구경,87.25,64.29,0.057
에멀젼C,선대구경,95.5,70.37,0.055999999999999994
에멀젼C,선대구경,76.64,58.85,0.078
에멀젼C,선대구경,80.17,61.56,0.087
에멀젼C,선대구경,82.6,63.43,0.07
에멀젼C,선대구경,123.75,91.18,0.044000000000000004
에멀젼C,선대구경,120.5,88.79,0.045
에멀젼C,선대구경,124.0,91.36,0.040999999999999995
에멀젼C,선대구경,123.25,90.81,0.055999999999999994
에멀젼C,선대구경,115.51,88.7,0.061
에멀젼C,선대구경,162.0,119.36,0.055
에멀젼C,선대구경,164.0,120.84,0.049
에멀젼C,선대구경,161.5,118.99,0.045
에멀젼C,선대구경,146.21,112.27,0.044000000000000004
에멀젼C,선대구경,149.3,114.65,0.04
에멀젼C,선대구경,229.86,236.95,0.013000000000000001
에멀젼C,선대구경,226.39,233.38,0.013999999999999999
에멀젼C,선대구경,227.94,234.98,0.01
에멀젼C,선대구경,225.66,232.62,0.018000000000000002
에멀젼C,선대구경,227.12,234.13,0.013999999999999999
에멀젼C,선대구경,184.22,189.9,0.018000000000000002
에멀젼C,선대구경,186.5,192.25,0.013999999999999999
에멀젼C,선대구경,181.48,187.08,0.024
에멀젼C,선대구경,182.03,187.64,0.022000000000000002
에멀젼C,선대구경,180.57,186.14,0.025
에멀젼C,선대구경,37.79,38.96,0.493
에멀젼C,선대구경,32.77,33.78,0.586
에멀젼C,선대구경,37.52,38.68,0.431
에멀젼C,선대구경,37.25,38.39,0.5
에멀젼C,선대구경,33.68,34.72,0.53
에멀젼C,선대구경,37.98,39.15,0.307
에멀젼C,선대구경,41.17,42.44,0.21100000000000002
에멀젼C,선대구경,40.26,41.5,0.3
에멀젼C,선대구경,34.99,37.01,0.6809999999999999
에멀젼C,선대구경,34.23,36.2,0.442
에멀젼C,선대구경,62.17,64.08,0.158
에멀젼C,선대구경,62.81,64.74,0.132
에멀젼C,선대구경,63.44,65.4,0.125
에멀젼C,선대구경,59.58,63.02,0.215
에멀젼C,선대구경,60.34,63.82,0.21899999999999997
에멀젼C,선대구경,82.61,85.16,0.1
에멀젼C,선대구경,81.88,84.41,0.124
에멀젼C,선대구경,81.06,83.56,0.111
에멀젼C,선대구경,78.26,82.78,0.131
에멀젼C,선대구경,79.02,83.58,0.131
에멀젼C,선대구경,100.78,103.89,0.055
에멀젼C,선대구경,99.05,102.1,0.075
에멀젼C,선대구경,99.96,103.04,0.054000000000000006
에멀젼C,선대구경,93.39,98.78,0.055999999999999994
에멀젼C,선대구경,91.78,97.08,0.10300000000000001
에멀젼C,선대구경,116.66,120.26,0.077
에멀젼C,선대구경,117.3,120.92,0.068
에멀젼C,선대구경,115.93,119.51,0.051
에멀젼C,선대구경,116.57,120.17,0.066
에멀젼C,선대구경,115.93,119.51,0.091
에멀젼C,선대구경,175.03,189.29,0.024
에멀젼C,선대구경,174.95,189.21,0.019
에멀젼C,선대구경,174.56,188.78,0.026000000000000002
에멀젼C,선대구경,173.69,187.84,0.022000000000000002
에멀젼C,선대구경,183.99,194.6,0.017
에멀젼C,선대구경,183.57,194.16,0.016
에멀젼C,선대구경,156.3,169.03,0.013999999999999999
에멀젼C,선대구경,155.82,168.52,0.016
에멀젼C,선대구경,155.58,168.26,0.013000000000000001
에멀젼C,선대구경,155.82,168.52,0.015
에멀젼C,선대구경,169.28,179.05,0.011000000000000001
에멀젼C,선대구경,163.45,172.88,0.015
에멀젼C,선대구경,62.85,67.97,0.087
에멀젼C,선대구경,63.17,68.31,0.1
에멀젼C,선대구경,65.7,71.05,0.055
에멀젼C,선대구경,61.66,66.69,0.095
에멀젼C,선대구경,71.33,75.45,0.07200000000000001
에멀젼C,선대구경,67.87,71.78,0.084
에멀젼C,선대구경,77.87,84.22,0.064
에멀젼C,선대구경,77.71,84.05,0.065
에멀젼C,선대구경,79.14,85.58,0.054000000000000006
에멀젼C,선대구경,77.55,83.87,0.057999999999999996
에멀젼C,선대구경,77.55,83.87,0.059000000000000004
에멀젼C,선대구경,87.14,92.16,0.057
에멀젼C,선대구경,97.79,105.76,0.053
에멀젼C,선대구경,98.03,106.02,0.048
에멀젼C,선대구경,97.32,105.25,0.043
에멀젼C,선대구경,100.4,108.58,0.038
에멀젼C,선대구경,108.94,115.22,0.028999999999999998
에멀젼C,선대구경,102.26,108.16,0.04
에멀젼C,선대구경,73.6,58.42,0.27
에멀젼C,선대구경,75.06,56.78,0.297
에멀젼C,선대구경,74.82,56.61,0.342
에멀젼C,선대구경,75.98,57.48,0.17
에멀젼C,선대구경,55.03,46.73,0.314
에멀젼C,선대구경,108.8,86.35,0.10400000000000001
에멀젼C,선대구경,121.47,91.9,0.094
에멀젼C,선대구경,129.33,97.84,0.079
에멀젼C,선대구경,134.18,101.51,0.059000000000000004
에멀젼C,선대구경,95.2,80.85,0.087
에멀젼C,선대구경,178.8,141.91,0.024
에멀젼C,선대구경,212.0,160.39,0.026000000000000002
에멀젼C,선대구경,210.39,159.17,0.033
에멀젼C,선대구경,215.01,162.66,0.022000000000000002
에멀젼C,선대구경,213.39,161.44,0.023
에멀젼C,선대구경,78.0,61.91,0.179
에멀젼C,선대구경,82.68,62.55,0.147
에멀젼C,선대구경,92.38,69.89,0.11599999999999999
에멀젼C,선대구경,80.37,60.8,0.154
에멀젼C,선대구경,82.91,62.72,0.146
에멀젼C,선대구경,43.8,34.76,0.41
에멀젼C,선대구경,43.88,33.2,0.537
에멀젼C,선대구경,42.49,32.15,0.49200000000000005
에멀젼C,선대구경,42.03,31.8,0.439
에멀젼C,선대구경,40.66,34.53,0.446
에멀젼C,선대구경,142.4,113.02,0.038
에멀젼C,선대구경,158.42,119.86,0.05
에멀젼C,선대구경,155.65,117.76,0.047
에멀젼C,선대구경,153.81,116.36,0.051
에멀젼C,선대구경,122.64,104.14,0.043
에멀젼C,선대구경,40.82,34.67,0.37
에멀젼C,선대구경,48.99,41.6,0.452
에멀젼C,선대구경,58.79,49.92,0.187
에멀젼C,선대구경,45.72,38.83,0.384
에멀젼C,선대구경,70.22,59.63,0.31
에멀젼C,선대구경,238.42,202.46,0.016
에멀젼C,선대구경,181.26,153.93,0.022000000000000002
에멀젼C,선대구경,75.12,63.79,0.264
에멀젼C,선대구경,130.64,110.94,0.038
에멀젼C,선대구경,181.26,153.93,0.03
에멀젼C,선대구경,207.39,176.11,0.03
에멀젼C,선대구경,42.46,36.05,0.452
에멀젼C,선대구경,57.15,48.54,0.483
에멀젼C,선대구경,63.69,54.08,0.36700000000000005
에멀젼C,선대구경,58.79,49.92,0.322
에멀젼C,선대구경,215.56,183.05,0.019
에멀젼C,선대구경,209.02,177.5,0.024
에멀젼C,선대구경,102.88,87.36,0.067
에멀젼C,선대구경,143.7,122.03,0.055999999999999994
에멀젼C,선대구경,164.93,140.06,0.039
에멀젼C,선대구경,136.94,105.15,0.018000000000000002
에멀젼C,선대구경,79.51,61.05,0.095
에멀젼C,선대구경,92.76,71.23,0.065
에멀젼C,선대구경,75.09,57.66,0.087
에멀젼C,선대구경,103.81,79.71,0.07
에멀젼C,선대구경,114.85,88.19,0.035
에멀젼C,선대구경,132.52,101.76,0.064
에멀젼C,선대구경,245.16,188.25,0.022000000000000002
에멀젼C,선대구경,256.2,196.73,0.019
에멀젼C,선대구경,265.04,203.52,0.013999999999999999
에멀젼C,선대구경,99.17,76.15,0.059000000000000004
에멀젼C,선대구경,100.27,77.0,0.052000000000000005
에멀젼C,선대구경,109.33,83.95,0.075
