뇌관,암석분류,암종,SR SD,CR SD,최대입자속도
비전기,화성암,규장암,24.66,20.94,2.6439999999999997
비전기,화성암,규장암,19.52,17.39,1.5630000000000002
비전기,화성암,규장암,19.52,17.39,2.349
비전기,화성암,규장암,18.38,16.38,2.238
비전기,화성암,규장암,16.69,14.87,3.137
비전기,화성암,규장암,179.4,142.39,0.054000000000000006
비전기,화성암,규장암,122.75,109.36,0.069
비전기,화성암,규장암,130.81,116.54,0.055999999999999994
비전기,화성암,규장암,119.78,106.72,0.07200000000000001
비전기,화성암,규장암,152.36,129.38,0.06
비전기,화성암,규장암,210.4,166.99,0.03
비전기,화성암,규장암,217.4,172.55,0.038
비전기,화성암,규장암,145.95,130.02,0.049
비전기,화성암,규장암,179.14,152.12,0.03
비전기,화성암,규장암,165.1,140.2,0.033
비전기,화성암,규장암,365.4,290.02,0.016
비전기,화성암,규장암,375.6,298.11,0.013999999999999999
비전기,화성암,규장암,256.54,228.55,0.015
비전기,화성암,규장암,258.94,230.69,0.017
비전기,화성암,규장암,258.24,230.06,0.013999999999999999
비전기,화성암,규장암,82.6,65.56,0.13
비전기,화성암,규장암,55.15,49.14,0.156
비전기,화성암,규장암,64.35,57.33,0.124
비전기,화성암,규장암,54.31,48.38,0.174
비전기,화성암,규장암,60.81,54.18,0.11
비전기,화성암,규장암,138.6,110.01,0.094
비전기,화성암,규장암,93.2,83.03,0.09300000000000001
비전기,화성암,규장암,96.31,85.8,0.099
비전기,화성암,규장암,102.39,91.22,0.079
비전기,화성암,규장암,123.29,104.7,0.086
비전기,화성암,규장암,161.01,136.73,0.040999999999999995
비전기,화성암,규장암,136.61,121.71,0.045
비전기,화성암,규장암,140.57,125.24,0.047
비전기,화성암,규장암,142.84,127.25,0.035
비전기,화성암,규장암,144.67,128.89,0.036000000000000004
