뇌관,암종,SR SD,CR SD,최대입자속도
비전기,편마암,18.8,14.92,3.2039999999999997
비전기,편마암,18.8,14.92,2.97
비전기,편마암,15.21,12.77,3.9
비전기,편마암,15.21,12.77,2.609
비전기,편마암,15.38,12.91,3.176
비전기,편마암,15.38,12.91,2.6689999999999996
비전기,편마암,179.2,142.23,0.040999999999999995
비전기,편마암,152.47,127.99,0.062
비전기,편마암,152.47,127.99,0.033
비전기,편마암,151.62,127.28,0.06
비전기,편마암,151.62,127.28,0.028999999999999998
비전기,편마암,153.48,128.84,0.032
비전기,편마암,50.7,50.7,0.17800000000000002
비전기,편마암,98.6,78.26,0.14400000000000002
비전기,편마암,98.6,78.26,0.139
비전기,편마암,85.02,71.37,0.20199999999999999
비전기,편마암,85.02,71.37,0.14300000000000002
비전기,편마암,81.81,69.47,0.15
비전기,편마암,80.7,80.7,0.062
비전기,편마암,158.6,125.88,0.035
비전기,편마암,158.6,125.88,0.038
비전기,편마암,158.6,125.88,0.048
비전기,편마암,158.6,125.88,0.039
비전기,편마암,135.39,113.66,0.047
비전기,편마암,111.4,111.4,0.038
비전기,편마암,218.6,173.5,0.028999999999999998
비전기,편마암,218.6,173.5,0.032
비전기,편마암,217.2,172.39,0.033
비전기,편마암,185.93,156.09,0.028999999999999998
비전기,편마암,178.98,151.98,0.035
비전기,편마암,84.2,66.83,0.16399999999999998
비전기,편마암,48.41,45.61,0.14300000000000002
비전기,편마암,47.57,44.82,0.136
비전기,편마암,44.41,39.56,0.24
비전기,편마암,44.41,39.56,0.198
비전기,편마암,435.6,345.74,0.009000000000000001
비전기,편마암,425.2,337.48,0.011000000000000001
비전기,편마암,296.14,263.83,0.009000000000000001
비전기,편마암,295.0,262.82,0.009000000000000001
비전기,편마암,295.0,262.82,0.011000000000000001
비전기,편마암,44.12,39.31,0.19399999999999998
비전기,편마암,51.6,40.95,0.247
비전기,편마암,55.0,43.65,0.222
비전기,편마암,31.67,29.85,0.358
비전기,편마암,34.42,32.44,0.244
비전기,편마암,92.6,73.5,0.09300000000000001
비전기,편마암,61.91,58.34,0.067
비전기,편마암,63.47,59.8,0.071
비전기,편마암,63.07,56.19,0.067
비전기,편마암,61.94,55.18,0.115
비전기,편마암,145.6,115.56,0.033
비전기,편마암,132.0,104.77,0.051
비전기,편마암,94.19,83.91,0.037000000000000005
비전기,편마암,93.06,82.9,0.046
비전기,편마암,91.92,81.89,0.043
비전기,편마암,125.3,111.63,0.068
비전기,편마암,129.4,115.28,0.026000000000000002
비전기,편마암,174.2,138.26,0.032
비전기,편마암,172.6,136.99,0.031
비전기,편마암,120.77,107.6,0.034
비전기,편마암,215.8,171.28,0.027000000000000003
비전기,편마암,212.6,168.74,0.027000000000000003
비전기,편마암,227.6,180.65,0.023
비전기,편마암,147.93,131.79,0.022000000000000002
비전기,편마암,146.8,130.78,0.032
비전기,편마암,185.26,165.05,0.011000000000000001
비전기,편마암,251.0,199.22,0.016
비전기,편마암,266.0,211.12,0.01
비전기,편마암,178.47,159.0,0.011000000000000001
비전기,편마암,177.34,157.99,0.015
비전기,편마암,214.34,238.02,0.012
비전기,편마암,278.13,283.64,0.01
비전기,편마암,276.9,282.39,0.015
비전기,편마암,241.93,258.84,0.011000000000000001
비전기,편마암,278.6,284.12,0.013000000000000001
비전기,편마암,245.45,272.56,0.017
비전기,편마암,316.12,322.39,0.018000000000000002
비전기,편마암,316.97,323.26,0.011000000000000001
비전기,편마암,273.93,293.09,0.018000000000000002
비전기,편마암,274.83,294.05,0.016
비전기,편마암,142.77,158.54,0.012
비전기,편마암,186.3,189.99,0.01
비전기,편마암,185.17,188.84,0.013999999999999999
비전기,편마암,193.3,193.3,0.012
비전기,편마암,157.99,171.31,0.013999999999999999
비전기,편마암,113.56,126.1,0.036000000000000004
비전기,편마암,144.91,147.78,0.039
비전기,편마암,126.07,134.88,0.037000000000000005
비전기,편마암,179.09,170.71,0.032
비전기,편마암,152.3,152.3,0.044000000000000004
비전기,편마암,365.53,372.77,0.013999999999999999
비전기,편마암,362.79,369.99,0.012
비전기,편마암,311.98,333.8,0.015
비전기,편마암,366.19,373.45,0.011000000000000001
비전기,편마암,386.9,386.9,0.012
비전기,편마암,188.56,226.45,0.013000000000000001
비전기,편마암,308.39,314.51,0.011000000000000001
비전기,편마암,267.65,286.36,0.012
비전기,편마암,326.4,326.4,0.01
비전기,편마암,329.2,329.2,0.013999999999999999
비전기,편마암,23.59,26.19,0.272
비전기,편마암,28.38,28.94,0.267
비전기,편마암,31.77,32.4,0.35200000000000004
비전기,편마암,25.39,27.17,0.28800000000000003
비전기,편마암,32.15,32.79,0.36700000000000005
비전기,편마암,45.28,50.28,0.174
비전기,편마암,55.91,57.02,0.239
비전기,편마암,58.64,59.81,0.193
비전기,편마암,56.47,57.59,0.184
비전기,편마암,48.91,52.33,0.293
비전기,편마암,109.0,103.9,0.015
비전기,편마암,108.54,103.46,0.019
비전기,편마암,108.2,103.13,0.021
비전기,편마암,94.8,94.8,0.013000000000000001
비전기,편마암,94.8,94.8,0.013000000000000001
비전기,편마암,128.98,122.94,0.022000000000000002
비전기,편마암,129.67,123.6,0.015
비전기,편마암,112.6,112.6,0.011000000000000001
비전기,편마암,104.75,106.82,0.011000000000000001
비전기,편마암,104.75,106.82,0.013000000000000001
비전기,편마암,254.15,242.25,0.005
비전기,편마암,254.61,242.69,0.005
비전기,편마암,253.8,241.92,0.006
비전기,편마암,206.76,210.86,0.005
비전기,편마암,206.0,210.09,0.006
비전기,편마암,275.3,275.3,0.003
비전기,편마암,275.0,275.0,0.005
비전기,편마암,269.8,269.8,0.01
비전기,편마암,275.9,275.9,0.004
비전기,편마암,318.81,303.89,0.003
비전기,편마암,175.05,166.86,0.013000000000000001
비전기,편마암,178.52,170.16,0.01
비전기,편마암,175.86,167.63,0.011000000000000001
비전기,편마암,174.48,166.31,0.013999999999999999
비전기,편마암,155.0,155.0,0.006999999999999999
비전기,편마암,45.96,43.81,0.08
비전기,편마암,44.69,42.59,0.10300000000000001
비전기,편마암,39.2,39.2,0.084
비전기,편마암,38.84,39.61,0.09
비전기,편마암,38.09,38.84,0.095
비전기,편마암,65.71,67.02,0.023
비전기,편마암,66.47,67.79,0.03
비전기,편마암,67.98,69.32,0.021
비전기,편마암,259.18,264.32,0.011000000000000001
비전기,편마암,220.94,236.39,0.013000000000000001
비전기,편마암,223.97,239.62,0.009000000000000001
비전기,편마암,277.7,277.7,0.01
비전기,편마암,214.94,233.06,0.009000000000000001
비전기,편마암,299.8,299.8,0.01
비전기,편마암,232.83,252.45,0.011000000000000001
비전기,편마암,231.57,251.09,0.01
비전기,편마암,229.14,248.45,0.009000000000000001
비전기,편마암,228.59,247.86,0.008
비전기,편마암,250.88,255.86,0.013000000000000001
비전기,편마암,252.2,257.2,0.01
비전기,편마암,217.84,233.07,0.012
비전기,편마암,252.58,257.59,0.015
비전기,편마암,268.2,268.2,0.01
비전기,편마암,213.45,217.68,0.019
비전기,편마암,185.43,198.39,0.013000000000000001
비전기,편마암,227.8,227.8,0.016
비전기,편마암,175.72,190.53,0.017
비전기,편마암,176.11,190.96,0.016
비전기,편마암,56.47,57.59,0.102
비전기,편마암,49.4,52.85,0.11599999999999999
비전기,편마암,49.81,53.29,0.149
비전기,편마암,61.9,61.9,0.11699999999999999
비전기,편마암,64.3,64.3,0.156
비전기,편마암,58.57,65.04,0.079
비전기,편마암,68.18,72.94,0.094
비전기,편마암,77.59,79.13,0.128
비전기,편마암,92.84,88.49,0.125
비전기,편마암,84.9,84.9,0.08900000000000001
비전기,편마암,136.84,146.41,0.021
비전기,편마암,132.93,142.22,0.042
비전기,편마암,116.11,130.33,0.047
비전기,편마암,163.67,166.92,0.039
비전기,편마암,120.65,133.97,0.032
비전기,편마암,240.6,249.72,0.01
비전기,편마암,214.74,231.63,0.011000000000000001
비전기,편마암,214.18,231.03,0.011000000000000001
비전기,편마암,262.29,267.49,0.008
비전기,편마암,196.89,218.63,0.011000000000000001
비전기,편마암,193.26,206.78,0.006999999999999999
비전기,편마암,200.89,208.5,0.011000000000000001
비전기,편마암,301.68,278.95,0.01
비전기,편마암,169.5,188.22,0.009000000000000001
비전기,편마암,169.94,188.71,0.009000000000000001
비전기,편마암,156.85,167.81,0.021
비전기,편마암,157.42,168.43,0.023
비전기,편마암,195.0,195.0,0.024
비전기,편마암,170.3,176.75,0.024
비전기,편마암,155.62,167.86,0.024
비전기,편마암,142.04,147.42,0.026000000000000002
비전기,편마암,159.6,159.6,0.031
비전기,편마암,160.5,160.5,0.044000000000000004
비전기,편마암,211.87,195.91,0.03
비전기,편마암,157.17,160.28,0.032
비전기,편마암,44.17,47.26,0.11
비전기,편마암,42.05,44.99,0.11
비전기,편마암,58.89,56.13,0.129
비전기,편마암,58.74,59.9,0.128
비전기,편마암,46.59,51.74,0.10300000000000001
비전기,편마암,51.99,60.57,0.111
비전기,편마암,101.95,94.27,0.09
비전기,편마암,92.84,88.49,0.09
비전기,편마암,92.15,87.83,0.087
비전기,편마암,87.12,88.84,0.073
비전기,편마암,72.12,64.26,0.156
비전기,편마암,73.68,65.64,0.285
비전기,편마암,76.08,67.78,0.17800000000000002
비전기,편마암,67.03,59.72,0.187
비전기,편마암,65.76,58.59,0.151
비전기,편마암,28.43,25.32,0.574
비전기,편마암,28.43,25.32,0.456
비전기,편마암,28.0,24.95,0.479
비전기,편마암,28.0,24.95,0.42100000000000004
비전기,편마암,25.6,22.8,0.41700000000000004
비전기,편마암,40.02,35.66,0.353
비전기,편마암,40.73,36.29,0.38
비전기,편마암,43.42,38.68,0.332
비전기,편마암,44.26,39.44,0.281
비전기,편마암,35.36,31.5,0.273
비전기,편마암,63.36,56.44,0.248
비전기,편마암,64.63,57.58,0.331
비전기,편마암,67.18,59.85,0.282
비전기,편마암,58.12,51.78,0.209
비전기,편마암,57.7,51.4,0.205
비전기,편마암,90.93,81.01,0.085
비전기,편마암,90.93,81.01,0.045
비전기,편마암,93.34,83.15,0.073
비전기,편마암,92.77,82.65,0.061
