뇌관,SR SD,CR SD,최대입자속도
전기,130.98,159.0,0.04
전기,130.75,158.73,0.07
전기,93.01,126.73,0.064
전기,123.91,153.4,0.042
전기,125.54,155.42,0.03
전기,95.82,129.16,0.033
전기,23.6,32.15,0.226
전기,32.26,39.93,0.242
전기,31.2,38.63,0.335
전기,30.83,38.17,0.32899999999999996
전기,27.71,35.98,0.335
전기,26.18,35.57,0.318
전기,35.3,48.1,0.20199999999999999
전기,47.38,58.66,0.254
전기,46.64,57.74,0.369
전기,36.86,49.69,0.222
전기,36.25,48.87,0.22899999999999998
전기,38.5,51.9,0.271
전기,62.88,77.84,0.136
전기,62.67,77.58,0.133
전기,48.91,65.93,0.142
전기,48.09,64.83,0.141
전기,63.03,78.04,0.122
전기,48.49,65.89,0.125
전기,78.69,97.41,0.10300000000000001
전기,79.95,98.98,0.08800000000000001
전기,61.32,82.66,0.092
전기,66.46,86.9,0.16399999999999998
전기,61.0,82.9,0.09699999999999999
전기,60.44,82.14,0.121
전기,176.21,156.99,0.046
전기,175.65,156.48,0.025
전기,200.04,169.87,0.026000000000000002
전기,203.63,172.92,0.024
전기,204.45,173.62,0.028999999999999998
전기,297.27,264.84,0.01
전기,298.4,265.84,0.009000000000000001
전기,341.3,289.83,0.006999999999999999
전기,343.75,291.91,0.006999999999999999
전기,344.72,292.74,0.009000000000000001
전기,129.4,115.28,0.069
전기,130.11,115.91,0.069
전기,129.12,115.03,0.052000000000000005
전기,143.21,121.62,0.047
전기,144.19,122.45,0.049
전기,55.58,49.51,0.24
전기,56.85,50.65,0.308
전기,59.6,50.62,0.20800000000000002
전기,54.02,48.13,0.318
전기,63.03,53.53,0.32799999999999996
전기,70.0,62.37,0.107
전기,79.85,67.81,0.091
전기,79.04,67.12,0.1
전기,62.87,59.24,0.077
전기,69.08,65.1,0.068
전기,99.28,88.45,0.032
전기,99.14,88.32,0.028999999999999998
전기,112.02,95.13,0.027000000000000003
전기,113.66,96.52,0.036000000000000004
전기,110.72,94.02,0.027000000000000003
전기,135.06,120.32,0.025
전기,134.21,119.57,0.027000000000000003
전기,133.78,119.19,0.031
전기,153.34,130.21,0.019
전기,151.22,128.41,0.021
전기,281.71,250.98,0.013000000000000001
전기,281.99,251.23,0.015
전기,213.17,208.48,0.018000000000000002
전기,213.17,208.48,0.015
전기,232.56,221.67,0.013999999999999999
전기,318.2,283.48,0.01
전기,318.48,283.73,0.01
전기,241.07,235.76,0.006
전기,241.07,235.76,0.006
