뇌관,암석분류,SR SD,CR SD,최대입자속도
전자,변성암,72.2,57.31,0.066
전자,변성암,70.8,56.19,0.062
전자,변성암,69.2,54.92,0.06
전자,변성암,67.8,53.81,0.071
전자,변성암,65.0,51.59,0.07400000000000001
전자,변성암,86.4,68.58,0.028999999999999998
전자,변성암,86.4,68.58,0.042
전자,변성암,85.0,67.46,0.040999999999999995
전자,변성암,83.8,66.51,0.033
전자,변성암,82.6,65.56,0.040999999999999995
전자,변성암,147.0,116.67,0.012
전자,변성암,147.0,116.67,0.017
전자,변성암,147.0,116.67,0.015
전자,변성암,146.2,116.04,0.017
전자,변성암,143.6,113.98,0.016
전자,변성암,136.0,107.94,0.027000000000000003
전자,변성암,136.0,107.94,0.036000000000000004
전자,변성암,134.6,106.83,0.024
전자,변성암,134.6,106.83,0.024
전자,변성암,133.2,105.72,0.026000000000000002
전자,변성암,61.2,48.57,0.065
전자,변성암,59.6,47.3,0.059000000000000004
전자,변성암,59.6,47.3,0.087
전자,변성암,58.0,46.03,0.071
전자,변성암,58.0,46.03,0.071
전자,변성암,68.0,53.97,0.046
전자,변성암,68.0,53.97,0.06
전자,변성암,66.6,52.86,0.047
전자,변성암,65.0,51.59,0.057
전자,변성암,63.6,50.48,0.07200000000000001
전자,변성암,34.0,26.99,0.106
전자,변성암,34.0,26.99,0.10800000000000001
전자,변성암,58.0,46.03,0.24100000000000002
전자,변성암,48.0,38.1,0.179
전자,변성암,128.0,101.59,0.04
전자,변성암,56.0,44.45,0.14
전자,변성암,110.0,87.31,0.045
전자,변성암,60.0,47.62,0.092
전자,변성암,208.0,165.09,0.025
전자,변성암,128.0,101.59,0.043
