뇌관,암종,심발,SR SD,CR SD,최대입자속도
전자,화강암,선대구경,56.58,53.93,0.235
전자,화강암,선대구경,73.9,70.44,0.261
전자,화강암,선대구경,91.22,86.95,0.268
전자,화강암,선대구경,108.54,103.46,0.22899999999999998
전자,화강암,선대구경,125.86,119.97,0.162
전자,화강암,선대구경,143.18,136.48,0.156
전자,화강암,선대구경,160.5,152.99,0.17600000000000002
전자,화강암,선대구경,185.91,177.2,0.040999999999999995
전자,화강암,선대구경,56.58,53.93,0.048
전자,화강암,선대구경,73.9,70.44,0.031
전자,화강암,선대구경,91.22,86.95,0.024
전자,화강암,선대구경,108.54,103.46,0.038
전자,화강암,선대구경,125.86,119.97,0.016
전자,화강암,선대구경,143.18,136.48,0.015
전자,화강암,선대구경,160.5,152.99,0.011000000000000001
전자,화강암,선대구경,183.6,175.0,0.009000000000000001
전자,화강암,선대구경,152.16,146.61,0.031
전자,화강암,선대구경,124.24,128.08,0.05
전자,화강암,선대구경,157.15,149.8,0.028999999999999998
전자,화강암,선대구경,180.12,173.54,0.023
전자,화강암,선대구경,180.12,173.54,0.021
전자,화강암,선대구경,147.06,151.6,0.027000000000000003
전자,화강암,선대구경,208.07,200.47,0.02
전자,화강암,선대구경,208.07,200.47,0.021
전자,화강암,선대구경,208.07,200.47,0.017
전자,화강암,선대구경,49.64,42.16,0.8290000000000001
전자,화강암,선대구경,49.64,42.16,0.932
전자,화강암,선대구경,49.64,42.16,0.799
전자,화강암,선대구경,60.8,48.26,0.701
전자,화강암,선대구경,49.64,42.16,0.866
전자,화강암,선대구경,130.64,110.94,0.068
전자,화강암,선대구경,130.64,110.94,0.075
전자,화강암,선대구경,160.0,126.99,0.091
전자,화강암,선대구경,130.64,110.94,0.095
전자,화강암,선대구경,130.64,110.94,0.1
전자,화강암,선대구경,179.63,152.54,0.021
전자,화강암,선대구경,179.63,152.54,0.032
전자,화강암,선대구경,179.63,152.54,0.02
전자,화강암,선대구경,179.63,152.54,0.022000000000000002
전자,화강암,선대구경,220.0,174.61,0.016
전자,화강암,선대구경,212.29,180.27,0.011000000000000001
전자,화강암,선대구경,212.29,180.27,0.017
전자,화강암,선대구경,212.29,180.27,0.012
전자,화강암,선대구경,212.29,180.27,0.013000000000000001
전자,화강암,선대구경,212.29,180.27,0.015
전자,화강암,선대구경,245.11,208.15,0.01
전자,화강암,선대구경,245.11,208.15,0.013000000000000001
전자,화강암,선대구경,245.11,208.15,0.009000000000000001
전자,화강암,선대구경,245.11,208.15,0.012
전자,화강암,선대구경,300.2,238.27,0.01
전자,화강암,선대구경,277.77,235.88,0.011000000000000001
전자,화강암,선대구경,277.77,235.88,0.01
전자,화강암,선대구경,277.77,235.88,0.013000000000000001
전자,화강암,선대구경,277.77,235.88,0.011000000000000001
전자,화강암,선대구경,277.77,235.88,0.01
전자,화강암,선대구경,100.0,73.68,0.025
전자,화강암,선대구경,97.5,71.84,0.068
전자,화강암,선대구경,95.0,70.0,0.068
전자,화강암,선대구경,102.5,75.52,0.032
전자,화강암,선대구경,125.0,92.1,0.019
전자,화강암,선대구경,122.5,90.26,0.033
전자,화강암,선대구경,120.0,88.42,0.028999999999999998
전자,화강암,선대구경,127.5,93.94,0.025
전자,화강암,선대구경,150.0,110.52,0.024
전자,화강암,선대구경,147.5,108.68,0.033
전자,화강암,선대구경,145.0,106.84,0.006
전자,화강암,선대구경,152.5,112.36,0.006
전자,화강암,선대구경,175.0,128.94,0.024
전자,화강암,선대구경,172.5,127.1,0.028999999999999998
전자,화강암,선대구경,170.0,125.26,0.01
전자,화강암,선대구경,177.5,130.78,0.006
전자,화강암,선대구경,200.0,147.36,0.019
전자,화강암,선대구경,197.5,145.52,0.027000000000000003
전자,화강암,선대구경,195.0,143.68,0.008
전자,화강암,선대구경,202.5,149.2,0.006
전자,화강암,선대구경,57.5,42.37,0.071
전자,화강암,선대구경,55.0,40.52,0.114
전자,화강암,선대구경,52.5,38.68,0.08900000000000001
전자,화강암,선대구경,60.0,44.21,0.044000000000000004
전자,화강암,선대구경,400.0,294.72,0.015
전자,화강암,선대구경,397.5,292.88,0.015
전자,화강암,선대구경,395.0,291.04,0.012
전자,화강암,선대구경,402.5,296.56,0.012
전자,화강암,선대구경,430.0,316.83,0.012
전자,화강암,선대구경,427.5,314.98,0.022000000000000002
전자,화강암,선대구경,425.0,313.14,0.027000000000000003
전자,화강암,선대구경,432.5,318.67,0.015
전자,화강암,선대구경,44.72,34.2,0.153
전자,화강암,선대구경,73.16,62.13,0.142
전자,화강암,선대구경,67.61,57.41,0.21
전자,화강암,선대구경,70.65,59.31,0.204
전자,화강암,선대구경,75.93,64.48,0.14400000000000002
전자,화강암,선대구경,98.47,83.62,0.076
전자,화강암,선대구경,94.55,80.29,0.13699999999999998
전자,화강암,선대구경,98.38,82.58,0.105
전자,화강암,선대구경,100.43,85.28,0.08800000000000001
전자,화강암,선대구경,135.87,115.38,0.017
전자,화강암,선대구경,133.09,113.02,0.03
전자,화강암,선대구경,138.1,115.93,0.023
전자,화강암,선대구경,137.33,116.62,0.019
전자,화강암,선대구경,197.76,167.93,0.021
전자,화강암,선대구경,195.96,166.41,0.034
전자,화강암,선대구경,203.01,170.42,0.027999999999999997
