암석분류,암종,SR SD,CR SD,최대입자속도
화성암,안산암,130.98,159.0,0.04
화성암,안산암,130.75,158.73,0.07
화성암,안산암,93.01,126.73,0.064
화성암,안산암,123.91,153.4,0.042
화성암,안산암,125.54,155.42,0.03
화성암,안산암,95.82,129.16,0.033
화성암,안산암,23.6,32.15,0.226
화성암,안산암,32.26,39.93,0.242
화성암,안산암,31.2,38.63,0.335
화성암,안산암,30.83,38.17,0.32899999999999996
화성암,안산암,27.71,35.98,0.335
화성암,안산암,26.18,35.57,0.318
화성암,안산암,35.3,48.1,0.20199999999999999
화성암,안산암,47.38,58.66,0.254
화성암,안산암,46.64,57.74,0.369
화성암,안산암,36.86,49.69,0.222
화성암,안산암,36.25,48.87,0.22899999999999998
화성암,안산암,38.5,51.9,0.271
화성암,안산암,62.88,77.84,0.136
화성암,안산암,62.67,77.58,0.133
화성암,안산암,48.91,65.93,0.142
화성암,안산암,48.09,64.83,0.141
화성암,안산암,63.03,78.04,0.122
화성암,안산암,48.49,65.89,0.125
화성암,안산암,78.69,97.41,0.10300000000000001
화성암,안산암,79.95,98.98,0.08800000000000001
화성암,안산암,61.32,82.66,0.092
화성암,안산암,66.46,86.9,0.16399999999999998
화성암,안산암,61.0,82.9,0.09699999999999999
화성암,안산암,60.44,82.14,0.121
화성암,안산암,198.91,215.11,0.024
화성암,안산암,114.57,148.8,0.042
화성암,안산암,114.38,148.56,0.047
화성암,안산암,178.05,199.85,0.027000000000000003
화성암,안산암,125.4,157.99,0.027999999999999997
화성암,안산암,100.59,135.6,0.044000000000000004
화성암,안산암,99.78,134.5,0.055
화성암,안산암,100.96,136.09,0.042
화성암,안산암,124.1,156.36,0.034
화성암,안산암,122.75,154.66,0.045
화성암,안산암,28.3,36.75,0.872
화성암,안산암,28.44,36.93,0.768
화성암,안산암,28.71,37.29,0.581
화성암,안산암,25.64,34.56,0.604
화성암,안산암,31.8,40.07,0.462
화성암,안산암,81.74,88.41,0.124
화성암,안산암,80.95,87.55,0.113
화성암,안산암,47.1,61.18,0.20199999999999999
화성암,안산암,42.05,56.68,0.23600000000000002
화성암,안산암,51.05,64.32,0.158
화성암,안산암,102.62,110.98,0.084
화성암,안산암,58.93,76.53,0.22
화성암,안산암,58.79,76.35,0.33
화성암,안산암,59.25,76.95,0.20800000000000002
화성암,안산암,59.25,76.95,0.134
화성암,안산암,73.12,94.97,0.162
화성암,안산암,72.39,94.02,0.162
화성암,안산암,65.24,87.94,0.11800000000000001
화성암,안산암,64.54,87.01,0.252
화성암,안산암,64.87,87.45,0.19699999999999998
화성암,안산암,76.3,102.86,0.141
화성암,안산암,76.63,103.3,0.133
화성암,안산암,75.89,102.3,0.142
화성암,안산암,94.65,119.25,0.102
화성암,안산암,76.91,103.68,0.121
화성암,안산암,171.16,185.1,0.038
화성암,안산암,99.18,128.82,0.11800000000000001
화성암,안산암,98.36,127.75,0.102
화성암,안산암,88.43,119.2,0.135
화성암,안산암,107.8,135.82,0.075
화성암,안산암,281.71,250.98,0.013000000000000001
화성암,안산암,281.99,251.23,0.015
화성암,안산암,213.17,208.48,0.018000000000000002
화성암,안산암,213.17,208.48,0.015
화성암,안산암,232.56,221.67,0.013999999999999999
화성암,안산암,318.2,283.48,0.01
화성암,안산암,318.48,283.73,0.01
화성암,안산암,241.07,235.76,0.006
화성암,안산암,241.07,235.76,0.006
화성암,안산암,241.07,235.76,0.008
화성암,안산암,46.4,45.38,0.17
화성암,안산암,46.4,45.38,0.28600000000000003
화성암,안산암,52.31,49.86,0.23
화성암,안산암,51.38,48.98,0.337
화성암,안산암,50.46,48.1,0.217
화성암,안산암,62.43,61.06,0.165
화성암,안산암,62.33,60.95,0.179
화성암,안산암,69.63,66.37,0.163
화성암,안산암,68.59,65.38,0.188
화성암,안산암,67.55,64.39,0.17
화성암,안산암,82.1,80.3,0.12300000000000001
화성암,안산암,78.36,76.64,0.11
화성암,안산암,82.0,80.19,0.115
화성암,안산암,80.18,78.41,0.12
화성암,안산암,82.68,78.81,0.17300000000000001
화성암,안산암,94.4,92.32,0.122
화성암,안산암,103.11,98.29,0.10300000000000001
화성암,안산암,104.27,99.39,0.139
화성암,안산암,101.96,97.19,0.11199999999999999
화성암,안산암,103.35,98.51,0.096
화성암,안산암,110.54,108.11,0.107
화성암,안산암,114.17,111.66,0.12
화성암,안산암,110.43,108.0,0.079
화성암,안산암,119.28,113.7,0.10099999999999999
화성암,안산암,119.4,113.81,0.12300000000000001
화성암,안산암,229.86,236.95,0.013000000000000001
화성암,안산암,226.39,233.38,0.013999999999999999
화성암,안산암,227.94,234.98,0.01
화성암,안산암,225.66,232.62,0.018000000000000002
화성암,안산암,227.12,234.13,0.013999999999999999
화성암,안산암,184.22,189.9,0.018000000000000002
화성암,안산암,186.5,192.25,0.013999999999999999
화성암,안산암,181.48,187.08,0.024
화성암,안산암,182.03,187.64,0.022000000000000002
화성암,안산암,180.57,186.14,0.025
화성암,안산암,37.79,38.96,0.493
화성암,안산암,32.77,33.78,0.586
화성암,안산암,37.52,38.68,0.431
화성암,안산암,37.25,38.39,0.5
화성암,안산암,33.68,34.72,0.53
화성암,안산암,37.98,39.15,0.307
화성암,안산암,41.17,42.44,0.21100000000000002
화성암,안산암,40.26,41.5,0.3
화성암,안산암,34.99,37.01,0.6809999999999999
화성암,안산암,34.23,36.2,0.442
화성암,안산암,62.17,64.08,0.158
화성암,안산암,62.81,64.74,0.132
화성암,안산암,63.44,65.4,0.125
화성암,안산암,59.58,63.02,0.215
화성암,안산암,60.34,63.82,0.21899999999999997
화성암,안산암,82.61,85.16,0.1
화성암,안산암,81.88,84.41,0.124
화성암,안산암,81.06,83.56,0.111
화성암,안산암,78.26,82.78,0.131
화성암,안산암,79.02,83.58,0.131
화성암,안산암,100.78,103.89,0.055
화성암,안산암,99.05,102.1,0.075
화성암,안산암,99.96,103.04,0.054000000000000006
화성암,안산암,93.39,98.78,0.055999999999999994
화성암,안산암,91.78,97.08,0.10300000000000001
화성암,안산암,116.66,120.26,0.077
화성암,안산암,117.3,120.92,0.068
화성암,안산암,115.93,119.51,0.051
화성암,안산암,116.57,120.17,0.066
화성암,안산암,115.93,119.51,0.091
화성암,안산암,175.03,189.29,0.024
화성암,안산암,174.95,189.21,0.019
화성암,안산암,174.56,188.78,0.026000000000000002
화성암,안산암,173.69,187.84,0.022000000000000002
화성암,안산암,183.99,194.6,0.017
화성암,안산암,183.57,194.16,0.016
화성암,안산암,156.3,169.03,0.013999999999999999
화성암,안산암,155.82,168.52,0.016
화성암,안산암,155.58,168.26,0.013000000000000001
화성암,안산암,155.82,168.52,0.015
화성암,안산암,169.28,179.05,0.011000000000000001
화성암,안산암,163.45,172.88,0.015
화성암,안산암,62.85,67.97,0.087
화성암,안산암,63.17,68.31,0.1
화성암,안산암,65.7,71.05,0.055
화성암,안산암,61.66,66.69,0.095
화성암,안산암,71.33,75.45,0.07200000000000001
화성암,안산암,67.87,71.78,0.084
화성암,안산암,77.87,84.22,0.064
화성암,안산암,77.71,84.05,0.065
화성암,안산암,79.14,85.58,0.054000000000000006
화성암,안산암,77.55,83.87,0.057999999999999996
화성암,안산암,77.55,83.87,0.059000000000000004
화성암,안산암,87.14,92.16,0.057
화성암,안산암,97.79,105.76,0.053
화성암,안산암,98.03,106.02,0.048
화성암,안산암,97.32,105.25,0.043
화성암,안산암,100.4,108.58,0.038
화성암,안산암,108.94,115.22,0.028999999999999998
화성암,안산암,102.26,108.16,0.04
화성암,안산암,73.6,58.42,0.27
화성암,안산암,75.06,56.78,0.297
화성암,안산암,74.82,56.61,0.342
화성암,안산암,75.98,57.48,0.17
화성암,안산암,55.03,46.73,0.314
화성암,안산암,108.8,86.35,0.10400000000000001
화성암,안산암,121.47,91.9,0.094
화성암,안산암,129.33,97.84,0.079
화성암,안산암,134.18,101.51,0.059000000000000004
화성암,안산암,95.2,80.85,0.087
화성암,안산암,178.8,141.91,0.024
화성암,안산암,212.0,160.39,0.026000000000000002
화성암,안산암,210.39,159.17,0.033
화성암,안산암,215.01,162.66,0.022000000000000002
화성암,안산암,213.39,161.44,0.023
화성암,안산암,78.0,61.91,0.179
화성암,안산암,82.68,62.55,0.147
화성암,안산암,92.38,69.89,0.11599999999999999
화성암,안산암,80.37,60.8,0.154
화성암,안산암,82.91,62.72,0.146
화성암,안산암,43.8,34.76,0.41
화성암,안산암,43.88,33.2,0.537
화성암,안산암,42.49,32.15,0.49200000000000005
화성암,안산암,42.03,31.8,0.439
화성암,안산암,40.66,34.53,0.446
화성암,안산암,142.4,113.02,0.038
화성암,안산암,158.42,119.86,0.05
화성암,안산암,155.65,117.76,0.047
화성암,안산암,153.81,116.36,0.051
화성암,안산암,122.64,104.14,0.043
화성암,안산암,29.41,31.81,0.509
화성암,안산암,30.52,33.0,0.321
화성암,안산암,28.07,30.35,0.336
화성암,안산암,28.86,31.21,0.325
화성암,안산암,31.68,32.65,0.369
화성암,안산암,42.45,45.91,0.245
화성암,안산암,49.39,50.91,0.209
화성암,안산암,49.3,50.82,0.237
화성암,안산암,46.23,48.9,0.16699999999999998
화성암,안산암,53.0,53.0,0.17300000000000001
화성암,안산암,81.34,83.85,0.141
화성암,안산암,88.8,88.8,0.10400000000000001
화성암,안산암,79.69,82.15,0.094
화성암,안산암,79.05,81.49,0.1
화성암,안산암,88.1,88.1,0.08800000000000001
화성암,안산암,29.83,31.55,0.679
화성암,안산암,32.68,33.69,0.6659999999999999
화성암,안산암,30.03,30.96,0.815
화성암,안산암,30.67,31.62,0.6859999999999999
화성암,안산암,34.0,34.0,0.688
화성암,안산암,14.06,14.49,1.6369999999999998
화성암,안산암,13.52,14.3,1.524
화성암,안산암,15.4,15.4,1.768
화성암,안산암,17.0,17.0,1.5319999999999998
화성암,안산암,16.0,16.0,1.695
화성암,안산암,95.18,102.94,0.053
화성암,안산암,110.27,113.68,0.054000000000000006
화성암,안산암,109.18,112.55,0.06
화성암,안산암,118.2,118.2,0.077
화성암,안산암,118.8,118.8,0.062
화성암,안산암,206.18,222.98,0.013999999999999999
화성암,안산암,206.26,223.07,0.013999999999999999
화성암,안산암,206.81,223.66,0.008
화성암,안산암,206.73,223.58,0.009000000000000001
화성암,안산암,241.91,249.37,0.011000000000000001
화성암,안산암,231.95,250.85,0.018000000000000002
화성암,안산암,271.12,279.49,0.016
화성암,안산암,272.58,280.99,0.013000000000000001
화성암,안산암,249.66,264.06,0.018000000000000002
화성암,안산암,297.0,297.0,0.013000000000000001
화성암,안산암,40.62,41.88,0.29100000000000004
화성암,안산암,45.3,45.3,0.23
화성암,안산암,39.8,41.03,0.308
화성암,안산암,38.16,39.34,0.391
