,,,,,,,,화약,,뇌관,,암석분류,,암석명,,심발공,
,,,,,,,,0,모든 폭약,0,모든 뇌관,0,모든 암석분류,0,모든 암석명,0,모든 심발
,,,,,,,,1,에멀젼C,1,비전기,1,변성암,1,규장암,1,Cylinder-cut
,,,,,,,,2,정밀폭약,2,전기,2,퇴적암,2,사암,2,TBM 선굴착
,,,,,,,,3,벌크에멀젼,3,전자,3,화성암,3,석회암,3,V-CUT
,,,,,,,,,,,,,,4,섬록암,4,라인 드릴링
,,,,,,,,,,,,,,5,셰일,5,분착식 다단발파
,,,,,,,,,,,,,,6,안산암,6,선대구경
,,,,,,,,,,,,,,7,응회암,7,수직구
,,,,,,,,,,,,,,8,편마암,,
,,,,,,,,,,,,,,9,편암,,
,,,,,,,,,,,,,,10,화강반암,,
,,,,,,,,,,,,,,11, 화강암,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,K,n,s,exp,det,rot,roc,cen,,,,,,,,,
0,48.87245144,-1.442871974,0.402458513,0,0,0,0,0,,,,,,,,,
0,52.26612113,-1.492485239,0.367018444,0,0,1,0,0,,,,,,,,,
0,117.2141155,-1.704800333,0.276555433,0,0,2,0,0,,,,,,,,,
0,34.62366734,-1.358537029,0.40693993,0,0,3,0,0,,,,,,,,,
0,48.87245144,-1.442871974,0.402458513,0,0,0,0,0,,,,,,,,,
0,319.9239686,-1.762425016,0.164416878,0,0,0,1,0,,,,,,,,,
0,242.9890895,-1.900219492,0.142871835,0,0,0,2,0,,,,,,,,,
0,109.2936121,-1.803202502,0.299597236,0,0,0,3,0,,,,,,,,,
0,217.8176605,-1.766123974,0.287450697,0,0,0,4,0,,,,,,,,,
0,221.214977,-1.760167676,0.247058353,0,0,0,5,0,,,,,,,,,
0,100.9577481,-1.561939699,0.244785299,0,0,0,6,0,,,,,,,,,
0,33.06894658,-1.471704542,0.204961645,0,0,0,7,0,,,,,,,,,
0,47.31691975,-1.46987439,0.36728298,0,0,0,8,0,,,,,,,,,
0,87.05430803,-1.61506768,0.282383203,0,0,0,9,0,,,,,,,,,
0,53.14195839,-1.516592853,0.219699129,0,0,0,10,0,,,,,,,,,
0,30.19275153,-1.369016802,0.424888091,0,0,0,11,0,,,,,,,,,
0,44.30300275,-1.453924173,0.330184526,0,0,0,0,1,,,,,,,,,
0,8.942144623,-1.126319847,0.259607997,0,0,1,0,1,,,,,,,,,
0,112.1649902,-1.817704771,0.299458961,0,0,2,0,1,,,,,,,,,
0,63.10826553,-1.512071606,0.313311586,0,0,3,0,1,,,,,,,,,
0,44.30300275,-1.453924173,0.330184526,0,0,0,0,1,,,,,,,,,
0,261.2841517,-1.742916388,0.19928462,0,0,0,1,1,,,,,,,,,
0,186.3844227,-1.831082395,0.213206795,0,0,0,2,1,,,,,,,,,
0,108.0633892,-1.809764838,0.298928859,0,0,0,3,1,,,,,,,,,
0,134.7539455,-1.668032679,0.307040872,0,0,0,4,1,,,,,,,,,
0,140.9478694,-1.637721952,0.301460883,0,0,0,5,1,,,,,,,,,
0,40.95054961,-1.378097678,0.317452734,0,0,0,6,1,,,,,,,,,
0,-8.933225446,-1.157209489,0.279287067,0,0,0,7,1,,,,,,,,,
0,6.005780591,-1.120336855,0.260664492,0,0,0,8,1,,,,,,,,,
0,37.01417907,-1.335317015,0.237838184,0,0,0,9,1,,,,,,,,,
0,54.77825764,-1.501850804,0.214710577,0,0,0,10,1,,,,,,,,,
0,58.0401538,-1.528641775,0.329609667,0,0,0,11,1,,,,,,,,,
