,,,,,,,,화약,,뇌관,,암석분류,,암석명,,심발공,
,,,,,,,,0,모든 폭약,0,모든 뇌관,0,모든 암석분류,0,모든 암석명,0,모든 심발
,,,,,,,,1,에멀젼C,1,비전기,1,변성암,1,규장암,1,Cylinder-cut
,,,,,,,,2,정밀폭약,2,전기,2,퇴적암,2,사암,2,TBM 선굴착
,,,,,,,,3,함수폭약,3,전자,3,화성암,3,석회암,3,V-CUT
,,,,,,,,,,,,,,4,섬록암,4,라인 드릴링
,,,,,,,,,,,,,,5,셰일,5,분착식 다단발파
,,,,,,,,,,,,,,6,안산암,6,선대구경
,,,,,,,,,,,,,,7,응회암,7,수직구
,,,,,,,,,,,,,,8,편마암,,
,,,,,,,,,,,,,,9,편암,,
,,,,,,,,,,,,,,10,화강반암,,
,,,,,,,,,,,,,,11, 화강암,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,K,n,s,exp,det,rot,roc,cen,,,,,,,,,
0,56.37062617,-1.473951901,0.161864428,모든 화약,모든 뇌관,모든 암석분류,모든 암종,모든 심발,,,,,,,,,
0,52.67719561,-1.491570551,0.155005496,모든 화약,모든 뇌관,변성암,모든 암종,모든 심발,,,,,,,,,
0,119.5214787,-1.705164185,0.109267886,모든 화약,모든 뇌관,퇴적암,모든 암종,모든 심발,,,,,,,,,
0,30.7790266,-1.349163814,0.187251438,모든 화약,모든 뇌관,화성암,모든 암종,모든 심발,,,,,,,,,
0,56.37062617,-1.473951901,0.161864428,모든 화약,모든 뇌관,모든 암석분류,모든 암종,모든 심발,,,,,,,,,
0,322.3050314,-1.764279718,0.054430423,모든 화약,모든 뇌관,모든 암석분류,규장암,모든 심발,,,,,,,,,
0,221.2111849,-1.880508909,0.052937399,모든 화약,모든 뇌관,모든 암석분류,사암,모든 심발,,,,,,,,,
0,113.7924471,-1.814646944,0.116294799,모든 화약,모든 뇌관,모든 암석분류,석회암,모든 심발,,,,,,,,,
0,234.3132815,-1.791894987,0.101728222,모든 화약,모든 뇌관,모든 암석분류,섬록암,모든 심발,,,,,,,,,
0,223.4855639,-1.759557642,0.086181627,모든 화약,모든 뇌관,모든 암석분류,셰일,모든 심발,,,,,,,,,
0,100.8079448,-1.569273205,0.09345275,모든 화약,모든 뇌관,모든 암석분류,안산암,모든 심발,,,,,,,,,
0,33.71094247,-1.465942039,0.094603169,모든 화약,모든 뇌관,모든 암석분류,응회암,모든 심발,,,,,,,,,
0,45.30990895,-1.467990827,0.16245755,모든 화약,모든 뇌관,모든 암석분류,편마암,모든 심발,,,,,,,,,
0,87.93720291,-1.61468665,0.109653783,모든 화약,모든 뇌관,모든 암석분류,편암,모든 심발,,,,,,,,,
0,56.13625335,-1.517157913,0.097794443,모든 화약,모든 뇌관,모든 암석분류,화강반암,모든 심발,,,,,,,,,
0,27.88688402,-1.362460779,0.201612116,모든 화약,모든 뇌관,모든 암석분류,화강암,모든 심발,,,,,,,,,
0,46.21139393,-1.458899847,0.143675293,모든 화약,모든 뇌관,모든 암석분류,모든 암종,Cylinder-cut,,,,,,,,,
0,12.08360878,-1.210998829,0.149660215,모든 화약,모든 뇌관,변성암,모든 암종,Cylinder-cut,,,,,,,,,
0,88.76911745,-1.75375151,0.126662234,모든 화약,모든 뇌관,퇴적암,모든 암종,Cylinder-cut,,,,,,,,,
0,62.00754532,-1.515729885,0.129279499,모든 화약,모든 뇌관,화성암,모든 암종,Cylinder-cut,,,,,,,,,
