화약,지발당장약량,뇌관,암석분류,암종,이격거리,심발,SR SD,CR SD,최대입자속도
에멀젼C,0.25,비전기,변성암,편마암,9.4,V-CUT,18.8,14.92,3.204
에멀젼C,0.25,비전기,변성암,편마암,9.4,V-CUT,18.8,14.92,2.97
에멀젼C,0.35,비전기,변성암,편마암,9,V-CUT,15.21,12.77,3.9
에멀젼C,0.35,비전기,변성암,편마암,9,V-CUT,15.21,12.77,2.609
에멀젼C,0.35,비전기,변성암,편마암,9.1,V-CUT,15.38,12.91,3.176
에멀젼C,0.35,비전기,변성암,편마암,9.1,V-CUT,15.38,12.91,2.669
에멀젼C,0.25,비전기,변성암,편마암,89.6,V-CUT,179.2,142.23,0.041
에멀젼C,0.35,비전기,변성암,편마암,90.2,V-CUT,152.47,127.99,0.062
에멀젼C,0.35,비전기,변성암,편마암,90.2,V-CUT,152.47,127.99,0.033
에멀젼C,0.35,비전기,변성암,편마암,89.7,V-CUT,151.62,127.28,0.06
에멀젼C,0.35,비전기,변성암,편마암,89.7,V-CUT,151.62,127.28,0.029
에멀젼C,0.35,비전기,변성암,편마암,90.8,V-CUT,153.48,128.84,0.032
에멀젼C,1,비전기,변성암,편마암,50.7,V-CUT,50.7,50.7,0.178
에멀젼C,0.25,비전기,변성암,편마암,49.3,V-CUT,98.6,78.26,0.144
에멀젼C,0.25,비전기,변성암,편마암,49.3,V-CUT,98.6,78.26,0.139
에멀젼C,0.35,비전기,변성암,편마암,50.3,V-CUT,85.02,71.37,0.202
에멀젼C,0.35,비전기,변성암,편마암,50.3,V-CUT,85.02,71.37,0.143
에멀젼C,0.375,비전기,변성암,편마암,50.1,V-CUT,81.81,69.47,0.15
에멀젼C,1,비전기,변성암,편마암,80.7,V-CUT,80.7,80.7,0.062
에멀젼C,0.25,비전기,변성암,편마암,79.3,V-CUT,158.6,125.88,0.035
에멀젼C,0.25,비전기,변성암,편마암,79.3,V-CUT,158.6,125.88,0.038
에멀젼C,0.25,비전기,변성암,편마암,79.3,V-CUT,158.6,125.88,0.048
에멀젼C,0.25,비전기,변성암,편마암,79.3,V-CUT,158.6,125.88,0.039
에멀젼C,0.35,비전기,변성암,편마암,80.1,V-CUT,135.39,113.66,0.047
에멀젼C,1,비전기,변성암,편마암,111.4,V-CUT,111.4,111.4,0.038
에멀젼C,0.25,비전기,변성암,편마암,109.3,V-CUT,218.6,173.5,0.029
에멀젼C,0.25,비전기,변성암,편마암,109.3,V-CUT,218.6,173.5,0.032
에멀젼C,0.25,비전기,변성암,편마암,108.6,V-CUT,217.2,172.39,0.033
에멀젼C,0.35,비전기,변성암,편마암,110,V-CUT,185.93,156.09,0.029
에멀젼C,0.375,비전기,변성암,편마암,109.6,V-CUT,178.98,151.98,0.035
에멀젼C,0.25,비전기,변성암,편마암,42.1,V-CUT,84.2,66.83,0.164
에멀젼C,0.7,비전기,변성암,편마암,40.5,V-CUT,48.41,45.61,0.143
에멀젼C,0.7,비전기,변성암,편마암,39.8,V-CUT,47.57,44.82,0.136
에멀젼C,0.5,비전기,변성암,편마암,31.4,V-CUT,44.41,39.56,0.24
에멀젼C,0.5,비전기,변성암,편마암,31.4,V-CUT,44.41,39.56,0.198
에멀젼C,0.25,비전기,변성암,편마암,217.8,V-CUT,435.6,345.74,0.009
에멀젼C,0.25,비전기,변성암,편마암,212.6,V-CUT,425.2,337.48,0.011
에멀젼C,0.5,비전기,변성암,편마암,209.4,V-CUT,296.14,263.83,0.009
에멀젼C,0.5,비전기,변성암,편마암,208.6,V-CUT,295,262.82,0.009
에멀젼C,0.5,비전기,변성암,편마암,208.6,V-CUT,295,262.82,0.011
에멀젼C,0.5,비전기,변성암,편마암,31.2,V-CUT,44.12,39.31,0.194
에멀젼C,0.25,비전기,변성암,편마암,25.8,V-CUT,51.6,40.95,0.247
에멀젼C,0.25,비전기,변성암,편마암,27.5,V-CUT,55,43.65,0.222
에멀젼C,0.7,비전기,변성암,편마암,26.5,V-CUT,31.67,29.85,0.358
에멀젼C,0.7,비전기,변성암,편마암,28.8,V-CUT,34.42,32.44,0.244
에멀젼C,0.25,비전기,변성암,편마암,46.3,V-CUT,92.6,73.5,0.093
에멀젼C,0.7,비전기,변성암,편마암,51.8,V-CUT,61.91,58.34,0.067
에멀젼C,0.7,비전기,변성암,편마암,53.1,V-CUT,63.47,59.8,0.071
에멀젼C,0.5,비전기,변성암,편마암,44.6,V-CUT,63.07,56.19,0.067
에멀젼C,0.5,비전기,변성암,편마암,43.8,V-CUT,61.94,55.18,0.115
에멀젼C,0.25,비전기,변성암,편마암,72.8,V-CUT,145.6,115.56,0.033
에멀젼C,0.25,비전기,변성암,편마암,66,V-CUT,132,104.77,0.051
에멀젼C,0.5,비전기,변성암,편마암,66.6,V-CUT,94.19,83.91,0.037
에멀젼C,0.5,비전기,변성암,편마암,65.8,V-CUT,93.06,82.9,0.046
에멀젼C,0.5,비전기,변성암,편마암,65,V-CUT,91.92,81.89,0.043
에멀젼C,0.5,비전기,변성암,편마암,88.6,V-CUT,125.3,111.63,0.068
에멀젼C,0.5,비전기,변성암,편마암,91.5,V-CUT,129.4,115.28,0.026
에멀젼C,0.25,비전기,변성암,편마암,87.1,V-CUT,174.2,138.26,0.032
에멀젼C,0.25,비전기,변성암,편마암,86.3,V-CUT,172.6,136.99,0.031
에멀젼C,0.5,비전기,변성암,편마암,85.4,V-CUT,120.77,107.6,0.034
에멀젼C,0.25,비전기,변성암,편마암,107.9,V-CUT,215.8,171.28,0.027
에멀젼C,0.25,비전기,변성암,편마암,106.3,V-CUT,212.6,168.74,0.027
에멀젼C,0.25,비전기,변성암,편마암,113.8,V-CUT,227.6,180.65,0.023
에멀젼C,0.5,비전기,변성암,편마암,104.6,V-CUT,147.93,131.79,0.022
에멀젼C,0.5,비전기,변성암,편마암,103.8,V-CUT,146.8,130.78,0.032
에멀젼C,0.5,비전기,변성암,편마암,131,V-CUT,185.26,165.05,0.011
에멀젼C,0.25,비전기,변성암,편마암,125.5,V-CUT,251,199.22,0.016
에멀젼C,0.25,비전기,변성암,편마암,133,V-CUT,266,211.12,0.01
에멀젼C,0.5,비전기,변성암,편마암,126.2,V-CUT,178.47,159,0.011
에멀젼C,0.5,비전기,변성암,편마암,125.4,V-CUT,177.34,157.99,0.015
에멀젼C,0.375,비전기,화성암,규장암,15.1,V-CUT,24.66,20.94,2.644
에멀젼C,0.5,비전기,화성암,규장암,13.8,V-CUT,19.52,17.39,1.563
에멀젼C,0.5,비전기,화성암,규장암,13.8,V-CUT,19.52,17.39,2.349
에멀젼C,0.5,비전기,화성암,규장암,13,V-CUT,18.38,16.38,2.238
에멀젼C,0.5,비전기,화성암,규장암,11.8,V-CUT,16.69,14.87,3.137
에멀젼C,0.25,비전기,화성암,규장암,89.7,V-CUT,179.4,142.39,0.054
에멀젼C,0.5,비전기,화성암,규장암,86.8,V-CUT,122.75,109.36,0.069
에멀젼C,0.5,비전기,화성암,규장암,92.5,V-CUT,130.81,116.54,0.056
에멀젼C,0.5,비전기,화성암,규장암,84.7,V-CUT,119.78,106.72,0.072
에멀젼C,0.375,비전기,화성암,규장암,93.3,V-CUT,152.36,129.38,0.06
에멀젼C,0.25,비전기,화성암,규장암,105.2,V-CUT,210.4,166.99,0.03
에멀젼C,0.25,비전기,화성암,규장암,108.7,V-CUT,217.4,172.55,0.038
에멀젼C,0.5,비전기,화성암,규장암,103.2,V-CUT,145.95,130.02,0.049
에멀젼C,0.375,비전기,화성암,규장암,109.7,V-CUT,179.14,152.12,0.03
에멀젼C,0.375,비전기,화성암,규장암,101.1,V-CUT,165.1,140.2,0.033
에멀젼C,0.25,비전기,화성암,규장암,182.7,V-CUT,365.4,290.02,0.016
에멀젼C,0.25,비전기,화성암,규장암,187.8,V-CUT,375.6,298.11,0.014
에멀젼C,0.5,비전기,화성암,규장암,181.4,V-CUT,256.54,228.55,0.015
에멀젼C,0.5,비전기,화성암,규장암,183.1,V-CUT,258.94,230.69,0.017
에멀젼C,0.5,비전기,화성암,규장암,182.6,V-CUT,258.24,230.06,0.014
에멀젼C,0.25,비전기,화성암,규장암,41.3,V-CUT,82.6,65.56,0.13
에멀젼C,0.5,비전기,화성암,규장암,39,V-CUT,55.15,49.14,0.156
에멀젼C,0.5,비전기,화성암,규장암,45.5,V-CUT,64.35,57.33,0.124
에멀젼C,0.5,비전기,화성암,규장암,38.4,V-CUT,54.31,48.38,0.174
에멀젼C,0.5,비전기,화성암,규장암,43,V-CUT,60.81,54.18,0.11
에멀젼C,0.25,비전기,화성암,규장암,69.3,V-CUT,138.6,110.01,0.094
에멀젼C,0.5,비전기,화성암,규장암,65.9,V-CUT,93.2,83.03,0.093
에멀젼C,0.5,비전기,화성암,규장암,68.1,V-CUT,96.31,85.8,0.099
에멀젼C,0.5,비전기,화성암,규장암,72.4,V-CUT,102.39,91.22,0.079
에멀젼C,0.375,비전기,화성암,규장암,75.5,V-CUT,123.29,104.7,0.086
에멀젼C,0.375,비전기,화성암,규장암,98.6,V-CUT,161.01,136.73,0.041
에멀젼C,0.5,비전기,화성암,규장암,96.6,V-CUT,136.61,121.71,0.045
에멀젼C,0.5,비전기,화성암,규장암,99.4,V-CUT,140.57,125.24,0.047
에멀젼C,0.5,비전기,화성암,규장암,101,V-CUT,142.84,127.25,0.035
에멀젼C,0.5,비전기,화성암,규장암,102.3,V-CUT,144.67,128.89,0.036
에멀젼C,1.875,비전기,변성암,편마암,293.5,V-CUT,214.34,238.02,0.012
에멀젼C,1.125,비전기,변성암,편마암,295,V-CUT,278.13,283.64,0.01
에멀젼C,1.125,비전기,변성암,편마암,293.7,V-CUT,276.9,282.39,0.015
에멀젼C,1.5,비전기,변성암,편마암,296.3,V-CUT,241.93,258.84,0.011
에멀젼C,1.125,비전기,변성암,편마암,295.5,V-CUT,278.6,284.12,0.013
에멀젼C,1.875,비전기,변성암,편마암,336.1,V-CUT,245.45,272.56,0.017
에멀젼C,1.125,비전기,변성암,편마암,335.3,V-CUT,316.12,322.39,0.018
에멀젼C,1.125,비전기,변성암,편마암,336.2,V-CUT,316.97,323.26,0.011
에멀젼C,1.5,비전기,변성암,편마암,335.5,V-CUT,273.93,293.09,0.018
에멀젼C,1.5,비전기,변성암,편마암,336.6,V-CUT,274.83,294.05,0.016
에멀젼C,1.875,비전기,변성암,편마암,195.5,V-CUT,142.77,158.54,0.012
에멀젼C,1.125,비전기,변성암,편마암,197.6,V-CUT,186.3,189.99,0.01
에멀젼C,1.125,비전기,변성암,편마암,196.4,V-CUT,185.17,188.84,0.014
에멀젼C,1,비전기,변성암,편마암,193.3,V-CUT,193.3,193.3,0.012
에멀젼C,1.625,비전기,변성암,편마암,201.4,V-CUT,157.99,171.31,0.014
에멀젼C,1.875,비전기,변성암,편마암,155.5,V-CUT,113.56,126.1,0.036
에멀젼C,1.125,비전기,변성암,편마암,153.7,V-CUT,144.91,147.78,0.039
에멀젼C,1.5,비전기,변성암,편마암,154.4,V-CUT,126.07,134.88,0.037
에멀젼C,0.75,비전기,변성암,편마암,155.1,V-CUT,179.09,170.71,0.032
에멀젼C,1,비전기,변성암,편마암,152.3,V-CUT,152.3,152.3,0.044
에멀젼C,1.125,비전기,변성암,편마암,387.7,V-CUT,365.53,372.77,0.014
에멀젼C,1.125,비전기,변성암,편마암,384.8,V-CUT,362.79,369.99,0.012
에멀젼C,1.5,비전기,변성암,편마암,382.1,V-CUT,311.98,333.8,0.015
에멀젼C,1.125,비전기,변성암,편마암,388.4,V-CUT,366.19,373.45,0.011
에멀젼C,1,비전기,변성암,편마암,386.9,V-CUT,386.9,386.9,0.012
에멀젼C,3,비전기,변성암,편마암,326.6,V-CUT,188.56,226.45,0.013
에멀젼C,1.125,비전기,변성암,편마암,327.1,V-CUT,308.39,314.51,0.011
에멀젼C,1.5,비전기,변성암,편마암,327.8,V-CUT,267.65,286.36,0.012
에멀젼C,1,비전기,변성암,편마암,326.4,V-CUT,326.4,326.4,0.01
에멀젼C,1,비전기,변성암,편마암,329.2,V-CUT,329.2,329.2,0.014
에멀젼C,1.875,비전기,변성암,편마암,32.3,V-CUT,23.59,26.19,0.272
에멀젼C,1.125,비전기,변성암,편마암,30.1,V-CUT,28.38,28.94,0.267
에멀젼C,1.125,비전기,변성암,편마암,33.7,V-CUT,31.77,32.4,0.352
에멀젼C,1.5,비전기,변성암,편마암,31.1,V-CUT,25.39,27.17,0.288
에멀젼C,1.125,비전기,변성암,편마암,34.1,V-CUT,32.15,32.79,0.367
에멀젼C,1.875,비전기,변성암,편마암,62,V-CUT,45.28,50.28,0.174
에멀젼C,1.125,비전기,변성암,편마암,59.3,V-CUT,55.91,57.02,0.239
에멀젼C,1.125,비전기,변성암,편마암,62.2,V-CUT,58.64,59.81,0.193
에멀젼C,1.125,비전기,변성암,편마암,59.9,V-CUT,56.47,57.59,0.184
에멀젼C,1.5,비전기,변성암,편마암,59.9,V-CUT,48.91,52.33,0.293
에멀젼C,0.75,비전기,변성암,편마암,94.4,V-CUT,109,103.9,0.015
에멀젼C,0.75,비전기,변성암,편마암,94,V-CUT,108.54,103.46,0.019
에멀젼C,0.75,비전기,변성암,편마암,93.7,V-CUT,108.2,103.13,0.021
에멀젼C,1,비전기,변성암,편마암,94.8,V-CUT,94.8,94.8,0.013
에멀젼C,1,비전기,변성암,편마암,94.8,V-CUT,94.8,94.8,0.013
에멀젼C,0.75,비전기,변성암,편마암,111.7,V-CUT,128.98,122.94,0.022
에멀젼C,0.75,비전기,변성암,편마암,112.3,V-CUT,129.67,123.6,0.015
에멀젼C,1,비전기,변성암,편마암,112.6,V-CUT,112.6,112.6,0.011
에멀젼C,1.125,비전기,변성암,편마암,111.1,V-CUT,104.75,106.82,0.011
에멀젼C,1.125,비전기,변성암,편마암,111.1,V-CUT,104.75,106.82,0.013
에멀젼C,0.75,비전기,변성암,편마암,220.1,V-CUT,254.15,242.25,0.005
에멀젼C,0.75,비전기,변성암,편마암,220.5,V-CUT,254.61,242.69,0.005
에멀젼C,0.75,비전기,변성암,편마암,219.8,V-CUT,253.8,241.92,0.006
에멀젼C,1.125,비전기,변성암,편마암,219.3,V-CUT,206.76,210.86,0.005
에멀젼C,1.125,비전기,변성암,편마암,218.5,V-CUT,206,210.09,0.006
에멀젼C,1,비전기,변성암,편마암,275.3,V-CUT,275.3,275.3,0.003
에멀젼C,1,비전기,변성암,편마암,275,V-CUT,275,275,0.005
에멀젼C,1,비전기,변성암,편마암,269.8,V-CUT,269.8,269.8,0.01
에멀젼C,1,비전기,변성암,편마암,275.9,V-CUT,275.9,275.9,0.004
에멀젼C,0.75,비전기,변성암,편마암,276.1,V-CUT,318.81,303.89,0.003
에멀젼C,0.75,비전기,변성암,편마암,151.6,V-CUT,175.05,166.86,0.013
에멀젼C,0.75,비전기,변성암,편마암,154.6,V-CUT,178.52,170.16,0.01
에멀젼C,0.75,비전기,변성암,편마암,152.3,V-CUT,175.86,167.63,0.011
에멀젼C,0.75,비전기,변성암,편마암,151.1,V-CUT,174.48,166.31,0.014
에멀젼C,1,비전기,변성암,편마암,155,V-CUT,155,155,0.007
에멀젼C,0.75,비전기,변성암,편마암,39.8,V-CUT,45.96,43.81,0.08
에멀젼C,0.75,비전기,변성암,편마암,38.7,V-CUT,44.69,42.59,0.103
에멀젼C,1,비전기,변성암,편마암,39.2,V-CUT,39.2,39.2,0.084
에멀젼C,1.125,비전기,변성암,편마암,41.2,V-CUT,38.84,39.61,0.09
에멀젼C,1.125,비전기,변성암,편마암,40.4,V-CUT,38.09,38.84,0.095
에멀젼C,1.125,비전기,변성암,편마암,69.7,V-CUT,65.71,67.02,0.023
에멀젼C,1.125,비전기,변성암,편마암,70.5,V-CUT,66.47,67.79,0.03
에멀젼C,1.125,비전기,변성암,편마암,72.1,V-CUT,67.98,69.32,0.021
에멀젼C,1.125,비전기,변성암,편마암,274.9,V-CUT,259.18,264.32,0.011
에멀젼C,1.5,비전기,변성암,편마암,270.6,V-CUT,220.94,236.39,0.013
에멀젼C,1.5,비전기,변성암,편마암,274.3,V-CUT,223.97,239.62,0.009
에멀젼C,1,비전기,변성암,편마암,277.7,V-CUT,277.7,277.7,0.01
에멀젼C,1.625,비전기,변성암,편마암,274,V-CUT,214.94,233.06,0.009
에멀젼C,1,비전기,변성암,편마암,299.8,V-CUT,299.8,299.8,0.01
에멀젼C,1.625,비전기,변성암,편마암,296.8,V-CUT,232.83,252.45,0.011
에멀젼C,1.625,비전기,변성암,편마암,295.2,V-CUT,231.57,251.09,0.01
에멀젼C,1.625,비전기,변성암,편마암,292.1,V-CUT,229.14,248.45,0.009
에멀젼C,1.625,비전기,변성암,편마암,291.4,V-CUT,228.59,247.86,0.008
에멀젼C,1.125,비전기,변성암,편마암,266.1,V-CUT,250.88,255.86,0.013
에멀젼C,1.125,비전기,변성암,편마암,267.5,V-CUT,252.2,257.2,0.01
에멀젼C,1.5,비전기,변성암,편마암,266.8,V-CUT,217.84,233.07,0.012
에멀젼C,1.125,비전기,변성암,편마암,267.9,V-CUT,252.58,257.59,0.015
에멀젼C,1,비전기,변성암,편마암,268.2,V-CUT,268.2,268.2,0.01
에멀젼C,1.125,비전기,변성암,편마암,226.4,V-CUT,213.45,217.68,0.019
에멀젼C,1.5,비전기,변성암,편마암,227.1,V-CUT,185.43,198.39,0.013
에멀젼C,1,비전기,변성암,편마암,227.8,V-CUT,227.8,227.8,0.016
에멀젼C,1.625,비전기,변성암,편마암,224,V-CUT,175.72,190.53,0.017
에멀젼C,1.625,비전기,변성암,편마암,224.5,V-CUT,176.11,190.96,0.016
에멀젼C,1.125,비전기,변성암,편마암,59.9,V-CUT,56.47,57.59,0.102
에멀젼C,1.5,비전기,변성암,편마암,60.5,V-CUT,49.4,52.85,0.116
에멀젼C,1.5,비전기,변성암,편마암,61,V-CUT,49.81,53.29,0.149
에멀젼C,1,비전기,변성암,편마암,61.9,V-CUT,61.9,61.9,0.117
에멀젼C,1,비전기,변성암,편마암,64.3,V-CUT,64.3,64.3,0.156
