화약,뇌관,암석분류,SR SD,CR SD,최대입자속도
에멀젼C,전기,변성암,91.87,105.16,0.156
에멀젼C,전기,변성암,112.51,120.38,0.1
에멀젼C,전기,변성암,79.56,95.55,0.2
에멀젼C,전기,변성암,79.56,95.55,0.19
에멀젼C,전기,변성암,289.61,309.86,0.021
에멀젼C,전기,변성암,204.79,245.94,0.04
에멀젼C,전기,변성암,236.47,270.69,0.03
에멀젼C,전기,변성암,236.47,270.69,0.032
에멀젼C,전기,변성암,18.04,20.11,1.5
에멀젼C,전기,변성암,18.04,20.11,0.8
에멀젼C,전기,변성암,25.52,25.34,0.12
에멀젼C,전기,변성암,28.15,31.38,0.35
에멀젼C,전기,변성암,28.15,31.38,0.3
에멀젼C,전기,변성암,34.47,35.92,0.31
에멀젼C,전기,변성암,39.8,39.53,0.1
에멀젼C,전기,변성암,63.3,66.38,0.13699999999999998
에멀젼C,전기,변성암,71.1,74.56,0.1
에멀젼C,전기,변성암,66.77,70.02,0.12
에멀젼C,전기,변성암,68.5,71.84,0.1
에멀젼C,전기,변성암,62.43,65.47,0.12
에멀젼C,전기,변성암,64.17,67.29,0.12
에멀젼C,전기,변성암,65.9,69.11,0.1
에멀젼C,전기,변성암,63.3,66.38,0.1
에멀젼C,전기,변성암,60.7,63.65,0.1
에멀젼C,전기,변성암,58.96,61.83,0.12
에멀젼C,전기,변성암,52.03,54.56,0.15
에멀젼C,전기,변성암,56.36,59.11,0.1
에멀젼C,전기,변성암,35.8,34.12,0.162
에멀젼C,전기,변성암,33.49,31.92,0.09
에멀젼C,전기,변성암,48.5,46.23,0.1
에멀젼C,전기,변성암,40.41,38.52,0.1
에멀젼C,전기,변성암,40.41,38.52,0.07
에멀젼C,전기,변성암,34.64,33.02,0.07
에멀젼C,전기,변성암,16.17,19.41,0.16
에멀젼C,전기,변성암,17.32,20.8,0.10800000000000001
에멀젼C,전기,변성암,23.09,27.73,0.1
에멀젼C,전기,변성암,19.05,22.88,0.15
에멀젼C,전기,변성암,23.67,28.43,0.05
에멀젼C,전기,변성암,27.0,27.0,0.27
에멀젼C,전기,변성암,32.0,32.0,0.1
에멀젼C,전기,변성암,31.0,31.0,0.07
에멀젼C,전기,변성암,32.0,32.0,0.1
에멀젼C,전기,변성암,30.0,30.0,0.12
에멀젼C,전기,변성암,32.0,32.0,0.067
에멀젼C,전기,변성암,34.0,34.0,0.1
에멀젼C,전기,변성암,27.0,27.0,0.1
에멀젼C,전기,변성암,33.49,31.92,0.162
에멀젼C,전기,변성암,35.8,34.12,0.121
에멀젼C,전기,변성암,50.81,48.43,0.1
에멀젼C,전기,변성암,41.57,39.62,0.1
에멀젼C,전기,변성암,42.72,40.72,0.1
에멀젼C,전기,변성암,35.8,34.12,0.1
에멀젼C,전기,변성암,38.11,36.32,0.12
에멀젼C,전기,변성암,43.88,41.82,0.12
에멀젼C,전기,변성암,20.78,24.96,0.10800000000000001
에멀젼C,전기,변성암,24.83,29.81,0.1
에멀젼C,전기,변성암,20.78,24.96,0.1
에멀젼C,전기,변성암,20.78,24.96,0.1
에멀젼C,전기,변성암,17.32,20.8,0.12
에멀젼C,전기,변성암,18.48,22.19,0.07
에멀젼C,전기,변성암,21.94,26.35,0.12
에멀젼C,전기,변성암,32.91,31.37,0.5
에멀젼C,전기,변성암,40.41,38.52,0.3
에멀젼C,전기,변성암,36.37,34.67,0.4
에멀젼C,전기,변성암,34.64,33.02,0.22
에멀젼C,전기,변성암,32.1,30.6,1.143
에멀젼C,전기,변성암,28.87,27.52,0.7190000000000001
에멀젼C,전기,변성암,33.49,31.92,0.22
에멀젼C,전기,변성암,32.56,31.04,0.17
에멀젼C,전기,변성암,30.02,28.62,0.3
에멀젼C,전기,변성암,26.56,25.31,0.33
에멀젼C,전기,변성암,26.79,25.53,0.344
