화약,뇌관,암종,심발,SR SD,CR SD,최대입자속도
에멀젼C,전기,화강암,V-CUT,27.9,27.29,0.616
에멀젼C,전기,화강암,V-CUT,21.54,22.21,0.5589999999999999
에멀젼C,전기,화강암,V-CUT,16.4,18.09,0.5329999999999999
에멀젼C,전기,화강암,V-CUT,27.9,27.29,0.319
에멀젼C,전기,화강암,V-CUT,21.54,22.21,0.33
에멀젼C,전기,화강암,V-CUT,16.4,18.09,0.36200000000000004
에멀젼C,전기,화강암,V-CUT,39.02,38.16,0.155
에멀젼C,전기,화강암,V-CUT,31.77,32.75,0.14400000000000002
에멀젼C,전기,화강암,V-CUT,25.19,27.79,0.099
에멀젼C,전기,화강암,V-CUT,62.43,61.06,0.094
에멀젼C,전기,화강암,V-CUT,52.31,53.92,0.068
에멀젼C,전기,화강암,V-CUT,42.26,46.61,0.071
에멀젼C,전기,화강암,V-CUT,77.72,76.01,0.09699999999999999
에멀젼C,전기,화강암,V-CUT,65.64,67.66,0.154
에멀젼C,전기,화강암,V-CUT,53.22,58.7,0.153
에멀젼C,전기,화강암,V-CUT,86.06,84.16,0.076
에멀젼C,전기,화강암,V-CUT,72.94,75.19,0.091
에멀젼C,전기,화강암,V-CUT,59.26,65.35,0.13
에멀젼C,전기,화강암,V-CUT,105.84,103.51,0.21
에멀젼C,전기,화강암,V-CUT,89.83,92.6,0.28800000000000003
에멀젼C,전기,화강암,V-CUT,73.12,80.65,0.195
에멀젼C,전기,화강암,V-CUT,217.34,212.55,0.078
에멀젼C,전기,화강암,V-CUT,185.5,191.22,0.042
에멀젼C,전기,화강암,V-CUT,151.38,166.96,0.042
에멀젼C,전기,화강암,V-CUT,274.1,268.07,0.059000000000000004
에멀젼C,전기,화강암,V-CUT,234.06,241.28,0.039
에멀젼C,전기,화강암,V-CUT,191.11,210.78,0.037000000000000005
