화약,뇌관,심발,SR SD,CR SD,최대입자속도
에멀젼C,전자,V-CUT,53.75,49.9,0.435
에멀젼C,전자,V-CUT,77.5,71.94,0.142
에멀젼C,전자,V-CUT,90.0,83.55,0.11599999999999999
에멀젼C,전자,V-CUT,150.0,139.25,0.057
에멀젼C,전자,V-CUT,227.5,211.19,0.023
에멀젼C,전자,V-CUT,375.0,348.12,0.011000000000000001
에멀젼C,전자,V-CUT,28.86,28.23,0.217
에멀젼C,전자,V-CUT,28.41,27.08,0.191
에멀젼C,전자,V-CUT,32.1,30.6,0.195
에멀젼C,전자,V-CUT,28.86,28.23,0.111
에멀젼C,전자,V-CUT,28.41,27.08,0.10800000000000001
에멀젼C,전자,V-CUT,32.1,30.6,0.09699999999999999
에멀젼C,전자,V-CUT,79.32,77.58,0.054000000000000006
에멀젼C,전자,V-CUT,84.76,80.79,0.044000000000000004
에멀젼C,전자,V-CUT,86.03,82.0,0.049
에멀젼C,전자,V-CUT,107.44,105.07,0.023
에멀젼C,전자,V-CUT,115.47,110.06,0.026000000000000002
에멀젼C,전자,V-CUT,116.28,110.83,0.023
에멀젼C,전자,V-CUT,118.34,115.74,0.023
에멀젼C,전자,V-CUT,127.36,121.4,0.022000000000000002
에멀젼C,전자,V-CUT,128.06,122.06,0.016
