화약,암종,심발,SR SD,CR SD,최대입자속도
정밀폭약,화강암,선대구경,95.0,70.0,0.068
정밀폭약,화강암,선대구경,120.0,88.42,0.028999999999999998
정밀폭약,화강암,선대구경,145.0,106.84,0.006
정밀폭약,화강암,선대구경,170.0,125.26,0.01
정밀폭약,화강암,선대구경,195.0,143.68,0.008
정밀폭약,화강암,선대구경,52.5,38.68,0.08900000000000001
정밀폭약,화강암,선대구경,395.0,291.04,0.012
정밀폭약,화강암,선대구경,425.0,313.14,0.027000000000000003
정밀폭약,화강암,선대구경,21.91,20.52,0.175
정밀폭약,화강암,선대구경,27.99,26.22,0.252
정밀폭약,화강암,선대구경,46.25,43.32,0.081
정밀폭약,화강암,선대구경,57.21,53.58,0.035
정밀폭약,화강암,선대구경,59.64,55.86,0.044000000000000004
정밀폭약,화강암,선대구경,58.42,54.72,0.068
정밀폭약,화강암,선대구경,70.6,66.12,0.07200000000000001
정밀폭약,화강암,선대구경,82.77,77.52,0.053
정밀폭약,화강암,선대구경,94.94,88.92,0.026000000000000002
정밀폭약,화강암,선대구경,119.28,111.72,0.032
정밀폭약,화강암,선대구경,225.17,210.9,0.006999999999999999
정밀폭약,화강암,선대구경,70.65,59.31,0.204
정밀폭약,화강암,선대구경,98.38,82.58,0.105
정밀폭약,화강암,선대구경,138.1,115.93,0.023
정밀폭약,화강암,선대구경,203.01,170.42,0.027999999999999997
정밀폭약,화강암,선대구경,280.42,235.41,0.022000000000000002
정밀폭약,화강암,선대구경,145.87,122.46,0.031
정밀폭약,화강암,선대구경,203.18,170.56,0.031
정밀폭약,화강암,선대구경,12.08,11.95,1.65
정밀폭약,화강암,선대구경,18.59,18.39,1.41
정밀폭약,화강암,선대구경,28.92,28.61,0.521
정밀폭약,화강암,선대구경,39.25,38.83,0.281
정밀폭약,화강암,선대구경,49.57,49.04,0.086
정밀폭약,화강암,선대구경,59.9,59.26,0.084
정밀폭약,화강암,선대구경,70.23,69.48,0.062
정밀폭약,화강암,선대구경,80.56,79.7,0.055999999999999994
