화약,심발,SR SD,CR SD,최대입자속도
정밀폭약,Cylinder-cut,37.95,29.59,0.083
정밀폭약,Cylinder-cut,59.03,46.04,0.064
정밀폭약,Cylinder-cut,75.89,59.19,0.066
정밀폭약,Cylinder-cut,82.22,64.12,0.059000000000000004
정밀폭약,Cylinder-cut,101.19,78.92,0.006999999999999999
정밀폭약,Cylinder-cut,122.27,95.36,0.019
정밀폭약,Cylinder-cut,143.36,111.8,0.005
정밀폭약,Cylinder-cut,65.05,46.0,0.114
정밀폭약,Cylinder-cut,76.37,54.0,0.049
정밀폭약,Cylinder-cut,104.65,74.0,0.038
정밀폭약,Cylinder-cut,147.08,104.0,0.019
정밀폭약,Cylinder-cut,175.36,124.0,0.018000000000000002
정밀폭약,Cylinder-cut,93.34,66.0,0.049
정밀폭약,Cylinder-cut,71.18,57.74,0.124
정밀폭약,Cylinder-cut,108.64,88.13,0.033
정밀폭약,Cylinder-cut,146.11,118.53,0.028999999999999998
정밀폭약,Cylinder-cut,183.57,148.92,0.021
정밀폭약,Cylinder-cut,224.78,182.35,0.013999999999999999
정밀폭약,Cylinder-cut,275.36,223.38,0.015
정밀폭약,Cylinder-cut,280.98,227.93,0.01
정밀폭약,Cylinder-cut,335.3,272.0,0.016
정밀폭약,Cylinder-cut,127.38,103.33,0.04
정밀폭약,Cylinder-cut,164.84,133.72,0.022000000000000002
정밀폭약,Cylinder-cut,192.94,156.51,0.028999999999999998
정밀폭약,Cylinder-cut,264.12,214.26,0.013000000000000001
정밀폭약,Cylinder-cut,460.8,373.81,0.012
정밀폭약,Cylinder-cut,530.11,430.04,0.015
정밀폭약,Cylinder-cut,89.91,72.94,0.102
정밀폭약,Cylinder-cut,127.38,103.33,0.038
정밀폭약,Cylinder-cut,164.84,133.72,0.025
정밀폭약,Cylinder-cut,192.94,156.51,0.022000000000000002
정밀폭약,Cylinder-cut,262.24,212.74,0.019
정밀폭약,Cylinder-cut,462.67,375.33,0.012
정밀폭약,Cylinder-cut,530.11,430.04,0.015
정밀폭약,Cylinder-cut,19.38,16.96,0.889
정밀폭약,Cylinder-cut,26.83,23.49,0.386
정밀폭약,Cylinder-cut,34.29,30.01,0.259
정밀폭약,Cylinder-cut,37.27,32.62,0.182
정밀폭약,Cylinder-cut,40.25,35.23,0.156
정밀폭약,Cylinder-cut,70.06,61.33,0.062
