뇌관,암종,SR SD,CR SD,최대입자속도
전기,편암,91.87,105.16,0.156
전기,편암,112.51,120.38,0.1
전기,편암,79.56,95.55,0.2
전기,편암,79.56,95.55,0.19
전기,편암,289.61,309.86,0.021
전기,편암,204.79,245.94,0.04
전기,편암,236.47,270.69,0.03
전기,편암,236.47,270.69,0.032
전기,편암,32.91,31.37,0.5
전기,편암,40.41,38.52,0.3
전기,편암,36.37,34.67,0.4
전기,편암,34.64,33.02,0.22
전기,편암,32.1,30.6,1.143
전기,편암,28.87,27.52,0.7190000000000001
전기,편암,33.49,31.92,0.22
전기,편암,32.56,31.04,0.17
전기,편암,30.02,28.62,0.3
전기,편암,26.56,25.31,0.33
전기,편암,26.79,25.53,0.344
전기,편암,26.1,24.87,0.546
