뇌관,암석분류,심발,SR SD,CR SD,최대입자속도
전자,화성암,V-CUT,53.75,49.9,0.435
전자,화성암,V-CUT,77.5,71.94,0.142
전자,화성암,V-CUT,90.0,83.55,0.11599999999999999
전자,화성암,V-CUT,150.0,139.25,0.057
전자,화성암,V-CUT,227.5,211.19,0.023
전자,화성암,V-CUT,375.0,348.12,0.011000000000000001
전자,화성암,V-CUT,28.86,28.23,0.217
전자,화성암,V-CUT,28.41,27.08,0.191
전자,화성암,V-CUT,34.44,30.14,0.27
전자,화성암,V-CUT,32.1,30.6,0.195
전자,화성암,V-CUT,28.86,28.23,0.111
전자,화성암,V-CUT,28.41,27.08,0.10800000000000001
전자,화성암,V-CUT,34.44,30.14,0.11
전자,화성암,V-CUT,32.1,30.6,0.09699999999999999
전자,화성암,V-CUT,79.32,77.58,0.054000000000000006
전자,화성암,V-CUT,84.76,80.79,0.044000000000000004
전자,화성암,V-CUT,108.67,95.13,0.057
전자,화성암,V-CUT,86.03,82.0,0.049
전자,화성암,V-CUT,107.44,105.07,0.023
전자,화성암,V-CUT,115.47,110.06,0.026000000000000002
전자,화성암,V-CUT,148.62,130.1,0.024
전자,화성암,V-CUT,116.28,110.83,0.023
전자,화성암,V-CUT,118.34,115.74,0.023
전자,화성암,V-CUT,127.36,121.4,0.022000000000000002
전자,화성암,V-CUT,163.98,143.55,0.022000000000000002
전자,화성암,V-CUT,128.06,122.06,0.016
