암석분류,심발,SR SD,CR SD,최대입자속도
화성암,V-CUT,24.66,20.94,2.6439999999999997
화성암,V-CUT,19.52,17.39,1.5630000000000002
화성암,V-CUT,19.52,17.39,2.349
화성암,V-CUT,18.38,16.38,2.238
화성암,V-CUT,16.69,14.87,3.137
화성암,V-CUT,179.4,142.39,0.054000000000000006
화성암,V-CUT,122.75,109.36,0.069
화성암,V-CUT,130.81,116.54,0.055999999999999994
화성암,V-CUT,119.78,106.72,0.07200000000000001
화성암,V-CUT,152.36,129.38,0.06
화성암,V-CUT,210.4,166.99,0.03
화성암,V-CUT,217.4,172.55,0.038
화성암,V-CUT,145.95,130.02,0.049
화성암,V-CUT,179.14,152.12,0.03
화성암,V-CUT,165.1,140.2,0.033
화성암,V-CUT,365.4,290.02,0.016
화성암,V-CUT,375.6,298.11,0.013999999999999999
화성암,V-CUT,256.54,228.55,0.015
화성암,V-CUT,258.94,230.69,0.017
화성암,V-CUT,258.24,230.06,0.013999999999999999
화성암,V-CUT,82.6,65.56,0.13
화성암,V-CUT,55.15,49.14,0.156
화성암,V-CUT,64.35,57.33,0.124
화성암,V-CUT,54.31,48.38,0.174
화성암,V-CUT,60.81,54.18,0.11
화성암,V-CUT,138.6,110.01,0.094
화성암,V-CUT,93.2,83.03,0.09300000000000001
화성암,V-CUT,96.31,85.8,0.099
화성암,V-CUT,102.39,91.22,0.079
화성암,V-CUT,123.29,104.7,0.086
화성암,V-CUT,161.01,136.73,0.040999999999999995
화성암,V-CUT,136.61,121.71,0.045
화성암,V-CUT,140.57,125.24,0.047
화성암,V-CUT,142.84,127.25,0.035
화성암,V-CUT,144.67,128.89,0.036000000000000004
화성암,V-CUT,32.2,33.42,0.245
화성암,V-CUT,33.94,34.61,0.19699999999999998
화성암,V-CUT,36.1,36.1,0.157
화성암,V-CUT,36.0,36.0,0.102
화성암,V-CUT,36.0,36.0,0.129
화성암,V-CUT,29.39,31.45,0.252
화성암,V-CUT,54.47,56.53,0.07200000000000001
화성암,V-CUT,57.42,58.56,0.043
화성암,V-CUT,70.44,67.14,0.037000000000000005
화성암,V-CUT,60.9,60.9,0.057
화성암,V-CUT,60.9,60.9,0.047
화성암,V-CUT,49.72,53.2,0.08
화성암,V-CUT,76.74,79.65,0.065
화성암,V-CUT,99.07,94.44,0.028999999999999998
화성암,V-CUT,99.07,94.44,0.027000000000000003
화성암,V-CUT,99.19,94.55,0.022000000000000002
화성암,V-CUT,85.8,85.8,0.03
화성암,V-CUT,85.8,85.8,0.018000000000000002
화성암,V-CUT,99.1,102.86,0.062
화성암,V-CUT,99.1,102.86,0.036000000000000004
화성암,V-CUT,110.8,110.8,0.033
화성암,V-CUT,110.8,110.8,0.017
화성암,V-CUT,110.8,110.8,0.023
화성암,V-CUT,90.47,96.79,0.039
화성암,V-CUT,121.37,125.97,0.048
화성암,V-CUT,156.69,149.36,0.016
화성암,V-CUT,156.69,149.36,0.02
화성암,V-CUT,135.7,135.7,0.028999999999999998
화성암,V-CUT,135.7,135.7,0.012
화성암,V-CUT,110.8,118.54,0.03
화성암,V-CUT,130.98,159.0,0.04
화성암,V-CUT,130.75,158.73,0.07
화성암,V-CUT,93.01,126.73,0.064
화성암,V-CUT,123.91,153.4,0.042
화성암,V-CUT,125.54,155.42,0.03
화성암,V-CUT,95.82,129.16,0.033
화성암,V-CUT,23.6,32.15,0.226
화성암,V-CUT,32.26,39.93,0.242
화성암,V-CUT,31.2,38.63,0.335
화성암,V-CUT,30.83,38.17,0.32899999999999996
화성암,V-CUT,27.71,35.98,0.335
화성암,V-CUT,26.18,35.57,0.318
화성암,V-CUT,35.3,48.1,0.20199999999999999
화성암,V-CUT,47.38,58.66,0.254
화성암,V-CUT,46.64,57.74,0.369
화성암,V-CUT,36.86,49.69,0.222
화성암,V-CUT,36.25,48.87,0.22899999999999998
화성암,V-CUT,38.5,51.9,0.271
화성암,V-CUT,62.88,77.84,0.136
화성암,V-CUT,62.67,77.58,0.133
화성암,V-CUT,48.91,65.93,0.142
화성암,V-CUT,48.09,64.83,0.141
화성암,V-CUT,63.03,78.04,0.122
화성암,V-CUT,48.49,65.89,0.125
화성암,V-CUT,78.69,97.41,0.10300000000000001
화성암,V-CUT,79.95,98.98,0.08800000000000001
화성암,V-CUT,61.32,82.66,0.092
화성암,V-CUT,66.46,86.9,0.16399999999999998
화성암,V-CUT,61.0,82.9,0.09699999999999999
화성암,V-CUT,60.44,82.14,0.121
화성암,V-CUT,407.01,362.61,0.003
화성암,V-CUT,397.39,354.04,0.004
화성암,V-CUT,412.38,367.39,0.005
화성암,V-CUT,337.4,321.61,0.004
화성암,V-CUT,323.09,307.96,0.006999999999999999
화성암,V-CUT,415.61,363.82,0.006999999999999999
화성암,V-CUT,471.22,419.81,0.004
화성암,V-CUT,472.49,420.94,0.003
화성암,V-CUT,376.43,358.81,0.004
화성암,V-CUT,375.16,357.6,0.004
화성암,V-CUT,409.33,383.38,0.004
화성암,V-CUT,504.16,441.34,0.003
화성암,V-CUT,59.7,56.9,0.105
화성암,V-CUT,72.27,64.38,0.10099999999999999
화성암,V-CUT,63.5,56.57,0.11699999999999999
화성암,V-CUT,51.04,48.65,0.16399999999999998
화성암,V-CUT,50.46,48.1,0.16
화성암,V-CUT,54.77,51.3,0.14400000000000002
화성암,V-CUT,111.58,99.41,0.025
화성암,V-CUT,115.97,103.31,0.024
화성암,V-CUT,112.43,100.16,0.031
화성암,V-CUT,94.8,90.36,0.025
화성암,V-CUT,85.68,81.67,0.031
화성암,V-CUT,96.89,90.74,0.027999999999999997
화성암,V-CUT,136.2,127.56,0.013000000000000001
화성암,V-CUT,136.32,127.68,0.02
화성암,V-CUT,138.51,129.73,0.012
화성암,V-CUT,140.7,131.78,0.011000000000000001
화성암,V-CUT,175.01,153.2,0.009000000000000001
화성암,V-CUT,175.16,153.33,0.008
화성암,V-CUT,198.91,215.11,0.024
화성암,V-CUT,114.57,148.8,0.042
화성암,V-CUT,114.38,148.56,0.047
화성암,V-CUT,178.05,199.85,0.027000000000000003
화성암,V-CUT,125.4,157.99,0.027999999999999997
화성암,V-CUT,100.59,135.6,0.044000000000000004
화성암,V-CUT,99.78,134.5,0.055
화성암,V-CUT,100.96,136.09,0.042
화성암,V-CUT,124.1,156.36,0.034
화성암,V-CUT,122.75,154.66,0.045
화성암,V-CUT,28.3,36.75,0.872
화성암,V-CUT,28.44,36.93,0.768
화성암,V-CUT,28.71,37.29,0.581
화성암,V-CUT,25.64,34.56,0.604
화성암,V-CUT,31.8,40.07,0.462
화성암,V-CUT,81.74,88.41,0.124
화성암,V-CUT,80.95,87.55,0.113
화성암,V-CUT,47.1,61.18,0.20199999999999999
화성암,V-CUT,42.05,56.68,0.23600000000000002
화성암,V-CUT,51.05,64.32,0.158
화성암,V-CUT,102.62,110.98,0.084
화성암,V-CUT,58.93,76.53,0.22
화성암,V-CUT,58.79,76.35,0.33
화성암,V-CUT,59.25,76.95,0.20800000000000002
화성암,V-CUT,59.25,76.95,0.134
화성암,V-CUT,73.12,94.97,0.162
화성암,V-CUT,72.39,94.02,0.162
화성암,V-CUT,65.24,87.94,0.11800000000000001
화성암,V-CUT,64.54,87.01,0.252
화성암,V-CUT,64.87,87.45,0.19699999999999998
화성암,V-CUT,76.3,102.86,0.141
화성암,V-CUT,76.63,103.3,0.133
화성암,V-CUT,75.89,102.3,0.142
화성암,V-CUT,94.65,119.25,0.102
화성암,V-CUT,76.91,103.68,0.121
화성암,V-CUT,171.16,185.1,0.038
화성암,V-CUT,99.18,128.82,0.11800000000000001
화성암,V-CUT,98.36,127.75,0.102
화성암,V-CUT,88.43,119.2,0.135
화성암,V-CUT,107.8,135.82,0.075
화성암,V-CUT,29.41,31.81,0.509
화성암,V-CUT,30.52,33.0,0.321
화성암,V-CUT,28.07,30.35,0.336
화성암,V-CUT,28.86,31.21,0.325
화성암,V-CUT,31.68,32.65,0.369
화성암,V-CUT,42.45,45.91,0.245
화성암,V-CUT,49.39,50.91,0.209
화성암,V-CUT,49.3,50.82,0.237
화성암,V-CUT,46.23,48.9,0.16699999999999998
