암종,SR SD,CR SD,최대입자속도
화강암,32.2,33.42,0.245
화강암,33.94,34.61,0.19699999999999998
화강암,36.1,36.1,0.157
화강암,36.0,36.0,0.102
화강암,36.0,36.0,0.129
화강암,29.39,31.45,0.252
화강암,54.47,56.53,0.07200000000000001
화강암,57.42,58.56,0.043
화강암,70.44,67.14,0.037000000000000005
화강암,60.9,60.9,0.057
화강암,60.9,60.9,0.047
화강암,49.72,53.2,0.08
화강암,76.74,79.65,0.065
화강암,99.07,94.44,0.028999999999999998
화강암,99.07,94.44,0.027000000000000003
화강암,99.19,94.55,0.022000000000000002
화강암,85.8,85.8,0.03
화강암,85.8,85.8,0.018000000000000002
화강암,99.1,102.86,0.062
화강암,99.1,102.86,0.036000000000000004
화강암,110.8,110.8,0.033
화강암,110.8,110.8,0.017
화강암,110.8,110.8,0.023
화강암,90.47,96.79,0.039
화강암,121.37,125.97,0.048
화강암,156.69,149.36,0.016
화강암,156.69,149.36,0.02
화강암,135.7,135.7,0.028999999999999998
화강암,135.7,135.7,0.012
화강암,110.8,118.54,0.03
화강암,407.01,362.61,0.003
화강암,397.39,354.04,0.004
화강암,412.38,367.39,0.005
화강암,337.4,321.61,0.004
화강암,323.09,307.96,0.006999999999999999
화강암,415.61,363.82,0.006999999999999999
화강암,471.22,419.81,0.004
화강암,472.49,420.94,0.003
화강암,376.43,358.81,0.004
화강암,375.16,357.6,0.004
화강암,409.33,383.38,0.004
화강암,504.16,441.34,0.003
화강암,59.7,56.9,0.105
화강암,72.27,64.38,0.10099999999999999
화강암,63.5,56.57,0.11699999999999999
화강암,51.04,48.65,0.16399999999999998
화강암,50.46,48.1,0.16
화강암,54.77,51.3,0.14400000000000002
화강암,111.58,99.41,0.025
화강암,115.97,103.31,0.024
화강암,112.43,100.16,0.031
화강암,94.8,90.36,0.025
화강암,85.68,81.67,0.031
화강암,96.89,90.74,0.027999999999999997
화강암,136.2,127.56,0.013000000000000001
화강암,136.32,127.68,0.02
화강암,138.51,129.73,0.012
화강암,140.7,131.78,0.011000000000000001
화강암,175.01,153.2,0.009000000000000001
화강암,175.16,153.33,0.008
화강암,30.4,24.13,0.22899999999999998
화강암,30.4,24.13,0.317
화강암,28.0,22.22,0.267
화강암,28.0,22.22,0.305
화강암,28.0,22.22,0.762
화강암,28.0,22.22,0.698
화강암,19.38,16.96,0.889
화강암,40.0,31.75,0.13699999999999998
화강암,40.0,31.75,0.268
화강암,38.0,30.16,0.24100000000000002
화강암,38.0,30.16,0.243
화강암,38.0,30.16,0.32899999999999996
화강암,38.0,30.16,0.33
