암종,심발,SR SD,CR SD,최대입자속도
응회암,V-CUT,147.87,158.21,0.02
응회암,V-CUT,169.05,172.4,0.017
응회암,V-CUT,154.71,161.63,0.019
응회암,V-CUT,155.41,162.36,0.021
응회암,V-CUT,146.32,156.55,0.023
응회암,V-CUT,195.35,199.22,0.016
응회암,V-CUT,186.81,195.16,0.015
응회암,V-CUT,181.2,189.3,0.015
응회암,V-CUT,212.17,211.28,0.02
응회암,V-CUT,210.1,210.1,0.015
응회암,V-CUT,45.72,50.77,0.126
응회암,V-CUT,49.56,53.03,0.11900000000000001
응회암,V-CUT,51.19,54.77,0.165
응회암,V-CUT,51.77,55.39,0.11199999999999999
응회암,V-CUT,60.25,61.44,0.098
응회암,V-CUT,89.57,95.83,0.025
응회암,V-CUT,91.28,97.67,0.037000000000000005
응회암,V-CUT,105.5,107.59,0.021
응회암,V-CUT,102.95,105.0,0.047
응회암,V-CUT,105.78,107.88,0.039
응회암,V-CUT,121.15,123.55,0.028999999999999998
응회암,V-CUT,126.15,128.65,0.027999999999999997
응회암,V-CUT,122.85,125.28,0.046
응회암,V-CUT,125.21,127.69,0.034
응회암,V-CUT,112.18,117.19,0.026000000000000002
응회암,V-CUT,122.07,130.6,0.035
응회암,V-CUT,141.61,144.42,0.032
응회암,V-CUT,140.48,143.26,0.034
응회암,V-CUT,143.97,146.82,0.035
응회암,V-CUT,128.93,134.69,0.054000000000000006
응회암,V-CUT,138.4,148.07,0.018000000000000002
응회암,V-CUT,195.38,186.23,0.02
응회암,V-CUT,159.99,163.17,0.039
응회암,V-CUT,152.7,159.52,0.035
응회암,V-CUT,152.61,159.43,0.035
응회암,V-CUT,261.89,249.63,0.009000000000000001
응회암,V-CUT,262.58,250.29,0.008
응회암,V-CUT,214.02,218.26,0.008
응회암,V-CUT,213.64,217.88,0.008
응회암,V-CUT,215.34,219.61,0.006999999999999999
응회암,V-CUT,33.39,35.73,0.151
응회암,V-CUT,48.73,46.45,0.09
응회암,V-CUT,53.17,47.37,0.09
응회암,V-CUT,41.39,42.21,0.153
응회암,V-CUT,39.41,40.19,0.142
응회암,V-CUT,65.15,66.44,0.096
응회암,V-CUT,83.25,79.36,0.065
응회암,V-CUT,101.96,90.84,0.087
응회암,V-CUT,103.66,92.35,0.039
응회암,V-CUT,67.51,68.84,0.07
응회암,V-CUT,92.96,94.8,0.031
응회암,V-CUT,117.78,112.27,0.027000000000000003
응회암,V-CUT,144.39,128.64,0.026000000000000002
응회암,V-CUT,119.05,113.48,0.027999999999999997
응회암,V-CUT,95.98,97.88,0.027999999999999997
응회암,V-CUT,123.6,126.05,0.016
응회암,V-CUT,188.37,167.82,0.013999999999999999
응회암,V-CUT,123.6,126.05,0.023
응회암,V-CUT,124.26,126.73,0.013000000000000001
응회암,V-CUT,125.49,127.98,0.009000000000000001
응회암,V-CUT,222.17,197.93,0.013000000000000001
응회암,V-CUT,229.24,204.23,0.012
응회암,V-CUT,151.23,154.22,0.026000000000000002
응회암,V-CUT,153.21,156.24,0.017
응회암,V-CUT,154.24,157.3,0.023
