,K,n,s,exp,det,rot,roc,cen
0,496.972970352359,-1.5065595764903938,0.34997637089521916,0,0,0,0,0
0,470.57930148195754,-1.4859610104919383,0.36207623920216,0,0,1,0,0
0,531.6498851677289,-1.713337001965465,0.2721544316667463,0,0,2,0,0
0,438.9738165005632,-1.347190448389939,0.40395565577959547,0,0,3,0,0
0,496.972970352359,-1.5065595764903938,0.34997637089521916,0,0,0,0,0
0,599.9739224318228,-1.8115874075894192,0.15264367481625313,0,0,0,1,0
0,589.1739414811763,-1.8915615847448253,0.1498861145699833,0,0,0,2,0
0,532.9905303963425,-1.782644818350545,0.28212903181286564,0,0,0,3,0
0,570.1866275718397,-1.7869951902144092,0.2791595689893295,0,0,0,4,0
0,576.710497595974,-1.77285824044089,0.2498235247303384,0,0,0,5,0
0,515.5021628169088,-1.5853212088448465,0.2334524201070601,0,0,0,6,0
0,448.93855033984164,-1.4286048742532853,0.22163893607949015,0,0,0,7,0
0,464.1828492767753,-1.4735423536409664,0.3577869235163455,0,0,0,8,0
0,510.42580583234445,-1.6196733878643799,0.2819244463745489,0,0,0,9,0
0,477.1445822972512,-1.5163690967607426,0.2208291481647135,0,0,0,10,0
0,433.1800738871615,-1.3594976374168932,0.4272498338773584,0,0,0,11,0
0,463.9104159949734,-1.4549605266745247,0.325924949890549,0,0,0,0,1
0,335.12118507271424,-1.1097540558738448,0.2612130269320127,0,0,1,0,1
0,525.4465797295678,-1.7936227184004094,0.2910446343641286,0,0,2,0,1
0,486.99774785115466,-1.5411563437436935,0.3136844806239129,0,0,3,0,1
0,463.9104159949734,-1.4549605266745247,0.325924949890549,0,0,0,0,1
0,550.400815714772,-1.7130819001115511,0.20972843002842365,0,0,0,1,1
0,537.0931510852206,-1.7766001511952505,0.2596081737160401,0,0,0,2,1
0,531.2886090347248,-1.7814704196212048,0.2902526755343981,0,0,0,3,1
0,539.4896549477107,-1.7013692191740537,0.30799118706182027,0,0,0,4,1
0,527.3185728019696,-1.6077292900313678,0.3030309913203626,0,0,0,5,1
0,456.4601640414037,-1.3846144805288552,0.30691219615772136,0,0,0,6,1
0,353.96845592189175,-1.1263615891297605,0.2882089412075862,0,0,0,7,1
0,336.48405072585234,-1.1088744293495327,0.2610958054826836,0,0,0,8,1
0,406.5453211800478,-1.3259428519968008,0.21667211516192117,0,0,0,9,1
0,468.5842414429583,-1.509809887563656,0.21409657058734896,0,0,0,10,1
0,482.227115938283,-1.5329718226736169,0.33531141106934836,0,0,0,11,1
0,297.36913054479885,-0.7511282973559601,0.9775272447564476,0,0,0,0,2
0,278.35701289235226,-0.8353034669841384,0.7476567187526516,0,0,1,0,2
0,417.26294671112765,-1.3526460401442546,0.6819371506754283,0,0,2,0,2
0,295.66573300113237,-0.7646936032325369,0.984929657083891,0,0,3,0,2
0,297.36913054479885,-0.7511282973559601,0.9775272447564476,0,0,0,0,2
0,429.04629798767377,-1.154682936761777,0.713133956619651,0,0,0,1,2
0,464.4591284012834,-1.3745896460079763,0.6037072478246356,0,0,0,2,2
0,494.30550939011584,-1.475852926859854,0.5190247767841688,0,0,0,3,2
0,506.23391497640785,-1.4704321981136113,0.474957167595468,0,0,0,4,2
0,479.3496875030412,-1.3608244640963274,0.4850766382592209,0,0,0,5,2
0,406.41697103559125,-1.126886957464418,0.48312439025319925,0,0,0,6,2
0,331.57345344661366,-0.9214578549181534,0.499933315959139,0,0,0,7,2
0,320.83294709377685,-0.8890484678327935,0.576799492559183,0,0,0,8,2
0,340.25157808964514,-0.9376168591598949,0.6091323542577431,0,0,0,9,2
0,331.68544904784494,-0.8938621424967641,0.7681060756734521,0,0,0,10,2
0,293.4186925710867,-0.7253299840548083,0.9887108953750372,0,0,0,11,2
0,465.41755901993696,-1.4074037879269705,0.3785167756710846,0,0,0,0,3
0,497.2323122302016,-1.5869997923321901,0.3560305451614008,0,0,1,0,3
0,526.4135566653462,-1.7041830391327901,0.21860950805083998,0,0,2,0,3
0,429.0605936454098,-1.2638587915871276,0.4057773730936111,0,0,3,0,3
0,465.41755901993696,-1.4074037879269705,0.3785167756710846,0,0,0,0,3
0,593.67210126535,-1.7920665462822183,0.15362493701140362,0,0,0,1,3
0,592.1146903569339,-1.892573510913001,0.14165325850090954,0,0,0,2,3
0,614.1346648980161,-1.9167074673354847,0.1732720587181944,0,0,0,3,3
0,612.0204614289175,-1.9056841906573998,0.1846066455712129,0,0,0,4,3
0,578.8525154426243,-1.7761028452370462,0.22971567355415468,0,0,0,5,3
0,515.7723041318454,-1.5922103268436623,0.2068002346907541,0,0,0,6,3
0,459.6650718101106,-1.4734156430219396,0.21094565155143127,0,0,0,7,3
0,487.57206036194316,-1.5468947479715682,0.3356692883602669,0,0,0,8,3
0,512.233740373206,-1.6428090975501064,0.28987209597333824,0,0,0,9,3
0,482.2564453447796,-1.5671109543198263,0.313795665801674,0,0,0,10,3
0,434.9109750332115,-1.4022675131860574,0.39622796202770105,0,0,0,11,3
0,492.47811255434726,-1.4543445614197856,0.4503150458887149,0,0,0,0,4
0,550.9048153437607,-1.7387482264415575,0.3649115790159764,0,0,1,0,4
0,541.8530224078941,-1.7115945159913513,0.29965135648246943,0,0,2,0,4
0,496.49208462650336,-1.4528810967625234,0.4509364579627271,0,0,3,0,4
0,492.47811255434726,-1.4543445614197856,0.4503150458887149,0,0,0,0,4
0,594.803128643029,-1.7989396007201395,0.2588771370613064,0,0,0,1,4
0,615.8984305181008,-1.90417155821521,0.23252826692998896,0,0,0,2,4
0,640.3757431608434,-1.9562285172267977,0.22174265689216582,0,0,0,3,4
0,646.0227610479702,-1.9718818515151246,0.21127080047236,0,0,0,4,4
0,638.7586245732416,-1.9543133968281798,0.21117535376851662,0,0,0,5,4
0,558.7002219684854,-1.7036783071975299,0.23119607651753002,0,0,0,6,4
0,501.19485101202457,-1.5732546214745025,0.2438666374946977,0,0,0,7,4
0,509.57140720123766,-1.611509972202778,0.3196170461019184,0,0,0,8,4
0,547.8027741557199,-1.7240346300076053,0.3079822946032175,0,0,0,9,4
0,536.3617028800232,-1.7039940675587633,0.3016566647878358,0,0,0,10,4
0,494.67016520307385,-1.5832306790513513,0.3613979978397265,0,0,0,11,4
0,545.4066587621901,-1.6807323116835358,0.30200668020310223,0,0,0,0,5
0,517.2944809055696,-1.5960654251219901,0.3431308855943046,0,0,1,0,5
0,543.3539110825982,-1.6858943037555163,0.2973039240827159,0,0,2,0,5
0,559.7050746278852,-1.6929497245562934,0.3490875961585823,0,0,3,0,5
0,545.4066587621901,-1.6807323116835358,0.30200668020310223,0,0,0,0,5
0,602.3321232548352,-1.8684169638866317,0.2559389156237884,0,0,0,1,5
0,631.1325904151727,-1.9134975301269526,0.2678985657589871,0,0,0,2,5
0,642.6801410328654,-1.9323878868980207,0.2669130928963525,0,0,0,3,5
0,653.57925926216,-1.9783079012183724,0.2434394166938143,0,0,0,4,5
0,656.6965672803374,-1.9990180913772047,0.22072168780818832,0,0,0,5,5
0,621.9032671644857,-1.8963798713313886,0.22758004067337237,0,0,0,6,5
0,526.078657574741,-1.625080241758755,0.2543314123373712,0,0,0,7,5
0,513.0870512912242,-1.575585205747351,0.3337581753365895,0,0,0,8,5
0,548.1701104045035,-1.6737713180436373,0.3195775306070679,0,0,0,9,5
0,563.2394817686503,-1.7601793617202448,0.2920666781988975,0,0,0,10,5
0,544.8131170378707,-1.7317633524228109,0.3034777343068539,0,0,0,11,5
0,500.3204850763625,-1.5307150291622498,0.33562082151635936,0,0,0,0,6
0,433.85146479110887,-1.2904433204380465,0.3394681348972555,0,0,1,0,6
0,489.98849268209256,-1.465161630440256,0.33358915973268366,0,0,2,0,6
0,548.5604440157321,-1.6817127360753588,0.3111420030394429,0,0,3,0,6
0,500.3204850763625,-1.5307150291622498,0.33562082151635936,0,0,0,0,6
0,551.1331573985777,-1.6583690599479783,0.2983994632044794,0,0,0,1,6
0,580.021729319093,-1.7261042888971647,0.29287598026742595,0,0,0,2,6
0,602.7860103879557,-1.8194279495854502,0.27232365338724235,0,0,0,3,6
0,620.8165252482717,-1.894339720929604,0.2528912462769118,0,0,0,4,6
0,624.9100169165846,-1.9116185234272802,0.23268281020474507,0,0,0,5,6
0,619.0191570631281,-1.8962392858604942,0.20222025044501676,0,0,0,6,6
0,538.1660635064508,-1.6438773438916374,0.24018439405726782,0,0,0,7,6
0,434.8992432706129,-1.2870014191567432,0.34081357566193704,0,0,0,8,6
0,437.9014479358773,-1.2778969367817141,0.3611725946258067,0,0,0,9,6
0,482.28783363676536,-1.4313546744729824,0.3580902388013341,0,0,0,10,6
0,509.40941564482614,-1.572554938099481,0.3658945784795294,0,0,0,11,6
0,433.3677432418435,-1.3317676320630623,0.34646994490916944,0,0,0,0,7
0,435.44073015426284,-1.38385820339185,0.26026294723242605,0,0,1,0,7
0,388.7799363850816,-1.2178916809386058,0.38285376317967323,0,0,2,0,7
0,280.135190710861,-0.815730858342085,0.5207621629675944,0,0,3,0,7
0,433.3677432418435,-1.3317676320630623,0.34646994490916944,0,0,0,0,7
0,508.37636013891444,-1.518546275981253,0.27573965308067966,0,0,0,1,7
0,538.1927124771219,-1.6252366953700952,0.2477696023549287,0,0,0,2,7
0,560.699283237775,-1.7314547053659153,0.22138770940134989,0,0,0,3,7
0,582.1840252454667,-1.832261679469755,0.19742748026519827,0,0,0,4,7
0,595.1723683897177,-1.900918159498856,0.18627418767581191,0,0,0,5,7
0,583.8142740839239,-1.8739916839465594,0.18328564434507524,0,0,0,6,7
0,536.4512838222499,-1.7202455056728054,0.1901064103777879,0,0,0,7,7
0,434.534859385927,-1.3960314121590804,0.2681860395117629,0,0,0,8,7
0,355.30968385394556,-1.0993658956544852,0.35679458991578233,0,0,0,9,7
0,301.26240531101473,-0.8803813364222651,0.4541963390617552,0,0,0,10,7
0,283.2814785134708,-0.7990147494847946,0.5208514408963475,0,0,0,11,7
0,521.7436159069634,-1.630553265017107,0.3074657958735811,0,1,0,0,0
0,504.75983065995894,-1.5809534054769458,0.3096680044129751,0,1,1,0,0
0,541.1303924480937,-1.724620226924595,0.23943283407920268,0,1,2,0,0
0,540.9275339570671,-1.705890349426113,0.3327547114401594,0,1,3,0,0
0,521.7436159069634,-1.630553265017107,0.3074657958735811,0,1,0,0,0
0,594.0602206035053,-1.8126323207293589,0.16334133196054543,0,1,0,1,0
0,587.8241283851016,-1.8810245141434507,0.1375194283371203,0,1,0,2,0
0,595.5635177857627,-1.9492028394183336,0.14359018026619377,0,1,0,3,0
0,610.8879190222935,-1.9597279502882394,0.13682142922726157,0,1,0,4,0
0,618.1302623883538,-1.9323076863458173,0.13760280249782755,0,1,0,5,0
0,572.9122423374278,-1.754974494401789,0.14617184944801553,0,1,0,6,0
0,449.5786694924914,-1.423600312894889,0.20418591075201042,0,1,0,7,0
0,498.75285743429276,-1.5815531899185211,0.3041084216274219,0,1,0,8,0
0,543.2672048106772,-1.7418564668485141,0.21831034454288112,0,1,0,9,0
0,553.5660219557444,-1.7739533766361812,0.23510490097796613,0,1,0,10,0
0,527.503406333242,-1.6938525279458378,0.35587581049266814,0,1,0,11,0
0,527.7612331821397,-1.6695935024360975,0.1965474213158012,0,1,0,0,1
0,436.7038758253126,-1.421944007338713,0.21451617979701115,0,1,1,0,1
0,539.8313522451198,-1.7970968640557714,0.16259648549427305,0,1,2,0,1
0,618.65450125017,-1.9901497550725522,0.16101801520183695,0,1,3,0,1
0,527.7612331821397,-1.6695935024360975,0.1965474213158012,0,1,0,0,1
0,596.2910813013577,-1.8329566336699146,0.053633892369774214,0,1,0,1,1
0,592.3332818408495,-1.8894261864162767,0.0561742204526615,0,1,0,2,1
0,596.9642591625221,-1.9489931923608197,0.06609733561908926,0,1,0,3,1
0,613.3426155350246,-1.956915615524914,0.09621420841194384,0,1,0,4,1
0,612.3340724205027,-1.894831047022074,0.1272576488904968,0,1,0,5,1
0,562.6776002645888,-1.7150261772411357,0.1814270321614265,0,1,0,6,1
0,428.825531077581,-1.3668516997475855,0.25133353486962445,0,1,0,7,1
0,432.10541335561027,-1.4196087329750924,0.22062594665207333,0,1,0,8,1
