지역,화약,지발당장약량,비장약량,뇌관,암종,강도,이격거리,최대입자속도
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,601.000,0.003 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,611.300,0.006 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,603.600,0.007 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,619.800,0.017 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,624.500,0.017 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,634.700,0.022 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,625.300,0.021 
경상남도,고폭속 에멀젼,10.000,0.278,비전기,안산암,연암,644.500,0.075 
경상남도,고폭속 에멀젼,10.000,0.278,비전기,안산암,연암,650.000,0.016 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,24.200,1.146 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,29.400,0.664 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,38.200,1.092 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,28.100,1.268 
경상남도,고폭속 에멀젼,10.000,0.278,비전기,안산암,연암,31.500,2.258 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,123.700,0.100 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,135.600,0.036 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,140.600,0.084 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,133.700,0.079 
경상남도,고폭속 에멀젼,10.000,0.278,비전기,안산암,연암,134.600,0.219 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,177.000,0.130 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,182.300,0.046 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,192.600,0.068 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,183.700,0.066 
경상남도,고폭속 에멀젼,10.000,0.278,비전기,안산암,연암,190.600,0.137 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,246.300,0.071 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,249.700,0.015 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,258.600,0.051 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,261.800,0.049 
경상남도,고폭속 에멀젼,10.000,0.278,비전기,안산암,연암,255.600,0.096 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,329.700,0.040 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,336.600,0.020 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,345.500,0.046 
경상남도,고폭속 에멀젼,3.500,0.270,비전기,안산암,연암,334.300,0.030 
경상남도,고폭속 에멀젼,10.000,0.278,비전기,안산암,연암,351.100,0.056 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,38.700,0.367 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,39.700,0.366 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,38.800,0.399 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,39.100,0.385 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,39.400,0.311 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,65.300,0.178 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,66.300,0.109 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,65.600,0.093 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,65.900,0.080 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,66.200,0.116 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,90.600,0.026 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,91.200,0.015 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,91.100,0.024 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,91.600,0.020 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,92.200,0.021 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,92.300,0.033 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,68.500,0.043 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,69.100,0.033 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,69.700,0.031 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,70.300,0.024 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,34.600,0.276 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,35.200,0.289 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,34.100,0.546 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,33.600,0.489 
경기도,에멀젼,0.250,0.386,전기,편마암,연암,33.000,0.435 
경기도,에멀젼,0.500,0.355,전기,편마암,연암,58.300,0.062 
경기도,에멀젼,0.750,0.341,전기,편마암,연암,59.700,0.034 
경기도,에멀젼,0.500,0.355,전기,편마암,연암,58.800,0.048 
경기도,에멀젼,0.750,0.341,전기,편마암,연암,60.200,0.048 
경기도,에멀젼,0.500,0.355,전기,편마암,연암,59.600,0.068 
경기도,에멀젼,0.750,0.341,전기,편마암,연암,61.200,0.056 
경기도,에멀젼,0.500,0.355,전기,편마암,연암,48.400,0.175 
경기도,에멀젼,0.750,0.341,전기,편마암,연암,49.600,0.105 
경기도,에멀젼,0.500,0.355,전기,편마암,연암,49.000,0.125 
경기도,에멀젼,0.750,0.341,전기,편마암,연암,50.200,0.108 
경기도,에멀젼,0.500,0.355,전기,편마암,연암,50.000,0.144 
경기도,에멀젼,0.750,0.341,전기,편마암,연암,51.500,0.095 
경기도,에멀젼,0.500,0.355,전기,편마암,연암,31.300,0.402 
경기도,에멀젼,0.750,0.341,전기,편마암,연암,29.800,0.314 
경기도,에멀젼,0.500,0.355,전기,편마암,연암,31.300,0.216 
경기도,에멀젼,0.750,0.341,전기,편마암,연암,29.800,0.287 
경기도,에멀젼,0.500,0.355,전기,편마암,연암,31.400,0.239 
경기도,에멀젼,0.750,0.341,전기,편마암,연암,30.000,0.253 
경기도,에멀젼,0.500,0.355,전기,편마암,연암,33.100,0.185 
경기도,에멀젼,0.750,0.341,전기,편마암,연암,33.200,0.145 
경기도,에멀젼,0.500,0.355,전기,편마암,연암,33.800,0.136 
경기도,에멀젼,0.750,0.341,전기,편마암,연암,34.000,0.141 
경기도,에멀젼,0.500,0.355,전기,편마암,연암,35.300,0.106 
경기도,에멀젼,0.750,0.341,전기,편마암,연암,35.700,0.106 
경기도,에멀젼,0.500,0.355,전기,편마암,연암,5.100,1.400 
경기도,에멀젼,0.750,0.341,전기,편마암,연암,6.600,0.933 
