K,n,s,# of elem,exp,det,rot,roc,cen
3.226866827,-1.368683206,0.228380448,68,1,1,1,8,1
4.889890535,-1.708906037,0.290686493,490,1,1,1,8,3
4.049397033,-1.399179565,0.297844718,70,1,1,1,8,6
4.407385054,-1.590402712,0.318034254,628,1,1,1,8,0
4.862993396,-1.746005807,0.213727283,59,1,1,1,9,3
4.862993396,-1.746005807,0.213727283,59,1,1,1,9,0
3.226866827,-1.368683206,0.228380448,68,1,1,1,0,1
4.831295055,-1.700387089,0.286242882,549,1,1,1,0,3
4.049397033,-1.399179565,0.297844718,70,1,1,1,0,6
4.401422252,-1.59289692,0.313040548,687,1,1,1,0,0
5.493427426,-1.899727546,0.143711837,67,1,1,2,2,3
5.493427426,-1.899727546,0.143711837,67,1,1,2,2,0
3.526750291,-1.470137779,0.199283939,65,1,1,2,7,3
3.526750291,-1.470137779,0.199283939,65,1,1,2,7,0
4.389482765,-1.649221485,0.17891361,132,1,1,2,0,3
4.876808239,-1.678193391,0.305668253,80,1,1,2,0,5
4.849638909,-1.721282054,0.245007688,212,1,1,2,0,0
5.768058752,-1.761156677,0.169781179,35,1,1,3,1,3
5.768058752,-1.761156677,0.169781179,35,1,1,3,1,0
6.027544118,-2.040202417,0.178250216,48,1,1,3,11,1
5.058827382,-1.452892869,0.074473662,10,1,1,3,11,2
4.403992574,-1.627811021,0.346256092,93,1,1,3,11,3
3.806624802,-1.475904097,0.2292477,33,1,1,3,11,6
5.058914403,-1.432398261,0.276247116,12,1,1,3,11,7
4.976340585,-1.721645716,0.358856681,196,1,1,3,11,0
5.427690191,-1.744622977,0.148317585,40,1,1,3,6,3
5.427690191,-1.744622977,0.148317585,40,1,1,3,6,0
6.027544118,-2.040202417,0.178250216,48,1,1,3,0,1
5.058827382,-1.452892869,0.074473662,10,1,1,3,0,2
5.201142748,-1.739644571,0.309642578,168,1,1,3,0,3
3.806624802,-1.475904097,0.2292477,33,1,1,3,0,6
5.058914403,-1.432398261,0.276247116,12,1,1,3,0,7
5.088008348,-1.717449795,0.336309284,271,1,1,3,0,0
